#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.700000000000001E+00  0.223834775713125E+00  0.100676257120181E-01  0.445856130541631E+01  0.200536874996347E+00
     0.710000000000001E+00  0.223792533366221E+00  0.102155602489182E-01  0.445913287325976E+01  0.203548080177336E+00
     0.720000000000001E+00  0.223749771175031E+00  0.103636369582497E-01  0.445971065077583E+01  0.206564779399594E+00
     0.730000000000001E+00  0.223706491912432E+00  0.105118554475763E-01  0.446029457283960E+01  0.209586996794228E+00
     0.740000000000001E+00  0.223662698338170E+00  0.106602152200839E-01  0.446088457473742E+01  0.212614754234760E+00
     0.750000000000001E+00  0.223618393195718E+00  0.108087156734548E-01  0.446148059224443E+01  0.215648071319430E+00
     0.760000000000001E+00  0.223573579209041E+00  0.109573560988137E-01  0.446208256170410E+01  0.218686965355526E+00
     0.770000000000001E+00  0.223528259079276E+00  0.111061356797518E-01  0.446269042010971E+01  0.221731451345887E+00
     0.780000000000001E+00  0.223482435481313E+00  0.112550534914326E-01  0.446330410518799E+01  0.224781541977700E+00
     0.790000000000001E+00  0.223436111060298E+00  0.114041084997844E-01  0.446392355548452E+01  0.227837247613706E+00
     0.800000000000001E+00  0.223389288428039E+00  0.115532995607866E-01  0.446454871045119E+01  0.230898576285952E+00
     0.810000000000001E+00  0.223341970159328E+00  0.117026254198526E-01  0.446517951053542E+01  0.233965533692211E+00
     0.820000000000001E+00  0.223294158788186E+00  0.118520847113166E-01  0.446581589727120E+01  0.237038123195199E+00
     0.830000000000001E+00  0.223245856804012E+00  0.120016759580276E-01  0.446645781337191E+01  0.240116345824729E+00
     0.840000000000001E+00  0.223197066647667E+00  0.121513975710590E-01  0.446710520282469E+01  0.243200200282903E+00
     0.850000000000001E+00  0.223147790707461E+00  0.123012478495361E-01  0.446775801098659E+01  0.246289682952524E+00
     0.860000000000001E+00  0.223098031315092E+00  0.124512249805889E-01  0.446841618468184E+01  0.249384787908770E+00
     0.870000000000001E+00  0.223047790741481E+00  0.126013270394349E-01  0.446907967230101E+01  0.252485506934378E+00
     0.880000000000001E+00  0.222997071192568E+00  0.127515519895981E-01  0.446974842390104E+01  0.255591829538332E+00
     0.890000000000001E+00  0.222945874805026E+00  0.129018976832680E-01  0.447042239130655E+01  0.258703742978280E+00
     0.900000000000001E+00  0.222894203641921E+00  0.130523618618064E-01  0.447110152821245E+01  0.261821232286763E+00
     0.910000000000001E+00  0.222842059688312E+00  0.132029421564045E-01  0.447178579028714E+01  0.264944280301362E+00
     0.920000000000001E+00  0.222789444846809E+00  0.133536360888980E-01  0.447247513527664E+01  0.268072867698897E+00
     0.930000000000001E+00  0.222736360933075E+00  0.135044410727434E-01  0.447316952310949E+01  0.271206973033801E+00
     0.940000000000001E+00  0.222682809671296E+00  0.136553544141613E-01  0.447386891600186E+01  0.274346572780738E+00
     0.950000000000001E+00  0.222628792689605E+00  0.138063733134525E-01  0.447457327856333E+01  0.277491641381608E+00
     0.960000000000001E+00  0.222574311515497E+00  0.139574948664885E-01  0.447528257790252E+01  0.280642151297010E+00
     0.970000000000000E+00  0.222519367571204E+00  0.141087160663846E-01  0.447599678373286E+01  0.283798073062247E+00
     0.980000000000000E+00  0.222463962169062E+00  0.142600338053570E-01  0.447671586847820E+01  0.286959375348009E+00
     0.990000000000000E+00  0.222408096506878E+00  0.144114448767692E-01  0.447743980737783E+01  0.290126025025723E+00
     0.100000000000000E+01  0.222351771663284E+00  0.145629459773711E-01  0.447816857859111E+01  0.293297987237723E+00
     0.101000000000000E+01  0.222294988593108E+00  0.147145337097337E-01  0.447890216330120E+01  0.296475225472258E+00
     0.102000000000000E+01  0.222237748122760E+00  0.148662045848839E-01  0.447964054581768E+01  0.299657701643380E+00
     0.103000000000000E+01  0.222180050945645E+00  0.150179550251405E-01  0.448038371367802E+01  0.302845376175783E+00
     0.104000000000000E+01  0.222121897617597E+00  0.151697813671545E-01  0.448113165774770E+01  0.306038208094626E+00
     0.105000000000000E+01  0.222063288552378E+00  0.153216798651566E-01  0.448188437231832E+01  0.309236155120312E+00
     0.106000000000000E+01  0.222004224017213E+00  0.154736466944113E-01  0.448264185520388E+01  0.312439173768276E+00
     0.107000000000000E+01  0.221944704128388E+00  0.156256779548815E-01  0.448340410783510E+01  0.315647219453809E+00
     0.108000000000000E+01  0.221884728846933E+00  0.157777696751018E-01  0.448417113535086E+01  0.318860246601796E+00
     0.109000000000000E+01  0.221824297974368E+00  0.159299178162626E-01  0.448494294668739E+01  0.322078208761479E+00
     0.110000000000000E+01  0.221763411148555E+00  0.160821182765033E-01  0.448571955466414E+01  0.325301058726083E+00
     0.111000000000000E+01  0.221702067839653E+00  0.162343668954150E-01  0.448650097606668E+01  0.328528748657330E+00
     0.112000000000000E+01  0.221640267346179E+00  0.163866594587503E-01  0.448728723172604E+01  0.331761230214743E+00
     0.113000000000000E+01  0.221578008791198E+00  0.165389917033393E-01  0.448807834659430E+01  0.334998454689645E+00
     0.114000000000000E+01  0.221515291118644E+00  0.166913593222087E-01  0.448887434981634E+01  0.338240373143813E+00
     0.115000000000000E+01  0.221452113089795E+00  0.168437579699004E-01  0.448967527479710E+01  0.341486936552574E+00
     0.116000000000000E+01  0.221388473279901E+00  0.169961832679877E-01  0.449048115926454E+01  0.344738095952329E+00
     0.117000000000000E+01  0.221324370074967E+00  0.171486308107831E-01  0.449129204532788E+01  0.347993802592306E+00
     0.118000000000000E+01  0.221259801668741E+00  0.173010961712329E-01  0.449210797953056E+01  0.351254008090350E+00
     0.119000000000000E+01  0.221194766059865E+00  0.174535749069950E-01  0.449292901289824E+01  0.354518664592667E+00
     0.120000000000000E+01  0.221129261049235E+00  0.176060625666907E-01  0.449375520098134E+01  0.357787724937286E+00
     0.121000000000000E+01  0.221063284237584E+00  0.177585546963262E-01  0.449458660389145E+01  0.361061142820981E+00
     0.122000000000000E+01  0.220996833023263E+00  0.179110468458756E-01  0.449542328633230E+01  0.364338872969562E+00
     0.123000000000000E+01  0.220929904600263E+00  0.180635345760165E-01  0.449626531762429E+01  0.367620871311206E+00
     0.124000000000000E+01  0.220862495956480E+00  0.182160134650103E-01  0.449711277172267E+01  0.370907095152596E+00
     0.125000000000000E+01  0.220794603872223E+00  0.183684791157182E-01  0.449796572722927E+01  0.374197503357650E+00
     0.126000000000000E+01  0.220726224918985E+00  0.185209271627423E-01  0.449882426739730E+01  0.377492056528513E+00
     0.127000000000000E+01  0.220657355458467E+00  0.186733532796807E-01  0.449968848012955E+01  0.380790717188597E+00
     0.128000000000000E+01  0.220587991641904E+00  0.188257531864876E-01  0.450055845796903E+01  0.384093449967243E+00
     0.129000000000000E+01  0.220518129409637E+00  0.189781226569241E-01  0.450143429808292E+01  0.387400221785888E+00
     0.130000000000000E+01  0.220447764491010E+00  0.191304575260894E-01  0.450231610223869E+01  0.390711002045195E+00
     0.131000000000000E+01  0.220376892404529E+00  0.192827536980192E-01  0.450320397677324E+01  0.394025762813029E+00
     0.132000000000000E+01  0.220305508458350E+00  0.194350071533374E-01  0.450409803255394E+01  0.397344479012735E+00
     0.133000000000000E+01  0.220233607751051E+00  0.195872139569484E-01  0.450499838493261E+01  0.400667128611576E+00
     0.134000000000000E+01  0.220161185172740E+00  0.197393702657557E-01  0.450590515369124E+01  0.403993692808760E+00
     0.135000000000000E+01  0.220088235406441E+00  0.198914723363922E-01  0.450681846298050E+01  0.407324156222912E+00
     0.136000000000000E+01  0.220014752929840E+00  0.200435165329470E-01  0.450773844125007E+01  0.410658507078424E+00
     0.137000000000000E+01  0.219940732017316E+00  0.201954993346749E-01  0.450866522117149E+01  0.413996737390471E+00
     0.138000000000000E+01  0.219866166742310E+00  0.203474173436724E-01  0.450959893955315E+01  0.417338843148226E+00
     0.139000000000000E+01  0.219791050980014E+00  0.204992672925045E-01  0.451053973724756E+01  0.420684824495920E+00
     0.140000000000000E+01  0.219715378410373E+00  0.206510460517675E-01  0.451148775905117E+01  0.424034685911419E+00
     0.141000000000000E+01  0.219639142521424E+00  0.208027506375714E-01  0.451244315359633E+01  0.427388436381846E+00
     0.142000000000000E+01  0.219562336612931E+00  0.209543782189266E-01  0.451340607323605E+01  0.430746089575995E+00
     0.143000000000000E+01  0.219484953800352E+00  0.211059261250185E-01  0.451437667392144E+01  0.434107664013092E+00
     0.144000000000000E+01  0.219406987019113E+00  0.212573918523550E-01  0.451535511507175E+01  0.437473183227543E+00
     0.145000000000000E+01  0.219328429029187E+00  0.214087730717711E-01  0.451634155943759E+01  0.440842675929352E+00
     0.146000000000000E+01  0.219249272419971E+00  0.215600676352745E-01  0.451733617295732E+01  0.444216176159863E+00
     0.147000000000000E+01  0.219169509615469E+00  0.217112735827184E-01  0.451833912460668E+01  0.447593723442415E+00
     0.148000000000000E+01  0.219089132879748E+00  0.218623891482851E-01  0.451935058624221E+01  0.450975362927692E+00
     0.149000000000000E+01  0.219008134322681E+00  0.220134127667673E-01  0.452037073243843E+01  0.454361145533378E+00
     0.150000000000000E+01  0.218926505905967E+00  0.221643430796316E-01  0.452139974031905E+01  0.457751128077805E+00
     0.151000000000000E+01  0.218844239449395E+00  0.223151789408513E-01  0.452243778938274E+01  0.461145373407375E+00
     0.152000000000000E+01  0.218761326637369E+00  0.224659194224961E-01  0.452348506132359E+01  0.464543950517446E+00
     0.153000000000000E+01  0.218677759025668E+00  0.226165638200634E-01  0.452454173984643E+01  0.467946934666392E+00
     0.154000000000000E+01  0.218593528048436E+00  0.227671116575427E-01  0.452560801047763E+01  0.471354407482657E+00
     0.155000000000000E+01  0.218508625025380E+00  0.229175626921989E-01  0.452668406037145E+01  0.474766457064524E+00
     0.156000000000000E+01  0.218423041169165E+00  0.230679169190658E-01  0.452777007811272E+01  0.478183178072520E+00
     0.157000000000000E+01  0.218336767593008E+00  0.232181745751379E-01  0.452886625351545E+01  0.481604671814055E+00
     0.158000000000000E+01  0.218249795318427E+00  0.233683361432537E-01  0.452997277741868E+01  0.485031046320395E+00
     0.159000000000000E+01  0.218162115283157E+00  0.235184023556608E-01  0.453108984147916E+01  0.488462416415620E+00
     0.160000000000000E+01  0.218073718349203E+00  0.236683741972544E-01  0.453221763796180E+01  0.491898903777592E+00
     0.161000000000000E+01  0.217984595311010E+00  0.238182529084859E-01  0.453335635952799E+01  0.495340636990769E+00
     0.162000000000000E+01  0.217894736903754E+00  0.239680399879317E-01  0.453450619902218E+01  0.498787751590779E+00
     0.163000000000000E+01  0.217804133811714E+00  0.241177371945211E-01  0.453566734925738E+01  0.502240390100788E+00
     0.164000000000000E+01  0.217712776676721E+00  0.242673465494173E-01  0.453684000279964E+01  0.505698702059549E+00
     0.165000000000000E+01  0.217620656106659E+00  0.244168703375496E-01  0.453802435175237E+01  0.509162844041206E+00
     0.166000000000000E+01  0.217527762684020E+00  0.245663111087947E-01  0.453922058754027E+01  0.512632979666793E+00
     0.167000000000000E+01  0.217434086974457E+00  0.247156716788060E-01  0.454042890069399E+01  0.516109279607560E+00
     0.168000000000000E+01  0.217339619535369E+00  0.248649551294917E-01  0.454164948063521E+01  0.519591921580115E+00
     0.169000000000000E+01  0.217244350924452E+00  0.250141648091418E-01  0.454288251546324E+01  0.523081090333547E+00
     0.170000000000000E+01  0.217148271708229E+00  0.251633043322065E-01  0.454412819174284E+01  0.526576977628557E+00
     0.171000000000000E+01  0.217051372470538E+00  0.253123775787295E-01  0.454538669429420E+01  0.530079782208818E+00
     0.172000000000000E+01  0.216953643820945E+00  0.254613886934385E-01  0.454665820598508E+01  0.533589709764635E+00
     0.173000000000000E+01  0.216855076403089E+00  0.256103420845001E-01  0.454794290752555E+01  0.537106972889136E+00
     0.174000000000000E+01  0.216755660902920E+00  0.257592424219422E-01  0.454924097726593E+01  0.540631791027183E+00
     0.175000000000000E+01  0.216655388056839E+00  0.259080946357523E-01  0.455055259099773E+01  0.544164390417134E+00
     0.176000000000000E+01  0.216554248659693E+00  0.260569039136592E-01  0.455187792175855E+01  0.547705004025835E+00
     0.177000000000000E+01  0.216452233572650E+00  0.262056756986040E-01  0.455321713964059E+01  0.551253871476905E+00
     0.178000000000000E+01  0.216349333730899E+00  0.263544156859127E-01  0.455457041160357E+01  0.554811238972705E+00
     0.179000000000000E+01  0.216245540151191E+00  0.265031298201776E-01  0.455593790129215E+01  0.558377359210237E+00
     0.180000000000000E+01  0.216140843939196E+00  0.266518242918585E-01  0.455731976885794E+01  0.561952491291208E+00
     0.181000000000000E+01  0.216035236296667E+00  0.268005055336156E-01  0.455871617078647E+01  0.565536900626570E+00
     0.182000000000000E+01  0.215928708528392E+00  0.269491802163842E-01  0.456012725972959E+01  0.569130858835940E+00
     0.183000000000000E+01  0.215821252048933E+00  0.270978552452046E-01  0.456155318434286E+01  0.572734643642041E+00
     0.184000000000000E+01  0.215712858389147E+00  0.272465377548194E-01  0.456299408912866E+01  0.576348538760622E+00
     0.185000000000000E+01  0.215603519202442E+00  0.273952351050506E-01  0.456445011428524E+01  0.579972833786208E+00
     0.186000000000000E+01  0.215493226270835E+00  0.275439548759717E-01  0.456592139556089E+01  0.583607824073790E+00
     0.187000000000000E+01  0.215381971510702E+00  0.276927048628860E-01  0.456740806411502E+01  0.587253810617188E+00
     0.188000000000000E+01  0.215269746978320E+00  0.278414930711281E-01  0.456891024638436E+01  0.590911099923983E+00
     0.189000000000000E+01  0.215156544875106E+00  0.279903277107007E-01  0.457042806395582E+01  0.594580003887709E+00
     0.190000000000000E+01  0.215042357552604E+00  0.281392171907613E-01  0.457196163344538E+01  0.598260839657491E+00
     0.191000000000000E+01  0.214927177517196E+00  0.282881701139759E-01  0.457351106638307E+01  0.601953929505469E+00
     0.192000000000000E+01  0.214810997434522E+00  0.284371952707507E-01  0.457507646910429E+01  0.605659600692431E+00
     0.193000000000000E+01  0.214693810133642E+00  0.285863016333593E-01  0.457665794264715E+01  0.609378185331856E+00
     0.194000000000000E+01  0.214575608610885E+00  0.287354983499786E-01  0.457825558265634E+01  0.613110020252916E+00
     0.195000000000000E+01  0.214456386033441E+00  0.288847947386495E-01  0.457986947929265E+01  0.616855446862495E+00
     0.196000000000000E+01  0.214336135742648E+00  0.290342002811747E-01  0.458149971714906E+01  0.620614811006799E+00
     0.197000000000000E+01  0.214214851257011E+00  0.291837246169699E-01  0.458314637517245E+01  0.624388462832681E+00
     0.198000000000000E+01  0.214092526274929E+00  0.293333775368819E-01  0.458480952659141E+01  0.628176756649105E+00
     0.199000000000000E+01  0.213969154677135E+00  0.294831689769865E-01  0.458648923884996E+01  0.631980050789041E+00
     0.200000000000000E+01  0.213844730528877E+00  0.296331090123822E-01  0.458818557354658E+01  0.635798707471939E+00
     0.201000000000000E+01  0.213719248081806E+00  0.297832078509896E-01  0.458989858637925E+01  0.639633092667303E+00
     0.202000000000000E+01  0.213592701775599E+00  0.299334758273726E-01  0.459162832709553E+01  0.643483575959406E+00
     0.203000000000000E+01  0.213465086239316E+00  0.300839233965921E-01  0.459337483944811E+01  0.647350530413525E+00
     0.204000000000000E+01  0.213336396292498E+00  0.302345611281048E-01  0.459513816115528E+01  0.651234332443919E+00
     0.205000000000000E+01  0.213206626946006E+00  0.303853996997187E-01  0.459691832386630E+01  0.655135361683724E+00
     0.206000000000000E+01  0.213075773402609E+00  0.305364498916169E-01  0.459871535313155E+01  0.659054000857103E+00
     0.207000000000000E+01  0.212943831057336E+00  0.306877225804599E-01  0.460052926837707E+01  0.662990635653722E+00
     0.208000000000000E+01  0.212810795497582E+00  0.308392287335767E-01  0.460236008288345E+01  0.666945654605846E+00
     0.209000000000000E+01  0.212676662502999E+00  0.309909794032552E-01  0.460420780376867E+01  0.670919448968169E+00
     0.210000000000000E+01  0.212541428045154E+00  0.311429857211397E-01  0.460607243197490E+01  0.674912412600590E+00
     0.211000000000000E+01  0.212405088286985E+00  0.312952588927457E-01  0.460795396225877E+01  0.678924941854031E+00
     0.212000000000000E+01  0.212267639582048E+00  0.314478101920987E-01  0.460985238318513E+01  0.682957435459514E+00
     0.213000000000000E+01  0.212129078473570E+00  0.316006509565054E-01  0.461176767712390E+01  0.687010294420545E+00
     0.214000000000000E+01  0.211989401693319E+00  0.317537925814645E-01  0.461369982024975E+01  0.691083921908948E+00
     0.215000000000000E+01  0.211848606160296E+00  0.319072465157220E-01  0.461564878254447E+01  0.695178723164239E+00
     0.216000000000000E+01  0.211706688979259E+00  0.320610242564793E-01  0.461761452780179E+01  0.699295105396640E+00
     0.217000000000000E+01  0.211563647439092E+00  0.322151373447579E-01  0.461959701363423E+01  0.703433477693775E+00
     0.218000000000000E+01  0.211419479011024E+00  0.323695973609240E-01  0.462159619148199E+01  0.707594250931113E+00
     0.219000000000000E+01  0.211274181346709E+00  0.325244159203815E-01  0.462361200662344E+01  0.711777837686236E+00
     0.220000000000000E+01  0.211127752276186E+00  0.326796046694329E-01  0.462564439818691E+01  0.715984652156862E+00
     0.221000000000000E+01  0.210980189805703E+00  0.328351752813131E-01  0.462769329916390E+01  0.720215110082799E+00
     0.222000000000000E+01  0.210831492115456E+00  0.329911394523990E-01  0.462975863642293E+01  0.724469628671665E+00
     0.223000000000000E+01  0.210681657557196E+00  0.331475088985965E-01  0.463184033072448E+01  0.728748626528564E+00
     0.223999999999999E+01  0.210530684651785E+00  0.333042953519064E-01  0.463393829673581E+01  0.733052523589420E+00
     0.224999999999999E+01  0.210378572086639E+00  0.334615105571714E-01  0.463605244304657E+01  0.737381741058291E+00
     0.225999999999999E+01  0.210225318713117E+00  0.336191662690034E-01  0.463818267218405E+01  0.741736701348317E+00
     0.226999999999999E+01  0.210070923543838E+00  0.337772742488934E-01  0.464032888062844E+01  0.746117828026488E+00
     0.227999999999999E+01  0.209915385749962E+00  0.339358462625014E-01  0.464249095882730E+01  0.750525545761928E+00
     0.228999999999999E+01  0.209758704658402E+00  0.340948940771290E-01  0.464466879120985E+01  0.754960280277948E+00
     0.229999999999999E+01  0.209600879749028E+00  0.342544294593701E-01  0.464686225619988E+01  0.759422458307439E+00
     0.230999999999999E+01  0.209441910651814E+00  0.344144641729419E-01  0.464907122622815E+01  0.763912507551879E+00
     0.231999999999999E+01  0.209281797144003E+00  0.345750099766914E-01  0.465129556774283E+01  0.768430856643461E+00
     0.232999999999999E+01  0.209120539147225E+00  0.347360786227792E-01  0.465353514121922E+01  0.772977935110692E+00
     0.233999999999999E+01  0.208958136724636E+00  0.348976818550340E-01  0.465578980116731E+01  0.777554173346978E+00
     0.234999999999999E+01  0.208794590078056E+00  0.350598314074788E-01  0.465805939613763E+01  0.782160002582230E+00
     0.235999999999999E+01  0.208629899545110E+00  0.352225390030245E-01  0.466034376872541E+01  0.786795854857516E+00
     0.236999999999999E+01  0.208464065596412E+00  0.353858163523273E-01  0.466264275557196E+01  0.791462163002248E+00
     0.237999999999999E+01  0.208297088832735E+00  0.355496751528084E-01  0.466495618736457E+01  0.796159360614320E+00
     0.238999999999999E+01  0.208128969982261E+00  0.357141270878302E-01  0.466728388883309E+01  0.800887882042437E+00
     0.239999999999999E+01  0.207959709897832E+00  0.358791838260268E-01  0.466962567874458E+01  0.805648162371084E+00
     0.240999999999999E+01  0.207789309554264E+00  0.360448570207852E-01  0.467198136989474E+01  0.810440637407529E+00
     0.241999999999999E+01  0.207617770045705E+00  0.362111583098716E-01  0.467435076909684E+01  0.815265743671045E+00
     0.242999999999999E+01  0.207445092583055E+00  0.363780993151995E-01  0.467673367716729E+01  0.820123918383918E+00
     0.243999999999999E+01  0.207271278491437E+00  0.365456916427359E-01  0.467912988890834E+01  0.825015599464340E+00
     0.244999999999999E+01  0.207096329207743E+00  0.367139468825397E-01  0.468153919308748E+01  0.829941225520841E+00
     0.245999999999999E+01  0.206920246278243E+00  0.368828766089288E-01  0.468396137241345E+01  0.834901235848174E+00
     0.246999999999999E+01  0.206743031356277E+00  0.370524923807711E-01  0.468639620350880E+01  0.839896070424493E+00
