#        Energy grid [eV]               JDOS/w^2
#
                 4.444526                 4.796055
                 4.454536                 4.799676
                 4.464546                 4.803045
                 4.474557                 4.806168
                 4.484567                 4.809051
                 4.494577                 4.811698
                 4.504587                 4.814113
                 4.514597                 4.816299
                 4.524608                 4.818259
                 4.534618                 4.819992
                 4.544628                 4.821498
                 4.554638                 4.822776
                 4.564648                 4.823824
                 4.574659                 4.824636
                 4.584669                 4.825208
                 4.594679                 4.825533
                 4.604689                 4.825603
                 4.614699                 4.825410
                 4.624710                 4.824943
                 4.634720                 4.824191
                 4.644730                 4.823142
                 4.654740                 4.821784
                 4.664750                 4.820104
                 4.674760                 4.818088
                 4.684771                 4.815722
                 4.694781                 4.812993
                 4.704791                 4.809888
                 4.714801                 4.806395
                 4.724811                 4.802501
                 4.734822                 4.798197
                 4.744832                 4.793473
                 4.754842                 4.788323
                 4.764852                 4.782741
                 4.774862                 4.776725
                 4.784873                 4.770276
                 4.794883                 4.763395
                 4.804893                 4.756090
                 4.814903                 4.748370
                 4.824913                 4.740247
                 4.834924                 4.731738
                 4.844934                 4.722863
                 4.854944                 4.713645
                 4.864954                 4.704112
                 4.874964                 4.694295
                 4.884975                 4.684227
                 4.894985                 4.673946
                 4.904995                 4.663493
                 4.915005                 4.652908
                 4.925015                 4.642239
                 4.935026                 4.631532
                 4.945036                 4.620835
                 4.955046                 4.610198
                 4.965056                 4.599671
                 4.975066                 4.589305
                 4.985076                 4.579151
                 4.995087                 4.569256
                 5.005097                 4.559671
                 5.015107                 4.550439
                 5.025117                 4.541607
                 5.035127                 4.533215
                 5.045138                 4.525302
                 5.055148                 4.517902
                 5.065158                 4.511047
                 5.075168                 4.504763
                 5.085178                 4.499074
                 5.095189                 4.493996
                 5.105199                 4.489545
                 5.115209                 4.485727
                 5.125219                 4.482546
                 5.135229                 4.480001
                 5.145240                 4.478086
                 5.155250                 4.476788
                 5.165260                 4.476092
                 5.175270                 4.475976
                 5.185280                 4.476416
                 5.195291                 4.477383
                 5.205301                 4.478842
                 5.215311                 4.480759
                 5.225321                 4.483092
                 5.235331                 4.485799
                 5.245342                 4.488835
                 5.255352                 4.492152
                 5.265362                 4.495703
                 5.275372                 4.499437
                 5.285382                 4.503303
                 5.295393                 4.507251
                 5.305403                 4.511229
                 5.315413                 4.515188
                 5.325423                 4.519077
                 5.335433                 4.522848
                 5.345443                 4.526455
                 5.355454                 4.529853
                 5.365464                 4.532999
                 5.375474                 4.535852
                 5.385484                 4.538377
                 5.395494                 4.540537
                 5.405505                 4.542302
                 5.415515                 4.543643
                 5.425525                 4.544535
                 5.435535                 4.544956
                 5.445545                 4.544889
                 5.455556                 4.544317
                 5.465566                 4.543229
                 5.475576                 4.541617
                 5.485586                 4.539475
                 5.495596                 4.536800
                 5.505607                 4.533593
                 5.515617                 4.529856
                 5.525627                 4.525596
                 5.535637                 4.520819
                 5.545647                 4.515537
                 5.555658                 4.509759
                 5.565668                 4.503501
                 5.575678                 4.496775
                 5.585688                 4.489600
                 5.595698                 4.481990
                 5.605709                 4.473965
                 5.615719                 4.465542
                 5.625729                 4.456741
                 5.635739                 4.447580
                 5.645749                 4.438078
                 5.655759                 4.428255
                 5.665770                 4.418129
                 5.675780                 4.407720
                 5.685790                 4.397046
                 5.695800                 4.386125
                 5.705810                 4.374975
                 5.715821                 4.363614
                 5.725831                 4.352058
                 5.735841                 4.340325
                 5.745851                 4.328431
                 5.755861                 4.316393
                 5.765872                 4.304226
                 5.775882                 4.291946
                 5.785892                 4.279571
                 5.795902                 4.267114
                 5.805912                 4.254594
                 5.815923                 4.242024
                 5.825933                 4.229423
                 5.835943                 4.216807
                 5.845953                 4.204191
                 5.855963                 4.191593
                 5.865974                 4.179031
                 5.875984                 4.166520
                 5.885994                 4.154079
                 5.896004                 4.141725
                 5.906014                 4.129476
                 5.916025                 4.117348
                 5.926035                 4.105359
                 5.936045                 4.093525
                 5.946055                 4.081863
                 5.956065                 4.070388
                 5.966075                 4.059116
                 5.976086                 4.048061
                 5.986096                 4.037235
                 5.996106                 4.026652
                 6.006116                 4.016322
                 6.016126                 4.006255
                 6.026137                 3.996460
                 6.036147                 3.986945
                 6.046157                 3.977714
                 6.056167                 3.968773
                 6.066177                 3.960124
                 6.076188                 3.951769
                 6.086198                 3.943707
                 6.096208                 3.935936
                 6.106218                 3.928455
                 6.116228                 3.921258
                 6.126239                 3.914339
                 6.136249                 3.907691
                 6.146259                 3.901307
                 6.156269                 3.895176
                 6.166279                 3.889289
                 6.176290                 3.883633
                 6.186300                 3.878196
                 6.196310                 3.872967
                 6.206320                 3.867930
                 6.216330                 3.863072
                 6.226341                 3.858378
                 6.236351                 3.853833
                 6.246361                 3.849423
                 6.256371                 3.845131
                 6.266381                 3.840944
                 6.276391                 3.836845
                 6.286402                 3.832820
                 6.296412                 3.828854
                 6.306422                 3.824934
                 6.316432                 3.821045
                 6.326442                 3.817174
                 6.336453                 3.813310
                 6.346463                 3.809440
                 6.356473                 3.805553
                 6.366483                 3.801640
                 6.376493                 3.797691
                 6.386504                 3.793697
                 6.396514                 3.789652
                 6.406524                 3.785549
                 6.416534                 3.781383
                 6.426544                 3.777149
                 6.436555                 3.772843
                 6.446565                 3.768462
                 6.456575                 3.764006
                 6.466585                 3.759471
                 6.476595                 3.754859
                 6.486606                 3.750169
                 6.496616                 3.745401
                 6.506626                 3.740556
                 6.516636                 3.735636
                 6.526646                 3.730642
                 6.536657                 3.725575
                 6.546667                 3.720436
                 6.556677                 3.715227
                 6.566687                 3.709947
                 6.576697                 3.704598
                 6.586707                 3.699178
                 6.596718                 3.693686
                 6.606728                 3.688121
                 6.616738                 3.682480
                 6.626748                 3.676758
                 6.636758                 3.670953
                 6.646769                 3.665057
                 6.656779                 3.659066
                 6.666789                 3.652972
                 6.676799                 3.646766
                 6.686809                 3.640441
                 6.696820                 3.633987
                 6.706830                 3.627394
                 6.716840                 3.620652
                 6.726850                 3.613752
                 6.736860                 3.606682
                 6.746871                 3.599432
                 6.756881                 3.591994
                 6.766891                 3.584356
                 6.776901                 3.576512
                 6.786911                 3.568451
                 6.796922                 3.560168
                 6.806932                 3.551657
                 6.816942                 3.542913
                 6.826952                 3.533933
                 6.836962                 3.524716
                 6.846973                 3.515260
                 6.856983                 3.505567
                 6.866993                 3.495641
                 6.877003                 3.485486
                 6.887013                 3.475109
                 6.897024                 3.464517
                 6.907034                 3.453719
                 6.917044                 3.442727
                 6.927054                 3.431552
                 6.937064                 3.420208
                 6.947074                 3.408710
                 6.957085                 3.397072
                 6.967095                 3.385311
                 6.977105                 3.373443
                 6.987115                 3.361485
                 6.997125                 3.349454
                 7.007136                 3.337367
                 7.017146                 3.325242
                 7.027156                 3.313094
                 7.037166                 3.300939
                 7.047176                 3.288794
                 7.057187                 3.276673
                 7.067197                 3.264588
                 7.077207                 3.252553
                 7.087217                 3.240579
                 7.097227                 3.228677
                 7.107238                 3.216855
                 7.117248                 3.205120
                 7.127258                 3.193481
                 7.137268                 3.181942
                 7.147278                 3.170507
                 7.157289                 3.159180
                 7.167299                 3.147962
                 7.177309                 3.136855
                 7.187319                 3.125860
                 7.197329                 3.114976
                 7.207340                 3.104203
                 7.217350                 3.093540
                 7.227360                 3.082985
                 7.237370                 3.072539
                 7.247380                 3.062200
                 7.257390                 3.051966
                 7.267401                 3.041838
                 7.277411                 3.031817
                 7.287421                 3.021902
                 7.297431                 3.012096
                 7.307441                 3.002400
                 7.317452                 2.992819
                 7.327462                 2.983357
                 7.337472                 2.974018
                 7.347482                 2.964810
                 7.357492                 2.955740
                 7.367503                 2.946816
                 7.377513                 2.938048
                 7.387523                 2.929445
                 7.397533                 2.921020
                 7.407543                 2.912783
                 7.417554                 2.904747
                 7.427564                 2.896925
                 7.437574                 2.889332
                 7.447584                 2.881979
                 7.457594                 2.874883
                 7.467605                 2.868056
                 7.477615                 2.861513
                 7.487625                 2.855267
                 7.497635                 2.849333
                 7.507645                 2.843723
                 7.517656                 2.838451
                 7.527666                 2.833527
                 7.537676                 2.828965
                 7.547686                 2.824773
                 7.557696                 2.820963
                 7.567706                 2.817542
                 7.577717                 2.814518
                 7.587727                 2.811898
                 7.597737                 2.809687
                 7.607747                 2.807888
                 7.617757                 2.806504
                 7.627768                 2.805537
                 7.637778                 2.804986
                 7.647788                 2.804849
                 7.657798                 2.805122
                 7.667808                 2.805800
                 7.677819                 2.806877
                 7.687829                 2.808343
                 7.697839                 2.810188
                 7.707849                 2.812401
                 7.717859                 2.814966
                 7.727870                 2.817868
                 7.737880                 2.821090
                 7.747890                 2.824611
                 7.757900                 2.828410
                 7.767910                 2.832465
                 7.777921                 2.836750
                 7.787931                 2.841240
                 7.797941                 2.845906
                 7.807951                 2.850720
                 7.817961                 2.855652
                 7.827972                 2.860669
                 7.837982                 2.865740
                 7.847992                 2.870832
                 7.858002                 2.875911
                 7.868012                 2.880944
                 7.878022                 2.885897
                 7.888033                 2.890735
                 7.898043                 2.895426
                 7.908053                 2.899937
                 7.918063                 2.904235
                 7.928073                 2.908289
                 7.938084                 2.912069
                 7.948094                 2.915547
                 7.958104                 2.918695
                 7.968114                 2.921488
                 7.978124                 2.923902
                 7.988135                 2.925915
                 7.998145                 2.927509
                 8.008155                 2.928666
                 8.018165                 2.929370
                 8.028175                 2.929609
                 8.038186                 2.929373
                 8.048196                 2.928653
                 8.058206                 2.927443
                 8.068216                 2.925741
                 8.078226                 2.923544
                 8.088237                 2.920854
                 8.098247                 2.917674
                 8.108257                 2.914010
                 8.118267                 2.909868
                 8.128277                 2.905257
                 8.138288                 2.900189
                 8.148298                 2.894676
                 8.158308                 2.888731
                 8.168318                 2.882371
                 8.178328                 2.875611
                 8.188338                 2.868471
                 8.198349                 2.860968
                 8.208359                 2.853123
                 8.218369                 2.844956
                 8.228379                 2.836489
                 8.238389                 2.827743
                 8.248400                 2.818741
                 8.258410                 2.809506
                 8.268420                 2.800060
                 8.278430                 2.790426
                 8.288440                 2.780628
                 8.298451                 2.770688
                 8.308461                 2.760629
                 8.318471                 2.750474
                 8.328481                 2.740245
                 8.338491                 2.729964
                 8.348502                 2.719651
                 8.358512                 2.709327
                 8.368522                 2.699013
                 8.378532                 2.688727
                 8.388542                 2.678488
                 8.398553                 2.668314
                 8.408563                 2.658220
                 8.418573                 2.648222
                 8.428583                 2.638336
                 8.438593                 2.628575
                 8.448604                 2.618952
                 8.458614                 2.609479
                 8.468624                 2.600166
                 8.478634                 2.591024
                 8.488644                 2.582061
                 8.498655                 2.573286
                 8.508665                 2.564706
                 8.518675                 2.556327
                 8.528685                 2.548156
                 8.538695                 2.540197
                 8.548705                 2.532455
                 8.558716                 2.524934
                 8.568726                 2.517638
                 8.578736                 2.510569
                 8.588746                 2.503732
                 8.598756                 2.497127
                 8.608767                 2.490757
                 8.618777                 2.484625
                 8.628787                 2.478732
                 8.638797                 2.473080
                 8.648807                 2.467670
                 8.658818                 2.462504
                 8.668828                 2.457584
                 8.678838                 2.452909
                 8.688848                 2.448482
                 8.698858                 2.444304
                 8.708869                 2.440374
                 8.718879                 2.436694
                 8.728889                 2.433263
                 8.738899                 2.430082
                 8.748909                 2.427150
                 8.758920                 2.424467
                 8.768930                 2.422031
                 8.778940                 2.419841
                 8.788950                 2.417894
                 8.798960                 2.416189
                 8.808971                 2.414722
                 8.818981                 2.413490
                 8.828991                 2.412488
                 8.839001                 2.411714
                 8.849011                 2.411160
                 8.859021                 2.410823
                 8.869032                 2.410695
                 8.879042                 2.410771
                 8.889052                 2.411044
                 8.899062                 2.411507
                 8.909072                 2.412152
                 8.919083                 2.412971
                 8.929093                 2.413957
                 8.939103                 2.415101
                 8.949113                 2.416396
                 8.959123                 2.417831
                 8.969134                 2.419400
                 8.979144                 2.421094
                 8.989154                 2.422904
                 8.999164                 2.424822
                 9.009174                 2.426839
                 9.019185                 2.428948
                 9.029195                 2.431141
                 9.039205                 2.433409
                 9.049215                 2.435746
                 9.059225                 2.438145
                 9.069236                 2.440597
                 9.079246                 2.443097
                 9.089256                 2.445637
                 9.099266                 2.448212
                 9.109276                 2.450815
                 9.119287                 2.453440
                 9.129297                 2.456081
                 9.139307                 2.458732
                 9.149317                 2.461389
                 9.159327                 2.464044
                 9.169337                 2.466694
                 9.179348                 2.469332
                 9.189358                 2.471953
                 9.199368                 2.474552
                 9.209378                 2.477124
                 9.219388                 2.479663
                 9.229399                 2.482164
                 9.239409                 2.484622
                 9.249419                 2.487031
                 9.259429                 2.489387
                 9.269439                 2.491684
                 9.279450                 2.493917
                 9.289460                 2.496080
                 9.299470                 2.498170
                 9.309480                 2.500180
                 9.319490                 2.502105
                 9.329501                 2.503942
                 9.339511                 2.505685
                 9.349521                 2.507331
                 9.359531                 2.508873
                 9.369541                 2.510310
                 9.379552                 2.511635
                 9.389562                 2.512847
                 9.399572                 2.513940
                 9.409582                 2.514912
                 9.419592                 2.515758
                 9.429603                 2.516477
                 9.439613                 2.517063
                 9.449623                 2.517515
                 9.459633                 2.517829
                 9.469643                 2.518001
                 9.479653                 2.518030
                 9.489664                 2.517910
                 9.499674                 2.517640
                 9.509684                 2.517215
                 9.519694                 2.516631
                 9.529704                 2.515886
                 9.539715                 2.514975
                 9.549725                 2.513893
                 9.559735                 2.512638
                 9.569745                 2.511203
                 9.579755                 2.509586
                 9.589766                 2.507782
                 9.599776                 2.505786
                 9.609786                 2.503594
                 9.619796                 2.501203
                 9.629806                 2.498607
                 9.639817                 2.495805
                 9.649827                 2.492792
                 9.659837                 2.489566
                 9.669847                 2.486125
                 9.679857                 2.482468
                 9.689868                 2.478594
                 9.699878                 2.474503
                 9.709888                 2.470196
                 9.719898                 2.465675
                 9.729908                 2.460942
                 9.739919                 2.456002
                 9.749929                 2.450858
                 9.759939                 2.445515
                 9.769949                 2.439981
                 9.779959                 2.434262
                 9.789969                 2.428366
                 9.799980                 2.422300
                 9.809990                 2.416075
                 9.820000                 2.409699
                 9.830010                 2.403182
                 9.840020                 2.396534
                 9.850031                 2.389766
                 9.860041                 2.382888
                 9.870051                 2.375910
                 9.880061                 2.368843
                 9.890071                 2.361696
                 9.900082                 2.354479
                 9.910092                 2.347202
                 9.920102                 2.339873
                 9.930112                 2.332502
                 9.940122                 2.325097
                 9.950133                 2.317666
                 9.960143                 2.310216
                 9.970153                 2.302754
                 9.980163                 2.295288
                 9.990173                 2.287823
                10.000184                 2.280366
