#        Energy grid [eV]               DOS
#
               -72.584133                 0.000023
               -72.574133                 0.000021
               -72.564132                 0.000020
               -72.554132                 0.000019
               -72.544132                 0.000018
               -72.534132                 0.000017
               -72.524132                 0.000017
               -72.514132                 0.000016
               -72.504131                 0.000015
               -72.494131                 0.000014
               -72.484131                 0.000013
               -72.474131                 0.000013
               -72.464131                 0.000012
               -72.454130                 0.000012
               -72.444130                 0.000011
               -72.434130                 0.000010
               -72.424130                 0.000010
               -72.414130                 0.000009
               -72.404130                 0.000009
               -72.394129                 0.000008
               -72.384129                 0.000008
               -72.374129                 0.000008
               -72.364129                 0.000007
               -72.354129                 0.000007
               -72.344128                 0.000007
               -72.334128                 0.000006
               -72.324128                 0.000006
               -72.314128                 0.000006
               -72.304128                 0.000005
               -72.294128                 0.000005
               -72.284127                 0.000005
               -72.274127                 0.000005
               -72.264127                 0.000004
               -72.254127                 0.000004
               -72.244127                 0.000004
               -72.234126                 0.000004
               -72.224126                 0.000004
               -72.214126                 0.000003
               -72.204126                 0.000003
               -72.194126                 0.000003
               -72.184126                 0.000003
               -72.174125                 0.000003
               -72.164125                 0.000003
               -72.154125                 0.000002
               -72.144125                 0.000002
               -72.134125                 0.000002
               -72.124124                 0.000002
               -72.114124                 0.000002
               -72.104124                 0.000002
               -72.094124                 0.000002
               -72.084124                 0.000002
               -72.074123                 0.000002
               -72.064123                 0.000002
               -72.054123                 0.000001
               -72.044123                 0.000001
               -72.034123                 0.000001
               -72.024123                 0.000001
               -72.014122                 0.000001
               -72.004122                 0.000001
               -71.994122                 0.000001
               -71.984122                 0.000001
               -71.974122                 0.000001
               -71.964121                 0.000001
               -71.954121                 0.000001
               -71.944121                 0.000001
               -71.934121                 0.000001
               -71.924121                 0.000001
               -71.914121                 0.000001
               -71.904120                 0.000001
               -71.894120                 0.000001
               -71.884120                 0.000001
               -71.874120                 0.000001
               -71.864120                 0.000001
               -71.854119                 0.000001
               -71.844119                 0.000000
               -71.834119                 0.000000
               -71.824119                 0.000000
               -71.814119                 0.000000
               -71.804119                 0.000000
               -71.794118                 0.000000
               -71.784118                 0.000000
               -71.774118                 0.000000
               -71.764118                 0.000000
               -71.754118                 0.000000
               -71.744117                 0.000000
               -71.734117                 0.000000
               -71.724117                 0.000000
               -71.714117                 0.000000
               -71.704117                 0.000000
               -71.694117                 0.000000
               -71.684116                 0.000000
               -71.674116                 0.000000
               -71.664116                 0.000000
               -71.654116                 0.000000
               -71.644116                 0.000000
               -71.634115                 0.000000
               -71.624115                 0.000000
               -71.614115                 0.000000
               -71.604115                 0.000000
               -71.594115                 0.000000
               -71.584114                 0.000000
               -71.574114                 0.000000
               -71.564114                 0.000000
               -71.554114                 0.000000
               -71.544114                 0.000000
               -71.534114                 0.000000
               -71.524113                 0.000000
               -71.514113                 0.000000
               -71.504113                 0.000000
               -71.494113                 0.000000
               -71.484113                 0.000000
               -71.474112                 0.000000
               -71.464112                 0.000000
               -71.454112                 0.000000
               -71.444112                 0.000000
               -71.434112                 0.000000
               -71.424112                 0.000000
               -71.414111                 0.000000
               -71.404111                 0.000000
               -71.394111                 0.000000
               -71.384111                 0.000000
               -71.374111                 0.000000
               -71.364110                 0.000000
               -71.354110                 0.000000
               -71.344110                 0.000000
               -71.334110                 0.000000
               -71.324110                 0.000000
               -71.314110                 0.000000
               -71.304109                 0.000000
               -71.294109                 0.000000
               -71.284109                 0.000000
               -71.274109                 0.000000
               -71.264109                 0.000000
               -71.254108                 0.000000
               -71.244108                 0.000000
               -71.234108                 0.000000
               -71.224108                 0.000000
               -71.214108                 0.000000
               -71.204108                 0.000000
               -71.194107                 0.000000
               -71.184107                 0.000000
               -71.174107                 0.000000
               -71.164107                 0.000000
               -71.154107                 0.000000
               -71.144106                 0.000000
               -71.134106                 0.000000
               -71.124106                 0.000000
               -71.114106                 0.000000
               -71.104106                 0.000000
               -71.094105                 0.000000
               -71.084105                 0.000000
               -71.074105                 0.000000
               -71.064105                 0.000000
               -71.054105                 0.000000
               -71.044105                 0.000000
               -71.034104                 0.000000
               -71.024104                 0.000000
               -71.014104                 0.000000
               -71.004104                 0.000000
               -70.994104                 0.000000
               -70.984103                 0.000000
               -70.974103                 0.000000
               -70.964103                 0.000000
               -70.954103                 0.000000
               -70.944103                 0.000000
               -70.934103                 0.000000
               -70.924102                 0.000000
               -70.914102                 0.000000
               -70.904102                 0.000000
               -70.894102                 0.000000
               -70.884102                 0.000000
               -70.874101                 0.000000
               -70.864101                 0.000000
               -70.854101                 0.000000
               -70.844101                 0.000000
               -70.834101                 0.000000
               -70.824101                 0.000000
               -70.814100                 0.000000
               -70.804100                 0.000000
               -70.794100                 0.000000
               -70.784100                 0.000000
               -70.774100                 0.000000
               -70.764099                 0.000000
               -70.754099                 0.000000
               -70.744099                 0.000000
               -70.734099                 0.000000
               -70.724099                 0.000000
               -70.714099                 0.000000
               -70.704098                 0.000000
               -70.694098                 0.000000
               -70.684098                 0.000000
               -70.674098                 0.000000
               -70.664098                 0.000000
               -70.654097                 0.000000
               -70.644097                 0.000000
               -70.634097                 0.000000
               -70.624097                 0.000000
               -70.614097                 0.000000
               -70.604096                 0.000000
               -70.594096                 0.000000
               -70.584096                 0.000000
               -70.574096                 0.000000
               -70.564096                 0.000000
               -70.554096                 0.000000
               -70.544095                 0.000000
               -70.534095                 0.000000
               -70.524095                 0.000000
               -70.514095                 0.000000
               -70.504095                 0.000000
               -70.494094                 0.000000
               -70.484094                 0.000000
               -70.474094                 0.000000
               -70.464094                 0.000000
               -70.454094                 0.000000
               -70.444094                 0.000000
               -70.434093                 0.000000
               -70.424093                 0.000000
               -70.414093                 0.000000
               -70.404093                 0.000000
               -70.394093                 0.000000
               -70.384092                 0.000000
               -70.374092                 0.000000
               -70.364092                 0.000000
               -70.354092                 0.000000
               -70.344092                 0.000000
               -70.334092                 0.000000
               -70.324091                 0.000000
               -70.314091                 0.000000
               -70.304091                 0.000000
               -70.294091                 0.000000
               -70.284091                 0.000000
               -70.274090                 0.000000
               -70.264090                 0.000000
               -70.254090                 0.000000
               -70.244090                 0.000000
               -70.234090                 0.000000
               -70.224090                 0.000000
               -70.214089                 0.000000
               -70.204089                 0.000000
               -70.194089                 0.000000
               -70.184089                 0.000000
               -70.174089                 0.000000
               -70.164088                 0.000000
               -70.154088                 0.000000
               -70.144088                 0.000000
               -70.134088                 0.000000
               -70.124088                 0.000000
               -70.114087                 0.000000
               -70.104087                 0.000000
               -70.094087                 0.000000
               -70.084087                 0.000000
               -70.074087                 0.000000
               -70.064087                 0.000000
               -70.054086                 0.000000
               -70.044086                 0.000000
               -70.034086                 0.000000
               -70.024086                 0.000000
               -70.014086                 0.000000
               -70.004085                 0.000000
               -69.994085                 0.000000
               -69.984085                 0.000000
               -69.974085                 0.000000
               -69.964085                 0.000000
               -69.954085                 0.000000
               -69.944084                 0.000000
               -69.934084                 0.000000
               -69.924084                 0.000000
               -69.914084                 0.000000
               -69.904084                 0.000000
               -69.894083                 0.000000
               -69.884083                 0.000000
               -69.874083                 0.000000
               -69.864083                 0.000000
               -69.854083                 0.000000
               -69.844083                 0.000000
               -69.834082                 0.000000
               -69.824082                 0.000000
               -69.814082                 0.000000
               -69.804082                 0.000000
               -69.794082                 0.000000
               -69.784081                 0.000000
               -69.774081                 0.000000
               -69.764081                 0.000000
               -69.754081                 0.000000
               -69.744081                 0.000000
               -69.734081                 0.000000
               -69.724080                 0.000000
               -69.714080                 0.000000
               -69.704080                 0.000000
               -69.694080                 0.000000
               -69.684080                 0.000000
               -69.674079                 0.000000
               -69.664079                 0.000000
               -69.654079                 0.000000
               -69.644079                 0.000000
               -69.634079                 0.000000
               -69.624078                 0.000000
               -69.614078                 0.000000
               -69.604078                 0.000000
               -69.594078                 0.000000
               -69.584078                 0.000000
               -69.574078                 0.000000
               -69.564077                 0.000000
               -69.554077                 0.000000
               -69.544077                 0.000000
               -69.534077                 0.000000
               -69.524077                 0.000000
               -69.514076                 0.000000
               -69.504076                 0.000000
               -69.494076                 0.000000
               -69.484076                 0.000000
               -69.474076                 0.000000
               -69.464076                 0.000000
               -69.454075                 0.000000
               -69.444075                 0.000000
               -69.434075                 0.000000
               -69.424075                 0.000000
               -69.414075                 0.000000
               -69.404074                 0.000000
               -69.394074                 0.000000
               -69.384074                 0.000000
               -69.374074                 0.000000
               -69.364074                 0.000000
               -69.354074                 0.000000
               -69.344073                 0.000000
               -69.334073                 0.000000
               -69.324073                 0.000000
               -69.314073                 0.000000
               -69.304073                 0.000000
               -69.294072                 0.000000
               -69.284072                 0.000000
               -69.274072                 0.000000
               -69.264072                 0.000000
               -69.254072                 0.000000
               -69.244072                 0.000000
               -69.234071                 0.000000
               -69.224071                 0.000000
               -69.214071                 0.000000
               -69.204071                 0.000000
               -69.194071                 0.000000
               -69.184070                 0.000000
               -69.174070                 0.000000
               -69.164070                 0.000000
               -69.154070                 0.000000
               -69.144070                 0.000000
               -69.134069                 0.000000
               -69.124069                 0.000000
               -69.114069                 0.000000
               -69.104069                 0.000000
               -69.094069                 0.000000
               -69.084069                 0.000000
               -69.074068                 0.000000
               -69.064068                 0.000000
               -69.054068                 0.000000
               -69.044068                 0.000000
               -69.034068                 0.000000
               -69.024067                 0.000000
               -69.014067                 0.000000
               -69.004067                 0.000000
               -68.994067                 0.000000
               -68.984067                 0.000000
               -68.974067                 0.000000
               -68.964066                 0.000000
               -68.954066                 0.000000
               -68.944066                 0.000000
               -68.934066                 0.000000
               -68.924066                 0.000000
               -68.914065                 0.000000
               -68.904065                 0.000000
               -68.894065                 0.000000
               -68.884065                 0.000000
               -68.874065                 0.000000
               -68.864065                 0.000000
               -68.854064                 0.000000
               -68.844064                 0.000000
               -68.834064                 0.000000
               -68.824064                 0.000000
               -68.814064                 0.000000
               -68.804063                 0.000000
               -68.794063                 0.000000
               -68.784063                 0.000000
               -68.774063                 0.000000
               -68.764063                 0.000000
               -68.754063                 0.000000
               -68.744062                 0.000000
               -68.734062                 0.000000
               -68.724062                 0.000000
               -68.714062                 0.000000
               -68.704062                 0.000000
               -68.694061                 0.000000
               -68.684061                 0.000000
               -68.674061                 0.000000
               -68.664061                 0.000000
               -68.654061                 0.000000
               -68.644060                 0.000000
               -68.634060                 0.000000
               -68.624060                 0.000000
               -68.614060                 0.000000
               -68.604060                 0.000000
               -68.594060                 0.000000
               -68.584059                 0.000000
               -68.574059                 0.000000
               -68.564059                 0.000000
               -68.554059                 0.000000
               -68.544059                 0.000000
               -68.534058                 0.000000
               -68.524058                 0.000000
               -68.514058                 0.000000
               -68.504058                 0.000000
               -68.494058                 0.000000
               -68.484058                 0.000000
               -68.474057                 0.000000
               -68.464057                 0.000000
               -68.454057                 0.000000
               -68.444057                 0.000000
               -68.434057                 0.000000
               -68.424056                 0.000000
               -68.414056                 0.000000
               -68.404056                 0.000000
               -68.394056                 0.000000
               -68.384056                 0.000000
               -68.374056                 0.000000
               -68.364055                 0.000000
               -68.354055                 0.000000
               -68.344055                 0.000000
               -68.334055                 0.000000
               -68.324055                 0.000000
               -68.314054                 0.000000
               -68.304054                 0.000000
               -68.294054                 0.000000
               -68.284054                 0.000000
               -68.274054                 0.000000
               -68.264054                 0.000000
               -68.254053                 0.000000
               -68.244053                 0.000000
               -68.234053                 0.000000
               -68.224053                 0.000000
               -68.214053                 0.000000
               -68.204052                 0.000000
               -68.194052                 0.000000
               -68.184052                 0.000000
               -68.174052                 0.000000
               -68.164052                 0.000000
               -68.154051                 0.000000
               -68.144051                 0.000000
               -68.134051                 0.000000
               -68.124051                 0.000000
               -68.114051                 0.000000
               -68.104051                 0.000000
               -68.094050                 0.000000
               -68.084050                 0.000000
               -68.074050                 0.000000
               -68.064050                 0.000000
               -68.054050                 0.000000
               -68.044049                 0.000000
               -68.034049                 0.000000
               -68.024049                 0.000000
               -68.014049                 0.000000
               -68.004049                 0.000000
               -67.994049                 0.000000
               -67.984048                 0.000000
               -67.974048                 0.000000
               -67.964048                 0.000000
               -67.954048                 0.000000
               -67.944048                 0.000000
               -67.934047                 0.000000
               -67.924047                 0.000000
               -67.914047                 0.000000
               -67.904047                 0.000000
               -67.894047                 0.000000
               -67.884047                 0.000000
               -67.874046                 0.000000
               -67.864046                 0.000000
               -67.854046                 0.000000
               -67.844046                 0.000000
               -67.834046                 0.000000
               -67.824045                 0.000000
               -67.814045                 0.000000
               -67.804045                 0.000000
               -67.794045                 0.000000
               -67.784045                 0.000000
               -67.774045                 0.000000
               -67.764044                 0.000000
               -67.754044                 0.000000
               -67.744044                 0.000000
               -67.734044                 0.000000
               -67.724044                 0.000000
               -67.714043                 0.000000
               -67.704043                 0.000000
               -67.694043                 0.000000
               -67.684043                 0.000000
               -67.674043                 0.000000
               -67.664042                 0.000000
               -67.654042                 0.000000
               -67.644042                 0.000000
               -67.634042                 0.000000
               -67.624042                 0.000000
               -67.614042                 0.000000
               -67.604041                 0.000000
               -67.594041                 0.000000
               -67.584041                 0.000000
               -67.574041                 0.000000
               -67.564041                 0.000000
               -67.554040                 0.000000
               -67.544040                 0.000000
               -67.534040                 0.000000
               -67.524040                 0.000000
               -67.514040                 0.000000
               -67.504040                 0.000000
               -67.494039                 0.000000
               -67.484039                 0.000000
               -67.474039                 0.000000
               -67.464039                 0.000000
               -67.454039                 0.000000
               -67.444038                 0.000000
               -67.434038                 0.000000
               -67.424038                 0.000000
               -67.414038                 0.000000
               -67.404038                 0.000000
               -67.394038                 0.000000
               -67.384037                 0.000000
               -67.374037                 0.000000
               -67.364037                 0.000000
               -67.354037                 0.000000
               -67.344037                 0.000000
               -67.334036                 0.000000
               -67.324036                 0.000000
               -67.314036                 0.000000
               -67.304036                 0.000000
               -67.294036                 0.000000
               -67.284036                 0.000000
               -67.274035                 0.000000
               -67.264035                 0.000000
               -67.254035                 0.000000
               -67.244035                 0.000000
               -67.234035                 0.000000
               -67.224034                 0.000000
               -67.214034                 0.000000
               -67.204034                 0.000000
               -67.194034                 0.000000
               -67.184034                 0.000000
               -67.174033                 0.000000
               -67.164033                 0.000000
               -67.154033                 0.000000
               -67.144033                 0.000000
               -67.134033                 0.000000
               -67.124033                 0.000000
               -67.114032                 0.000000
               -67.104032                 0.000000
               -67.094032                 0.000000
               -67.084032                 0.000000
               -67.074032                 0.000000
               -67.064031                 0.000000
               -67.054031                 0.000000
               -67.044031                 0.000000
               -67.034031                 0.000000
               -67.024031                 0.000000
               -67.014031                 0.000000
               -67.004030                 0.000000
               -66.994030                 0.000000
               -66.984030                 0.000000
               -66.974030                 0.000000
               -66.964030                 0.000000
               -66.954029                 0.000000
               -66.944029                 0.000000
               -66.934029                 0.000000
               -66.924029                 0.000000
               -66.914029                 0.000000
               -66.904029                 0.000000
               -66.894028                 0.000000
               -66.884028                 0.000000
               -66.874028                 0.000000
               -66.864028                 0.000000
               -66.854028                 0.000000
               -66.844027                 0.000000
               -66.834027                 0.000000
               -66.824027                 0.000000
               -66.814027                 0.000000
               -66.804027                 0.000000
               -66.794027                 0.000000
               -66.784026                 0.000000
               -66.774026                 0.000000
               -66.764026                 0.000000
               -66.754026                 0.000000
               -66.744026                 0.000000
               -66.734025                 0.000000
               -66.724025                 0.000000
               -66.714025                 0.000000
               -66.704025                 0.000000
               -66.694025                 0.000000
               -66.684024                 0.000000
               -66.674024                 0.000000
               -66.664024                 0.000000
               -66.654024                 0.000000
               -66.644024                 0.000000
               -66.634024                 0.000000
               -66.624023                 0.000000
               -66.614023                 0.000000
               -66.604023                 0.000000
               -66.594023                 0.000000
               -66.584023                 0.000000
               -66.574022                 0.000000
               -66.564022                 0.000000
               -66.554022                 0.000000
               -66.544022                 0.000000
               -66.534022                 0.000000
               -66.524022                 0.000000
               -66.514021                 0.000000
               -66.504021                 0.000000
               -66.494021                 0.000000
               -66.484021                 0.000000
               -66.474021                 0.000000
               -66.464020                 0.000000
               -66.454020                 0.000000
               -66.444020                 0.000000
               -66.434020                 0.000000
               -66.424020                 0.000000
               -66.414020                 0.000000
               -66.404019                 0.000000
               -66.394019                 0.000000
               -66.384019                 0.000000
               -66.374019                 0.000000
               -66.364019                 0.000000
               -66.354018                 0.000000
               -66.344018                 0.000000
               -66.334018                 0.000000
               -66.324018                 0.000000
