#        Energy grid [eV]               Re(eps)                  Im(eps)               refractive_index          extinct_coeff             reflectivity
#
                 0.000000             -2378.078296                 Infinity                 Infinity                 Infinity                      NaN
                 0.310316              -660.451350               414.533994                 7.723803                26.834837                 0.961197
                 0.320326              -630.414989               383.465654                 7.330294                26.156227                 0.961089
                 0.330336              -602.139121               355.309948                 6.964738                25.507777                 0.960986
                 0.340347              -575.510136               329.745389                 6.624672                24.887676                 0.960889
                 0.350357              -550.420827               306.490758                 6.307888                24.294244                 0.960797
                 0.360367              -526.770390               285.299521                 6.012401                23.725922                 0.960709
                 0.370377              -504.464316               265.955075                 5.736424                23.181261                 0.960625
                 0.380387              -483.414194               248.266718                 5.478345                22.658916                 0.960545
                 0.390398              -463.537479               232.066207                 5.236711                22.157631                 0.960467
                 0.400408              -444.757205               217.204818                 5.010205                21.676240                 0.960392
                 0.410418              -427.001696               203.550825                 4.797638                21.213652                 0.960320
                 0.420428              -410.204251               190.987336                 4.597927                20.768851                 0.960250
                 0.430438              -394.302846               179.410429                 4.410093                20.340889                 0.960182
                 0.440449              -379.239825               168.727547                 4.233243                19.928878                 0.960115
                 0.450459              -364.961608               158.856108                 4.066563                19.531988                 0.960050
                 0.460469              -351.418408               149.722303                 3.909312                19.149442                 0.959987
                 0.470479              -338.563967               141.260054                 3.760814                18.780514                 0.959925
                 0.480489              -326.355296               133.410103                 3.620450                18.424520                 0.959863
                 0.490499              -314.752443               126.119226                 3.487652                18.080823                 0.959803
                 0.500510              -303.718262               119.339540                 3.361901                17.748821                 0.959743
                 0.510520              -293.218211               113.027904                 3.242719                17.427950                 0.959684
                 0.520530              -283.220156               107.145388                 3.129670                17.117681                 0.959626
                 0.530540              -273.694190               101.656811                 3.022349                16.817514                 0.959568
                 0.540550              -264.612466                96.530335                 2.920386                16.526982                 0.959511
                 0.550561              -255.949042                91.737107                 2.823438                16.245641                 0.959454
                 0.560571              -247.679741                87.250941                 2.731188                15.973075                 0.959397
                 0.570581              -239.782018                83.048042                 2.643345                15.708892                 0.959340
                 0.580591              -232.234834                79.106758                 2.559638                15.452721                 0.959283
                 0.590601              -225.018553                75.407364                 2.479818                15.204212                 0.959226
                 0.600612              -218.114828                71.931864                 2.403652                14.963034                 0.959170
                 0.610622              -211.506515                68.663821                 2.330926                14.728874                 0.959113
                 0.620632              -205.177578                65.588207                 2.261438                14.501437                 0.959056
                 0.630642              -199.113012                62.691261                 2.195004                14.280443                 0.958999
                 0.640652              -193.298769                59.960372                 2.131450                14.065627                 0.958941
                 0.650663              -187.721684                57.383968                 2.070616                13.856736                 0.958883
                 0.660673              -182.369420                54.951419                 2.012352                13.653534                 0.958825
                 0.670683              -177.230401                52.652949                 1.956516                13.455793                 0.958767
                 0.680693              -172.293764                50.479559                 1.902979                13.263299                 0.958708
                 0.690703              -167.549306                48.422959                 1.851618                13.075848                 0.958648
                 0.700714              -162.987439                46.475499                 1.802320                12.893246                 0.958588
                 0.710724              -158.599149                44.630118                 1.754976                12.715309                 0.958528
                 0.720734              -154.375955                42.880290                 1.709487                12.541862                 0.958467
                 0.730744              -150.309872                41.219976                 1.665758                12.372737                 0.958406
                 0.740754              -146.393381                39.643588                 1.623702                12.207776                 0.958344
                 0.750765              -142.619395                38.145944                 1.583236                12.046827                 0.958281
                 0.760775              -138.981230                36.722239                 1.544282                11.889745                 0.958217
                 0.770785              -135.472581                35.368013                 1.506767                11.736393                 0.958153
                 0.780795              -132.087496                34.079121                 1.470621                11.586640                 0.958088
                 0.790805              -128.820353                32.851708                 1.435781                11.440359                 0.958023
                 0.800816              -125.665837                31.682187                 1.402185                11.297432                 0.957956
                 0.810826              -122.618925                30.567217                 1.369776                11.157742                 0.957889
                 0.820836              -119.674864                29.503685                 1.338499                11.021182                 0.957821
                 0.830846              -116.829154                28.488685                 1.308303                10.887645                 0.957752
                 0.840856              -114.077536                27.519505                 1.279140                10.757032                 0.957682
                 0.850866              -111.415972                26.593612                 1.250964                10.629247                 0.957612
                 0.860877              -108.840635                25.708637                 1.223732                10.504197                 0.957540
                 0.870887              -106.347896                24.862364                 1.197402                10.381795                 0.957467
                 0.880897              -103.934310                24.052720                 1.171936                10.261956                 0.957394
                 0.890907              -101.596607                23.277760                 1.147298                10.144600                 0.957319
                 0.900917               -99.331682                22.535663                 1.123452                10.029647                 0.957244
                 0.910928               -97.136584                21.824720                 1.100366                 9.917025                 0.957167
                 0.920938               -95.008508                21.143326                 1.078008                 9.806661                 0.957089
                 0.930948               -92.944783                20.489976                 1.056349                 9.698487                 0.957011
                 0.940958               -90.942873                19.863253                 1.035360                 9.592437                 0.956931
                 0.950968               -89.000359                19.261825                 1.015015                 9.488446                 0.956850
                 0.960979               -87.114939                18.684440                 0.995287                 9.386455                 0.956767
                 0.970989               -85.284421                18.129919                 0.976154                 9.286404                 0.956684
                 0.980999               -83.506714                17.597149                 0.957591                 9.188237                 0.956599
                 0.991009               -81.779824                17.085084                 0.939577                 9.091899                 0.956513
                 1.001019               -80.101850                16.592736                 0.922091                 8.997339                 0.956426
                 1.011030               -78.470976                16.119172                 0.905113                 8.904505                 0.956338
                 1.021040               -76.885471                15.663513                 0.888624                 8.813349                 0.956248
                 1.031050               -75.343680                15.224928                 0.872606                 8.723825                 0.956157
                 1.041060               -73.844021                14.802631                 0.857042                 8.635887                 0.956064
                 1.051070               -72.384983                14.395879                 0.841914                 8.549491                 0.955971
                 1.061081               -70.965121                14.003971                 0.827208                 8.464597                 0.955875
                 1.071091               -69.583053                13.626240                 0.812909                 8.381162                 0.955778
                 1.081101               -68.237457                13.262057                 0.799001                 8.299148                 0.955680
                 1.091111               -66.927067                12.910825                 0.785472                 8.218518                 0.955580
                 1.101121               -65.650669                12.571980                 0.772307                 8.139234                 0.955479
                 1.111132               -64.407105                12.244984                 0.759496                 8.061262                 0.955376
                 1.121142               -63.195259                11.929329                 0.747024                 7.984567                 0.955272
                 1.131152               -62.014067                11.624533                 0.734882                 7.909116                 0.955165
                 1.141162               -60.862505                11.330136                 0.723058                 7.834878                 0.955058
                 1.151172               -59.739593                11.045704                 0.711541                 7.761822                 0.954948
                 1.161182               -58.644389                10.770823                 0.700321                 7.689918                 0.954837
                 1.171193               -57.575990                10.505099                 0.689389                 7.619137                 0.954724
                 1.181203               -56.533530                10.248158                 0.678735                 7.549451                 0.954609
                 1.191213               -55.516174                 9.999644                 0.668351                 7.480833                 0.954492
                 1.201223               -54.523124                 9.759219                 0.658227                 7.413258                 0.954374
                 1.211233               -53.553609                 9.526559                 0.648356                 7.346698                 0.954253
                 1.221244               -52.606891                 9.301357                 0.638730                 7.281131                 0.954131
                 1.231254               -51.682260                 9.083321                 0.629341                 7.216532                 0.954007
                 1.241264               -50.779031                 8.872171                 0.620182                 7.152878                 0.953880
                 1.251274               -49.896547                 8.667641                 0.611246                 7.090146                 0.953752
                 1.261284               -49.034175                 8.469477                 0.602525                 7.028315                 0.953621
                 1.271295               -48.191306                 8.277436                 0.594015                 6.967364                 0.953488
                 1.281305               -47.367353                 8.091287                 0.585708                 6.907272                 0.953353
                 1.291315               -46.561751                 7.910810                 0.577598                 6.848020                 0.953216
                 1.301325               -45.773956                 7.735792                 0.569681                 6.789587                 0.953076
                 1.311335               -45.003443                 7.566033                 0.561949                 6.731956                 0.952935
                 1.321346               -44.249706                 7.401339                 0.554398                 6.675108                 0.952790
                 1.331356               -43.512257                 7.241526                 0.547024                 6.619025                 0.952644
                 1.341366               -42.790627                 7.086418                 0.539820                 6.563690                 0.952494
                 1.351376               -42.084362                 6.935846                 0.532782                 6.509087                 0.952343
                 1.361386               -41.393023                 6.789648                 0.525905                 6.455199                 0.952188
                 1.371397               -40.716189                 6.647670                 0.519186                 6.402011                 0.952031
                 1.381407               -40.053451                 6.509764                 0.512620                 6.349506                 0.951871
                 1.391417               -39.404417                 6.375787                 0.506202                 6.297671                 0.951709
                 1.401427               -38.768704                 6.245604                 0.499929                 6.246490                 0.951544
                 1.411437               -38.145946                 6.119085                 0.493797                 6.195949                 0.951375
                 1.421448               -37.535788                 5.996104                 0.487803                 6.146034                 0.951204
                 1.431458               -36.937886                 5.876543                 0.481942                 6.096733                 0.951030
                 1.441468               -36.351909                 5.760284                 0.476212                 6.048032                 0.950853
                 1.451478               -35.777535                 5.647220                 0.470608                 5.999917                 0.950672
                 1.461488               -35.214455                 5.537243                 0.465129                 5.952378                 0.950488
                 1.471498               -34.662367                 5.430252                 0.459770                 5.905401                 0.950301
                 1.481509               -34.120982                 5.326149                 0.454529                 5.858974                 0.950111
                 1.491519               -33.590018                 5.224841                 0.449403                 5.813087                 0.949917
                 1.501529               -33.069204                 5.126238                 0.444390                 5.767728                 0.949720
                 1.511539               -32.558275                 5.030252                 0.439486                 5.722886                 0.949519
                 1.521549               -32.056976                 4.936802                 0.434689                 5.678550                 0.949314
                 1.531560               -31.565061                 4.845806                 0.429996                 5.634710                 0.949105
                 1.541570               -31.082289                 4.757188                 0.425406                 5.591356                 0.948893
                 1.551580               -30.608428                 4.670874                 0.420915                 5.548477                 0.948676
                 1.561590               -30.143254                 4.586792                 0.416522                 5.506064                 0.948455
                 1.571600               -29.686549                 4.504875                 0.412224                 5.464108                 0.948231
                 1.581611               -29.238100                 4.425056                 0.408020                 5.422599                 0.948002
                 1.591621               -28.797703                 4.347272                 0.403907                 5.381528                 0.947768
                 1.601631               -28.365160                 4.271461                 0.399883                 5.340886                 0.947530
                 1.611641               -27.940276                 4.197565                 0.395947                 5.300665                 0.947287
                 1.621651               -27.522864                 4.125527                 0.392097                 5.260856                 0.947040
                 1.631662               -27.112743                 4.055292                 0.388330                 5.221450                 0.946788
                 1.641672               -26.709737                 3.986808                 0.384646                 5.182440                 0.946530
                 1.651682               -26.313674                 3.920024                 0.381042                 5.143818                 0.946268
                 1.661692               -25.924387                 3.854892                 0.377518                 5.105576                 0.946000
                 1.671702               -25.541715                 3.791363                 0.374071                 5.067706                 0.945727
                 1.681713               -25.165501                 3.729393                 0.370700                 5.030201                 0.945449
                 1.691723               -24.795592                 3.668937                 0.367404                 4.993053                 0.945164
                 1.701733               -24.431841                 3.609954                 0.364182                 4.956256                 0.944874
                 1.711743               -24.074102                 3.552402                 0.361031                 4.919801                 0.944578
                 1.721753               -23.722236                 3.496242                 0.357951                 4.883684                 0.944276
                 1.731764               -23.376106                 3.441437                 0.354941                 4.847895                 0.943967
                 1.741774               -23.035581                 3.387949                 0.352000                 4.812430                 0.943652
                 1.751784               -22.700531                 3.335744                 0.349126                 4.777282                 0.943330
                 1.761794               -22.370830                 3.284786                 0.346318                 4.742443                 0.943001
                 1.771804               -22.046357                 3.235044                 0.343576                 4.707908                 0.942665
                 1.781814               -21.726993                 3.186485                 0.340897                 4.673671                 0.942321
                 1.791825               -21.412621                 3.139078                 0.338283                 4.639726                 0.941971
                 1.801835               -21.103131                 3.092795                 0.335731                 4.606066                 0.941612
                 1.811845               -20.798411                 3.047606                 0.333240                 4.572686                 0.941246
                 1.821855               -20.498356                 3.003483                 0.330811                 4.539581                 0.940871
                 1.831865               -20.202861                 2.960400                 0.328441                 4.506743                 0.940488
                 1.841876               -19.911825                 2.918331                 0.326131                 4.474169                 0.940096
                 1.851886               -19.625148                 2.877252                 0.323880                 4.441852                 0.939695
                 1.861896               -19.342736                 2.837138                 0.321686                 4.409787                 0.939285
                 1.871906               -19.064493                 2.797965                 0.319551                 4.377968                 0.938865
                 1.881916               -18.790329                 2.759712                 0.317472                 4.346391                 0.938435
                 1.891927               -18.520154                 2.722358                 0.315449                 4.315051                 0.937995
                 1.901937               -18.253880                 2.685880                 0.313482                 4.283941                 0.937545
                 1.911947               -17.991424                 2.650259                 0.311571                 4.253058                 0.937084
                 1.921957               -17.732703                 2.615475                 0.309715                 4.222396                 0.936612
                 1.931967               -17.477634                 2.581510                 0.307913                 4.191950                 0.936128
                 1.941978               -17.226141                 2.548345                 0.306165                 4.161716                 0.935632
                 1.951988               -16.978144                 2.515963                 0.304472                 4.131688                 0.935124
                 1.961998               -16.733569                 2.484347                 0.302832                 4.101863                 0.934603
                 1.972008               -16.492343                 2.453481                 0.301245                 4.072234                 0.934069
                 1.982018               -16.254394                 2.423349                 0.299712                 4.042799                 0.933521
                 1.992029               -16.019651                 2.393937                 0.298232                 4.013551                 0.932959
                 2.002039               -15.788046                 2.365228                 0.296805                 3.984487                 0.932382
                 2.012049               -15.559511                 2.337211                 0.295430                 3.955602                 0.931791
                 2.022059               -15.333982                 2.309870                 0.294109                 3.926892                 0.931183
                 2.032069               -15.111393                 2.283193                 0.292841                 3.898352                 0.930559
                 2.042080               -14.891683                 2.257168                 0.291625                 3.869978                 0.929919
                 2.052090               -14.674790                 2.231782                 0.290463                 3.841765                 0.929261
                 2.062100               -14.460653                 2.207025                 0.289354                 3.813709                 0.928585
                 2.072110               -14.249215                 2.182885                 0.288299                 3.785807                 0.927890
                 2.082120               -14.040417                 2.159352                 0.287297                 3.758052                 0.927175
                 2.092130               -13.834202                 2.136415                 0.286349                 3.730442                 0.926440
                 2.102141               -13.630516                 2.114066                 0.285455                 3.702972                 0.925684
                 2.112151               -13.429305                 2.092294                 0.284616                 3.675638                 0.924906
                 2.122161               -13.230515                 2.071092                 0.283833                 3.648435                 0.924105
                 2.132171               -13.034095                 2.050450                 0.283105                 3.621359                 0.923281
                 2.142181               -12.839993                 2.030362                 0.282434                 3.594407                 0.922432
                 2.152192               -12.648159                 2.010819                 0.281819                 3.567574                 0.921557
                 2.162202               -12.458544                 1.991816                 0.281262                 3.540855                 0.920656
                 2.172212               -12.271101                 1.973344                 0.280763                 3.514247                 0.919726
                 2.182222               -12.085781                 1.955398                 0.280324                 3.487745                 0.918768
                 2.192232               -11.902538                 1.937973                 0.279945                 3.461345                 0.917779
                 2.202243               -11.721326                 1.921064                 0.279627                 3.435043                 0.916759
                 2.212253               -11.542102                 1.904664                 0.279372                 3.408834                 0.915706
                 2.222263               -11.364819                 1.888771                 0.279180                 3.382715                 0.914618
                 2.232273               -11.189436                 1.873379                 0.279052                 3.356681                 0.913494
                 2.242283               -11.015909                 1.858486                 0.278991                 3.330727                 0.912333
                 2.252294               -10.844197                 1.844089                 0.278997                 3.304850                 0.911132
                 2.262304               -10.674257                 1.830184                 0.279073                 3.279045                 0.909891
                 2.272314               -10.506051                 1.816771                 0.279219                 3.253308                 0.908606
                 2.282324               -10.339536                 1.803846                 0.279438                 3.227634                 0.907276
                 2.292334               -10.174674                 1.791410                 0.279731                 3.202019                 0.905899
                 2.302345               -10.011426                 1.779461                 0.280101                 3.176458                 0.904472
                 2.312355                -9.849754                 1.767999                 0.280550                 3.150946                 0.902993
                 2.322365                -9.689619                 1.757025                 0.281081                 3.125480                 0.901460
                 2.332375                -9.530985                 1.746539                 0.281695                 3.100054                 0.899869
                 2.342385                -9.373814                 1.736544                 0.282396                 3.074664                 0.898218
                 2.352396                -9.218070                 1.727041                 0.283186                 3.049306                 0.896504
                 2.362406                -9.063717                 1.718034                 0.284069                 3.023973                 0.894723
                 2.372416                -8.910720                 1.709525                 0.285048                 2.998662                 0.892873
                 2.382426                -8.759043                 1.701518                 0.286127                 2.973367                 0.890948
                 2.392436                -8.608652                 1.694019                 0.287309                 2.948084                 0.888945
                 2.402447                -8.459513                 1.687034                 0.288598                 2.922807                 0.886861
                 2.412457                -8.311592                 1.680567                 0.290000                 2.897532                 0.884690
                 2.422467                -8.164856                 1.674627                 0.291518                 2.872253                 0.882427
                 2.432477                -8.019271                 1.669222                 0.293158                 2.846965                 0.880068
                 2.442487                -7.874804                 1.664361                 0.294925                 2.821664                 0.877607
                 2.452497                -7.731425                 1.660053                 0.296826                 2.796342                 0.875038
                 2.462508                -7.589100                 1.656309                 0.298865                 2.770996                 0.872354
                 2.472518                -7.447800                 1.653142                 0.301051                 2.745620                 0.869550
                 2.482528                -7.307492                 1.650566                 0.303389                 2.720209                 0.866618
                 2.492538                -7.168146                 1.648593                 0.305889                 2.694757                 0.863550
                 2.502548                -7.029734                 1.647240                 0.308558                 2.669259                 0.860338
                 2.512559                -6.892225                 1.646525                 0.311404                 2.643709                 0.856973
                 2.522569                -6.755591                 1.646465                 0.314439                 2.618103                 0.853446
                 2.532579                -6.619804                 1.647081                 0.317671                 2.592435                 0.849747
                 2.542589                -6.484837                 1.648395                 0.321112                 2.566700                 0.845866
                 2.552599                -6.350665                 1.650429                 0.324773                 2.540894                 0.841789
                 2.562610                -6.217261                 1.653210                 0.328668                 2.515012                 0.837507
                 2.572620                -6.084603                 1.656764                 0.332811                 2.489049                 0.833005
                 2.582630                -5.952667                 1.661120                 0.337214                 2.463002                 0.828270
                 2.592640                -5.821433                 1.666309                 0.341896                 2.436868                 0.823287
                 2.602650                -5.690880                 1.672365                 0.346871                 2.410643                 0.818041
                 2.612661                -5.560991                 1.679322                 0.352159                 2.384325                 0.812516
                 2.622671                -5.431751                 1.687217                 0.357778                 2.357913                 0.806693
                 2.632681                -5.303147                 1.696092                 0.363748                 2.331407                 0.800557
                 2.642691                -5.175167                 1.705986                 0.370093                 2.304807                 0.794087
                 2.652701                -5.047805                 1.716944                 0.376834                 2.278115                 0.787264
                 2.662712                -4.921057                 1.729011                 0.383997                 2.251335                 0.780069
                 2.672722                -4.794922                 1.742235                 0.391606                 2.224472                 0.772482
                 2.682732                -4.669403                 1.756666                 0.399690                 2.197534                 0.764482
                 2.692742                -4.544507                 1.772353                 0.408277                 2.170529                 0.756050
                 2.702752                -4.420248                 1.789350                 0.417395                 2.143471                 0.747166
                 2.712763                -4.296642                 1.807708                 0.427077                 2.116373                 0.737812
                 2.722773                -4.173711                 1.827482                 0.437352                 2.089255                 0.727971
                 2.732783                -4.051483                 1.848724                 0.448254                 2.062138                 0.717629
                 2.742793                -3.929991                 1.871488                 0.459814                 2.035048                 0.706773
                 2.752803                -3.809274                 1.895825                 0.472065                 2.008014                 0.695398
                 2.762813                -3.689377                 1.921787                 0.485038                 1.981070                 0.683498
                 2.772824                -3.570350                 1.949423                 0.498764                 1.954256                 0.671077
                 2.782834                -3.452249                 1.978779                 0.513272                 1.927614                 0.658143
                 2.792844                -3.335135                 2.009900                 0.528589                 1.901195                 0.644713
                 2.802854                -3.219077                 2.042828                 0.544739                 1.875051                 0.630813
                 2.812864                -3.104147                 2.077600                 0.561743                 1.849244                 0.616475
                 2.822875                -2.990425                 2.114251                 0.579616                 1.823837                 0.601746
                 2.832885                -2.877994                 2.152813                 0.598369                 1.798900                 0.586678
                 2.842895                -2.766947                 2.193312                 0.618006                 1.774508                 0.571337
                 2.852905                -2.657381                 2.235771                 0.638522                 1.750740                 0.555799
                 2.862915                -2.549401                 2.280205                 0.659904                 1.727679                 0.540149
                 2.872926                -2.443122                 2.326626                 0.682131                 1.705410                 0.524481
                 2.882936                -2.338665                 2.375033                 0.705167                 1.684021                 0.508895
                 2.892946                -2.236160                 2.425420                 0.728969                 1.663597                 0.493498
                 2.902956                -2.135746                 2.477765                 0.753476                 1.644224                 0.478396
                 2.912966                -2.037570                 2.532033                 0.778617                 1.625981                 0.463697
                 2.922977                -1.941787                 2.588170                 0.804308                 1.608943                 0.449503
                 2.932987                -1.848554                 2.646101                 0.830450                 1.593173                 0.435907
                 2.942997                -1.758034                 2.705727                 0.856935                 1.578724                 0.422996
                 2.953007                -1.670382                 2.766923                 0.883643                 1.565633                 0.410838
                 2.963017                -1.585751                 2.829535                 0.910450                 1.553921                 0.399488
                 2.973028                -1.504277                 2.893380                 0.937225                 1.543589                 0.388983
                 2.983038                -1.426076                 2.958245                 0.963837                 1.534620                 0.379342
                 2.993048                -1.351237                 3.023894                 0.990159                 1.526975                 0.370567
                 3.003058                -1.279815                 3.090067                 1.016070                 1.520597                 0.362641
                 3.013068                -1.211825                 3.156489                 1.041463                 1.515411                 0.355534
                 3.023079                -1.147237                 3.222879                 1.066242                 1.511327                 0.349204
                 3.033089                -1.085975                 3.288957                 1.090329                 1.508241                 0.343597
                 3.043099                -1.027914                 3.354456                 1.113665                 1.506043                 0.338654
                 3.053109                -0.972885                 3.419130                 1.136214                 1.504615                 0.334309
                 3.063119                -0.920678                 3.482766                 1.157956                 1.503842                 0.330498
                 3.073129                -0.871048                 3.545192                 1.178894                 1.503609                 0.327155
                 3.083140                -0.823728                 3.606286                 1.199049                 1.503811                 0.324219
                 3.093150                -0.778436                 3.665975                 1.218457                 1.504352                 0.321631
                 3.103160                -0.734890                 3.724246                 1.237168                 1.505150                 0.319339
                 3.113170                -0.692820                 3.781136                 1.255242                 1.506138                 0.317299
                 3.123180                -0.651978                 3.836730                 1.272744                 1.507267                 0.315473
                 3.133191                -0.612153                 3.891158                 1.289741                 1.508504                 0.313831
                 3.143201                -0.573173                 3.944575                 1.306298                 1.509830                 0.312348
                 3.153211                -0.534913                 3.997156                 1.322474                 1.511242                 0.311008
                 3.163221                -0.497296                 4.049081                 1.338321                 1.512746                 0.309801
                 3.173231                -0.460284                 4.100520                 1.353881                 1.514357                 0.308718
                 3.183242                -0.423873                 4.151629                 1.369185                 1.516094                 0.307756
                 3.193252                -0.388086                 4.202540                 1.384257                 1.517977                 0.306913
                 3.203262                -0.352960                 4.253363                 1.399111                 1.520024                 0.306186
                 3.213272                -0.318537                 4.304185                 1.413757                 1.522250                 0.305575
                 3.223282                -0.284858                 4.355076                 1.428202                 1.524670                 0.305078
                 3.233293                -0.251958                 4.406095                 1.442452                 1.527294                 0.304691
                 3.243303                -0.219870                 4.457301                 1.456511                 1.530129                 0.304415
                 3.253313                -0.188624                 4.508750                 1.470386                 1.533186                 0.304245
                 3.263323                -0.158251                 4.560506                 1.484082                 1.536474                 0.304180
                 3.273333                -0.128793                 4.612636                 1.497605                 1.540004                 0.304220
                 3.283344                -0.100303                 4.665209                 1.510957                 1.543792                 0.304364
                 3.293354                -0.072849                 4.718291                 1.524140                 1.547854                 0.304612
                 3.303364                -0.046513                 4.771940                 1.537149                 1.552205                 0.304966
                 3.313374                -0.021390                 4.826202                 1.549977                 1.556862                 0.305426
                 3.323384                 0.002418                 4.881105                 1.562614                 1.561840                 0.305993
                 3.333395                 0.024809                 4.936665                 1.575046                 1.567150                 0.306668
                 3.343405                 0.045683                 4.992883                 1.587258                 1.572802                 0.307450
                 3.353415                 0.064945                 5.049753                 1.599237                 1.578801                 0.308337
                 3.363425                 0.082511                 5.107267                 1.610969                 1.585153                 0.309328
                 3.373435                 0.098299                 5.165421                 1.622445                 1.591863                 0.310423
                 3.383445                 0.112227                 5.224225                 1.633655                 1.598938                 0.311619
                 3.393456                 0.124202                 5.283701                 1.644592                 1.606387                 0.312917
                 3.403466                 0.134106                 5.343887                 1.655245                 1.614228                 0.314318
                 3.413476                 0.141791                 5.404824                 1.665604                 1.622481                 0.315826
                 3.423486                 0.147061                 5.466553                 1.675648                 1.631176                 0.317443
                 3.433496                 0.149669                 5.529094                 1.685347                 1.640343                 0.319176
                 3.443507                 0.149313                 5.592428                 1.694658                 1.650016                 0.321033
                 3.453517                 0.145641                 5.656475                 1.703524                 1.660227                 0.323018
                 3.463527                 0.138266                 5.721068                 1.711871                 1.670999                 0.325137
                 3.473537                 0.126780                 5.785940                 1.719609                 1.682342                 0.327394
                 3.483547                 0.110790                 5.850704                 1.726636                 1.694250                 0.329789
                 3.493558                 0.089948                 5.914853                 1.732842                 1.706691                 0.332317
                 3.503568                 0.063988                 5.977761                 1.738116                 1.719610                 0.334968
                 3.513578                 0.032764                 6.038701                 1.742348                 1.732920                 0.337730
                 3.523588                -0.003717                 6.096876                 1.745446                 1.746510                 0.340580
                 3.533598                -0.045274                 6.151461                 1.747334                 1.760242                 0.343496
                 3.543609                -0.091540                 6.201646                 1.747968                 1.773959                 0.346448
                 3.553619                -0.141968                 6.246689                 1.747331                 1.787494                 0.349404
                 3.563629                -0.195848                 6.285965                 1.745447                 1.800675                 0.352333
                 3.573639                -0.252347                 6.319005                 1.742368                 1.813338                 0.355202
                 3.583649                -0.310550                 6.345521                 1.738184                 1.825331                 0.357981
                 3.593660                -0.369514                 6.365422                 1.733007                 1.836526                 0.360641
                 3.603670                -0.428318                 6.378808                 1.726970                 1.846820                 0.363159
                 3.613680                -0.486106                 6.385950                 1.720221                 1.856143                 0.365517
                 3.623690                -0.542126                 6.387262                 1.712907                 1.864451                 0.367700
                 3.633700                -0.595755                 6.383265                 1.705176                 1.871732                 0.369700
                 3.643711                -0.646507                 6.374547                 1.697165                 1.877998                 0.371512
                 3.653721                -0.694036                 6.361725                 1.688999                 1.883283                 0.373137
                 3.663731                -0.738129                 6.345414                 1.680784                 1.887635                 0.374578
                 3.673741                -0.778686                 6.326197                 1.672611                 1.891114                 0.375843
                 3.683751                -0.815705                 6.304606                 1.664550                 1.893787                 0.376938
                 3.693761                -0.849257                 6.281108                 1.656654                 1.895721                 0.377874
                 3.703772                -0.879461                 6.256096                 1.648962                 1.896981                 0.378661
                 3.713782                -0.906464                 6.229889                 1.641497                 1.897624                 0.379307
                 3.723792                -0.930417                 6.202736                 1.634276                 1.897702                 0.379822
                 3.733802                -0.951455                 6.174827                 1.627305                 1.897255                 0.380211
                 3.743812                -0.969687                 6.146305                 1.620593                 1.896314                 0.380479
                 3.753823                -0.985180                 6.117288                 1.614145                 1.894900                 0.380628
                 3.763833                -0.997959                 6.087883                 1.607977                 1.893026                 0.380660
                 3.773843                -1.008011                 6.058212                 1.602106                 1.890702                 0.380572
                 3.783853                -1.015294                 6.028424                 1.596563                 1.887938                 0.380363
