#        Energy grid [eV]               EELS_x                   EELS_y                   EELS_z
#
                 1.111132                 0.002848                 0.002850                 0.002848
                 1.121142                 0.002884                 0.002885                 0.002884
                 1.131152                 0.002920                 0.002921                 0.002920
                 1.141162                 0.002956                 0.002957                 0.002956
                 1.151172                 0.002992                 0.002994                 0.002992
                 1.161182                 0.003029                 0.003031                 0.003029
                 1.171193                 0.003066                 0.003068                 0.003066
                 1.181203                 0.003104                 0.003106                 0.003104
                 1.191213                 0.003142                 0.003144                 0.003142
                 1.201223                 0.003180                 0.003182                 0.003180
                 1.211233                 0.003219                 0.003221                 0.003219
                 1.221244                 0.003259                 0.003260                 0.003259
                 1.231254                 0.003298                 0.003300                 0.003298
                 1.241264                 0.003338                 0.003340                 0.003338
                 1.251274                 0.003379                 0.003381                 0.003379
                 1.261284                 0.003420                 0.003422                 0.003420
                 1.271295                 0.003461                 0.003463                 0.003461
                 1.281305                 0.003503                 0.003505                 0.003503
                 1.291315                 0.003546                 0.003548                 0.003546
                 1.301325                 0.003589                 0.003591                 0.003589
                 1.311335                 0.003632                 0.003634                 0.003632
                 1.321346                 0.003677                 0.003678                 0.003677
                 1.331356                 0.003721                 0.003723                 0.003721
                 1.341366                 0.003766                 0.003768                 0.003766
                 1.351376                 0.003812                 0.003814                 0.003812
                 1.361386                 0.003858                 0.003860                 0.003858
                 1.371397                 0.003905                 0.003907                 0.003905
                 1.381407                 0.003953                 0.003955                 0.003953
                 1.391417                 0.004001                 0.004003                 0.004001
                 1.401427                 0.004050                 0.004052                 0.004050
                 1.411437                 0.004099                 0.004101                 0.004099
                 1.421448                 0.004149                 0.004151                 0.004149
                 1.431458                 0.004200                 0.004202                 0.004200
                 1.441468                 0.004252                 0.004254                 0.004252
                 1.451478                 0.004304                 0.004306                 0.004304
                 1.461488                 0.004357                 0.004359                 0.004357
                 1.471498                 0.004411                 0.004413                 0.004411
                 1.481509                 0.004465                 0.004467                 0.004465
                 1.491519                 0.004521                 0.004523                 0.004521
                 1.501529                 0.004577                 0.004579                 0.004577
                 1.511539                 0.004634                 0.004636                 0.004634
                 1.521549                 0.004692                 0.004694                 0.004692
                 1.531560                 0.004751                 0.004753                 0.004751
                 1.541570                 0.004811                 0.004813                 0.004811
                 1.551580                 0.004871                 0.004874                 0.004871
                 1.561590                 0.004933                 0.004935                 0.004933
                 1.571600                 0.004996                 0.004998                 0.004996
                 1.581611                 0.005060                 0.005062                 0.005060
                 1.591621                 0.005124                 0.005127                 0.005125
                 1.601631                 0.005190                 0.005193                 0.005190
                 1.611641                 0.005257                 0.005260                 0.005258
                 1.621651                 0.005326                 0.005328                 0.005326
                 1.631662                 0.005395                 0.005398                 0.005395
                 1.641672                 0.005466                 0.005468                 0.005466
                 1.651682                 0.005538                 0.005540                 0.005538
                 1.661692                 0.005611                 0.005613                 0.005611
                 1.671702                 0.005685                 0.005688                 0.005686
                 1.681713                 0.005761                 0.005764                 0.005761
                 1.691723                 0.005839                 0.005841                 0.005839
                 1.701733                 0.005917                 0.005920                 0.005918
                 1.711743                 0.005998                 0.006001                 0.005998
                 1.721753                 0.006080                 0.006083                 0.006080
                 1.731764                 0.006163                 0.006166                 0.006163
                 1.741774                 0.006248                 0.006251                 0.006249
                 1.751784                 0.006335                 0.006338                 0.006336
                 1.761794                 0.006424                 0.006427                 0.006424
                 1.771804                 0.006514                 0.006518                 0.006515
                 1.781814                 0.006607                 0.006610                 0.006607
                 1.791825                 0.006701                 0.006704                 0.006702
                 1.801835                 0.006798                 0.006801                 0.006798
                 1.811845                 0.006896                 0.006899                 0.006896
                 1.821855                 0.006997                 0.007000                 0.006997
                 1.831865                 0.007099                 0.007103                 0.007100
                 1.841876                 0.007204                 0.007208                 0.007205
                 1.851886                 0.007312                 0.007316                 0.007313
                 1.861896                 0.007422                 0.007426                 0.007423
                 1.871906                 0.007534                 0.007538                 0.007535
                 1.881916                 0.007650                 0.007653                 0.007650
                 1.891927                 0.007768                 0.007771                 0.007768
                 1.901937                 0.007888                 0.007892                 0.007889
                 1.911947                 0.008012                 0.008016                 0.008013
                 1.921957                 0.008139                 0.008143                 0.008140
                 1.931967                 0.008269                 0.008273                 0.008270
                 1.941978                 0.008402                 0.008406                 0.008403
                 1.951988                 0.008539                 0.008543                 0.008540
                 1.961998                 0.008679                 0.008683                 0.008680
                 1.972008                 0.008823                 0.008828                 0.008824
                 1.982018                 0.008971                 0.008975                 0.008972
                 1.992029                 0.009123                 0.009127                 0.009124
                 2.002039                 0.009279                 0.009283                 0.009280
                 2.012049                 0.009439                 0.009444                 0.009440
                 2.022059                 0.009604                 0.009609                 0.009605
                 2.032069                 0.009773                 0.009778                 0.009775
                 2.042080                 0.009947                 0.009953                 0.009949
                 2.052090                 0.010127                 0.010132                 0.010129
                 2.062100                 0.010312                 0.010317                 0.010314
                 2.072110                 0.010502                 0.010507                 0.010504
                 2.082120                 0.010698                 0.010704                 0.010700
                 2.092130                 0.010900                 0.010906                 0.010902
                 2.102141                 0.011109                 0.011115                 0.011111
                 2.112151                 0.011324                 0.011330                 0.011326
                 2.122161                 0.011546                 0.011552                 0.011548
                 2.132171                 0.011775                 0.011781                 0.011778
                 2.142181                 0.012012                 0.012018                 0.012015
                 2.152192                 0.012256                 0.012263                 0.012260
                 2.162202                 0.012509                 0.012516                 0.012513
                 2.172212                 0.012771                 0.012778                 0.012775
                 2.182222                 0.013042                 0.013049                 0.013046
                 2.192232                 0.013322                 0.013330                 0.013327
                 2.202243                 0.013613                 0.013620                 0.013617
                 2.212253                 0.013914                 0.013922                 0.013919
                 2.222263                 0.014226                 0.014234                 0.014231
                 2.232273                 0.014550                 0.014558                 0.014556
                 2.242283                 0.014886                 0.014895                 0.014892
                 2.252294                 0.015236                 0.015245                 0.015242
                 2.262304                 0.015599                 0.015608                 0.015605
                 2.272314                 0.015976                 0.015986                 0.015983
                 2.282324                 0.016369                 0.016379                 0.016377
                 2.292334                 0.016778                 0.016788                 0.016786
                 2.302345                 0.017204                 0.017214                 0.017213
                 2.312355                 0.017648                 0.017659                 0.017657
                 2.322365                 0.018111                 0.018122                 0.018121
                 2.332375                 0.018594                 0.018606                 0.018605
                 2.342385                 0.019099                 0.019112                 0.019111
                 2.352396                 0.019627                 0.019640                 0.019640
                 2.362406                 0.020179                 0.020192                 0.020193
                 2.372416                 0.020756                 0.020770                 0.020771
                 2.382426                 0.021361                 0.021376                 0.021377
                 2.392436                 0.021996                 0.022011                 0.022013
                 2.402447                 0.022661                 0.022677                 0.022679
                 2.412457                 0.023359                 0.023376                 0.023379
                 2.422467                 0.024093                 0.024110                 0.024115
                 2.432477                 0.024865                 0.024883                 0.024888
                 2.442487                 0.025677                 0.025696                 0.025702
                 2.452497                 0.026532                 0.026552                 0.026559
                 2.462508                 0.027434                 0.027455                 0.027463
                 2.472518                 0.028385                 0.028407                 0.028417
                 2.482528                 0.029390                 0.029413                 0.029425
                 2.492538                 0.030452                 0.030477                 0.030490
                 2.502548                 0.031576                 0.031602                 0.031617
                 2.512559                 0.032766                 0.032794                 0.032811
                 2.522569                 0.034028                 0.034057                 0.034076
                 2.532579                 0.035367                 0.035398                 0.035419
                 2.542589                 0.036789                 0.036822                 0.036846
                 2.552599                 0.038301                 0.038336                 0.038363
                 2.562610                 0.039910                 0.039947                 0.039977
                 2.572620                 0.041624                 0.041663                 0.041697
                 2.582630                 0.043452                 0.043494                 0.043531
                 2.592640                 0.045403                 0.045447                 0.045488
                 2.602650                 0.047487                 0.047534                 0.047580
                 2.612661                 0.049715                 0.049766                 0.049816
                 2.622671                 0.052100                 0.052154                 0.052208
                 2.632681                 0.054654                 0.054712                 0.054771
                 2.642691                 0.057392                 0.057455                 0.057518
                 2.652701                 0.060328                 0.060396                 0.060463
                 2.662712                 0.063479                 0.063552                 0.063624
                 2.672722                 0.066863                 0.066942                 0.067017
                 2.682732                 0.070497                 0.070582                 0.070660
                 2.692742                 0.074400                 0.074493                 0.074572
                 2.702752                 0.078593                 0.078693                 0.078772
                 2.712763                 0.083096                 0.083204                 0.083280
                 2.722773                 0.087929                 0.088047                 0.088117
                 2.732783                 0.093113                 0.093240                 0.093300
                 2.742793                 0.098666                 0.098804                 0.098850
                 2.752803                 0.104606                 0.104755                 0.104781
                 2.762813                 0.110948                 0.111109                 0.111109
                 2.772824                 0.117702                 0.117875                 0.117842
                 2.782834                 0.124875                 0.125060                 0.124986
                 2.792844                 0.132464                 0.132660                 0.132539
                 2.802854                 0.140460                 0.140667                 0.140492
                 2.812864                 0.148843                 0.149060                 0.148824
                 2.822875                 0.157581                 0.157805                 0.157505
                 2.832885                 0.166628                 0.166857                 0.166492
                 2.842895                 0.175925                 0.176154                 0.175726
                 2.852905                 0.185394                 0.185619                 0.185134
                 2.862915                 0.194943                 0.195159                 0.194627
                 2.872926                 0.204467                 0.204668                 0.204103
                 2.882936                 0.213846                 0.214026                 0.213444
                 2.892946                 0.222953                 0.223106                 0.222526
                 2.902956                 0.231657                 0.231778                 0.231218
                 2.912966                 0.239827                 0.239914                 0.239390
                 2.922977                 0.247343                 0.247393                 0.246920
                 2.932987                 0.254098                 0.254110                 0.253698
                 2.942997                 0.260006                 0.259983                 0.259636
                 2.953007                 0.265009                 0.264953                 0.264671
                 2.963017                 0.269074                 0.268991                 0.268770
                 2.973028                 0.272201                 0.272096                 0.271927
                 2.983038                 0.274418                 0.274298                 0.274169
                 2.993048                 0.275777                 0.275647                 0.275546
                 3.003058                 0.276351                 0.276217                 0.276132
                 3.013068                 0.276227                 0.276095                 0.276012
                 3.023079                 0.275502                 0.275374                 0.275284
                 3.033089                 0.274273                 0.274154                 0.274046
                 3.043099                 0.272638                 0.272528                 0.272397
                 3.053109                 0.270687                 0.270586                 0.270425
                 3.063119                 0.268500                 0.268406                 0.268215
                 3.073129                 0.266147                 0.266058                 0.265835
                 3.083140                 0.263687                 0.263598                 0.263346
                 3.093150                 0.261165                 0.261071                 0.260795
                 3.103160                 0.258614                 0.258511                 0.258217
                 3.113170                 0.256060                 0.255943                 0.255638
                 3.123180                 0.253517                 0.253380                 0.253074
                 3.133191                 0.250991                 0.250832                 0.250536
                 3.143201                 0.248486                 0.248301                 0.248025
                 3.153211                 0.245999                 0.245788                 0.245542
                 3.163221                 0.243526                 0.243290                 0.243084
                 3.173231                 0.241063                 0.240804                 0.240645
                 3.183242                 0.238605                 0.238327                 0.238221
                 3.193252                 0.236151                 0.235859                 0.235808
                 3.203262                 0.233698                 0.233398                 0.233404
                 3.213272                 0.231246                 0.230946                 0.231007
                 3.223282                 0.228798                 0.228503                 0.228615
                 3.233293                 0.226355                 0.226072                 0.226229
                 3.243303                 0.223920                 0.223652                 0.223848
                 3.253313                 0.221493                 0.221245                 0.221472
                 3.263323                 0.219078                 0.218851                 0.219101
                 3.273333                 0.216674                 0.216471                 0.216735
                 3.283344                 0.214284                 0.214103                 0.214374
                 3.293354                 0.211907                 0.211747                 0.212018
                 3.303364                 0.209544                 0.209403                 0.209668
                 3.313374                 0.207196                 0.207073                 0.207325
                 3.323384                 0.204865                 0.204757                 0.204992
                 3.333395                 0.202552                 0.202458                 0.202672
                 3.343405                 0.200259                 0.200178                 0.200367
                 3.353415                 0.197988                 0.197920                 0.198082
                 3.363425                 0.195741                 0.195686                 0.195818
                 3.373435                 0.193518                 0.193477                 0.193579
                 3.383445                 0.191321                 0.191295                 0.191366
                 3.393456                 0.189149                 0.189141                 0.189180
                 3.403466                 0.187003                 0.187012                 0.187021
                 3.413476                 0.184880                 0.184910                 0.184888
                 3.423486                 0.182781                 0.182831                 0.182783
                 3.433496                 0.180705                 0.180778                 0.180704
                 3.443507                 0.178655                 0.178749                 0.178654
                 3.453517                 0.176632                 0.176747                 0.176635
                 3.463527                 0.174642                 0.174777                 0.174652
                 3.473537                 0.172692                 0.172845                 0.172712
                 3.483547                 0.170792                 0.170960                 0.170822
                 3.493558                 0.168953                 0.169133                 0.168994
                 3.503568                 0.167186                 0.167377                 0.167240
                 3.513578                 0.165506                 0.165703                 0.165572
                 3.523588                 0.163926                 0.164127                 0.164002
                 3.533598                 0.162458                 0.162660                 0.162544
                 3.543609                 0.161115                 0.161315                 0.161208
                 3.553619                 0.159904                 0.160100                 0.160003
                 3.563629                 0.158832                 0.159022                 0.158936
                 3.573639                 0.157904                 0.158087                 0.158012
                 3.583649                 0.157120                 0.157294                 0.157231
                 3.593660                 0.156479                 0.156643                 0.156591
                 3.603670                 0.155976                 0.156130                 0.156091
                 3.613680                 0.155605                 0.155748                 0.155722
                 3.623690                 0.155358                 0.155490                 0.155477
                 3.633700                 0.155226                 0.155346                 0.155348
                 3.643711                 0.155199                 0.155307                 0.155324
                 3.653721                 0.155267                 0.155363                 0.155394
                 3.663731                 0.155420                 0.155502                 0.155549
                 3.673741                 0.155648                 0.155716                 0.155777
                 3.683751                 0.155942                 0.155996                 0.156071
                 3.693761                 0.156295                 0.156333                 0.156421
                 3.703772                 0.156699                 0.156721                 0.156819
                 3.713782                 0.157150                 0.157155                 0.157261
                 3.723792                 0.157643                 0.157630                 0.157742
                 3.733802                 0.158175                 0.158143                 0.158257
                 3.743812                 0.158745                 0.158694                 0.158806
                 3.753823                 0.159350                 0.159279                 0.159386
                 3.763833                 0.159990                 0.159900                 0.159997
                 3.773843                 0.160663                 0.160555                 0.160637
                 3.783853                 0.161368                 0.161242                 0.161307
                 3.793863                 0.162101                 0.161958                 0.162002
                 3.803874                 0.162857                 0.162699                 0.162720
                 3.813884                 0.163630                 0.163458                 0.163454
                 3.823894                 0.164411                 0.164227                 0.164197
                 3.833904                 0.165189                 0.164996                 0.164940
                 3.843914                 0.165951                 0.165751                 0.165671
                 3.853925                 0.166685                 0.166481                 0.166377
                 3.863935                 0.167375                 0.167170                 0.167046
                 3.873945                 0.168010                 0.167806                 0.167666
                 3.883955                 0.168575                 0.168376                 0.168224
                 3.893965                 0.169062                 0.168870                 0.168710
                 3.903976                 0.169463                 0.169281                 0.169119
                 3.913986                 0.169777                 0.169605                 0.169446
                 3.923996                 0.170002                 0.169844                 0.169691
                 3.934006                 0.170145                 0.170000                 0.169858
                 3.944016                 0.170212                 0.170082                 0.169954
                 3.954027                 0.170215                 0.170100                 0.169988
                 3.964037                 0.170167                 0.170065                 0.169973
                 3.974047                 0.170080                 0.169991                 0.169918
                 3.984057                 0.169968                 0.169890                 0.169837
                 3.994067                 0.169841                 0.169773                 0.169740
                 4.004078                 0.169710                 0.169649                 0.169636
                 4.014088                 0.169581                 0.169526                 0.169531
                 4.024098                 0.169459                 0.169409                 0.169430
                 4.034108                 0.169346                 0.169298                 0.169334
                 4.044118                 0.169241                 0.169195                 0.169243
                 4.054128                 0.169141                 0.169096                 0.169155
                 4.064139                 0.169044                 0.168998                 0.169066
                 4.074149                 0.168945                 0.168898                 0.168974
                 4.084159                 0.168839                 0.168792                 0.168874
                 4.094169                 0.168724                 0.168675                 0.168763
                 4.104179                 0.168594                 0.168545                 0.168638
                 4.114190                 0.168448                 0.168399                 0.168497
                 4.124200                 0.168283                 0.168234                 0.168338
                 4.134210                 0.168097                 0.168049                 0.168159
                 4.144220                 0.167889                 0.167843                 0.167960
                 4.154230                 0.167657                 0.167614                 0.167738
                 4.164241                 0.167400                 0.167361                 0.167492
                 4.174251                 0.167116                 0.167083                 0.167221
                 4.184261                 0.166804                 0.166778                 0.166923
                 4.194271                 0.166463                 0.166444                 0.166596
                 4.204281                 0.166091                 0.166082                 0.166239
                 4.214292                 0.165689                 0.165690                 0.165853
                 4.224302                 0.165258                 0.165270                 0.165437
                 4.234312                 0.164799                 0.164823                 0.164995
                 4.244322                 0.164318                 0.164355                 0.164530
                 4.254332                 0.163820                 0.163871                 0.164048
                 4.264343                 0.163314                 0.163378                 0.163557
                 4.274353                 0.162808                 0.162886                 0.163066
                 4.284363                 0.162312                 0.162406                 0.162585
                 4.294373                 0.161840                 0.161947                 0.162125
                 4.304383                 0.161400                 0.161522                 0.161698
                 4.314394                 0.161004                 0.161140                 0.161312
                 4.324404                 0.160662                 0.160811                 0.160979
                 4.334414                 0.160380                 0.160543                 0.160703
                 4.344424                 0.160165                 0.160341                 0.160493
                 4.354434                 0.160019                 0.160209                 0.160349
                 4.364444                 0.159945                 0.160148                 0.160275
                 4.374455                 0.159941                 0.160158                 0.160269
                 4.384465                 0.160006                 0.160236                 0.160328
                 4.394475                 0.160134                 0.160379                 0.160449
                 4.404485                 0.160321                 0.160581                 0.160627
                 4.414495                 0.160561                 0.160837                 0.160858
                 4.424506                 0.160850                 0.161141                 0.161134
                 4.434516                 0.161182                 0.161489                 0.161453
                 4.444526                 0.161552                 0.161875                 0.161810
                 4.454536                 0.161957                 0.162296                 0.162202
                 4.464546                 0.162393                 0.162748                 0.162625
                 4.474557                 0.162860                 0.163230                 0.163078
                 4.484567                 0.163356                 0.163740                 0.163560
                 4.494577                 0.163879                 0.164276                 0.164070
                 4.504587                 0.164430                 0.164839                 0.164607
                 4.514597                 0.165006                 0.165427                 0.165171
                 4.524608                 0.165607                 0.166038                 0.165758
                 4.534618                 0.166229                 0.166669                 0.166368
                 4.544628                 0.166870                 0.167318                 0.166996
                 4.554638                 0.167524                 0.167980                 0.167639
                 4.564648                 0.168184                 0.168648                 0.168289
                 4.574659                 0.168845                 0.169315                 0.168941
                 4.584669                 0.169498                 0.169974                 0.169585
                 4.594679                 0.170133                 0.170617                 0.170214
                 4.604689                 0.170744                 0.171234                 0.170818
                 4.614699                 0.171321                 0.171817                 0.171389
                 4.624710                 0.171857                 0.172359                 0.171918
                 4.634720                 0.172344                 0.172853                 0.172398
                 4.644730                 0.172777                 0.173293                 0.172823
                 4.654740                 0.173152                 0.173673                 0.173188
                 4.664750                 0.173467                 0.173993                 0.173491
                 4.674760                 0.173720                 0.174249                 0.173732
                 4.684771                 0.173912                 0.174443                 0.173912
                 4.694781                 0.174045                 0.174577                 0.174035
                 4.704791                 0.174125                 0.174655                 0.174104
                 4.714801                 0.174156                 0.174681                 0.174128
                 4.724811                 0.174145                 0.174663                 0.174114
                 4.734822                 0.174103                 0.174611                 0.174071
                 4.744832                 0.174037                 0.174533                 0.174010
                 4.754842                 0.173960                 0.174441                 0.173942
                 4.764852                 0.173882                 0.174346                 0.173877
                 4.774862                 0.173817                 0.174263                 0.173828
                 4.784873                 0.173776                 0.174202                 0.173806
                 4.794883                 0.173773                 0.174179                 0.173824
                 4.804893                 0.173820                 0.174206                 0.173892
                 4.814903                 0.173931                 0.174296                 0.174024
                 4.824913                 0.174117                 0.174461                 0.174230
                 4.834924                 0.174390                 0.174715                 0.174522
                 4.844934                 0.174762                 0.175069                 0.174910
                 4.854944                 0.175242                 0.175532                 0.175403
                 4.864954                 0.175839                 0.176113                 0.176011
                 4.874964                 0.176560                 0.176819                 0.176740
                 4.884975                 0.177411                 0.177657                 0.177595
                 4.894985                 0.178394                 0.178629                 0.178581
                 4.904995                 0.179512                 0.179738                 0.179699
                 4.915005                 0.180763                 0.180982                 0.180949
                 4.925015                 0.182146                 0.182359                 0.182328
                 4.935026                 0.183656                 0.183866                 0.183833
                 4.945036                 0.185286                 0.185496                 0.185458
                 4.955046                 0.187030                 0.187242                 0.187196
                 4.965056                 0.188879                 0.189094                 0.189038
                 4.975066                 0.190823                 0.191044                 0.190973
                 4.985076                 0.192850                 0.193080                 0.192992
                 4.995087                 0.194950                 0.195189                 0.195081
                 5.005097                 0.197109                 0.197359                 0.197228
                 5.015107                 0.199314                 0.199576                 0.199418
                 5.025117                 0.201550                 0.201824                 0.201639
                 5.035127                 0.203803                 0.204089                 0.203874
                 5.045138                 0.206058                 0.206355                 0.206109
                 5.055148                 0.208299                 0.208606                 0.208329
                 5.065158                 0.210512                 0.210828                 0.210521
                 5.075168                 0.212683                 0.213006                 0.212670
                 5.085178                 0.214799                 0.215126                 0.214764
                 5.095189                 0.216846                 0.217176                 0.216792
                 5.105199                 0.218815                 0.219146                 0.218742
                 5.115209                 0.220694                 0.221024                 0.220606
                 5.125219                 0.222475                 0.222804                 0.222376
                 5.135229                 0.224150                 0.224476                 0.224042
                 5.145240                 0.225711                 0.226034                 0.225598
                 5.155250                 0.227152                 0.227472                 0.227037
                 5.165260                 0.228467                 0.228783                 0.228353
                 5.175270                 0.229648                 0.229963                 0.229539
                 5.185280                 0.230691                 0.231005                 0.230589
                 5.195291                 0.231591                 0.231906                 0.231498
                 5.205301                 0.232343                 0.232659                 0.232261
                 5.215311                 0.232945                 0.233262                 0.232874
                 5.225321                 0.233392                 0.233713                 0.233335
                 5.235331                 0.233687                 0.234010                 0.233644
                 5.245342                 0.233830                 0.234156                 0.233802
                 5.255352                 0.233828                 0.234156                 0.233815
                 5.265362                 0.233687                 0.234016                 0.233690
                 5.275372                 0.233419                 0.233748                 0.233438
                 5.285382                 0.233039                 0.233366                 0.233073
                 5.295393                 0.232562                 0.232887                 0.232611
                 5.305403                 0.232007                 0.232329                 0.232071
                 5.315413                 0.231395                 0.231712                 0.231472
                 5.325423                 0.230746                 0.231057                 0.230832
                 5.335433                 0.230078                 0.230384                 0.230172
                 5.345443                 0.229410                 0.229711                 0.229508
                 5.355454                 0.228757                 0.229053                 0.228855
                 5.365464                 0.228132                 0.228424                 0.228227
                 5.375474                 0.227546                 0.227833                 0.227633
                 5.385484                 0.227004                 0.227289                 0.227081
                 5.395494                 0.226512                 0.226796                 0.226576
                 5.405505                 0.226073                 0.226357                 0.226123
                 5.415515                 0.225687                 0.225973                 0.225723
                 5.425525                 0.225356                 0.225645                 0.225378
                 5.435535                 0.225079                 0.225373                 0.225089
                 5.445545                 0.224856                 0.225156                 0.224856
                 5.455556                 0.224687                 0.224995                 0.224681
                 5.465566                 0.224573                 0.224889                 0.224564
                 5.475576                 0.224514                 0.224840                 0.224505
                 5.485586                 0.224511                 0.224848                 0.224508
                 5.495596                 0.224566                 0.224913                 0.224571
                 5.505607                 0.224679                 0.225038                 0.224698
                 5.515617                 0.224853                 0.225223                 0.224888
                 5.525627                 0.225089                 0.225469                 0.225145
                 5.535637                 0.225391                 0.225781                 0.225470
                 5.545647                 0.225761                 0.226161                 0.225866
                 5.555658                 0.226204                 0.226613                 0.226338
                 5.565668                 0.226725                 0.227143                 0.226890
