#        Energy grid [eV]               Re(eps)_x                Re(eps)_y                Re(eps)_z
#
                 0.470479              -338.620447              -338.450714              -338.620739
                 0.480489              -326.409730              -326.246140              -326.410020
                 0.490499              -314.804931              -314.647178              -314.805218
                 0.500510              -303.768901              -303.616699              -303.769185
                 0.510520              -293.267090              -293.120171              -293.267372
                 0.520530              -283.267360              -283.125470              -283.267640
                 0.530540              -273.739797              -273.602700              -273.740074
                 0.540550              -264.656550              -264.524022              -264.656825
                 0.550561              -255.991674              -255.863504              -255.991947
                 0.560571              -247.720988              -247.596978              -247.721259
                 0.570581              -239.821940              -239.701903              -239.822209
                 0.580591              -232.273492              -232.157252              -232.273759
                 0.590601              -225.056001              -224.943391              -225.056266
                 0.600612              -218.151119              -218.041983              -218.151383
                 0.610622              -211.541699              -211.435886              -211.541960
                 0.620632              -205.211701              -205.109072              -205.211960
                 0.630642              -199.146119              -199.046541              -199.146376
                 0.640652              -193.330901              -193.234248              -193.331157
                 0.650663              -187.752882              -187.659035              -187.753136
                 0.660673              -182.399721              -182.308566              -182.399974
                 0.670683              -177.259841              -177.171271              -177.260092
                 0.680693              -172.322377              -172.236290              -172.322626
                 0.690703              -167.577123              -167.493424              -167.577371
                 0.700714              -163.014492              -162.933087              -163.014738
                 0.710724              -158.625467              -158.546269              -158.625711
                 0.720734              -154.401565              -154.324492              -154.401807
                 0.730744              -150.334801              -150.259773              -150.335042
                 0.740754              -146.417654              -146.344596              -146.417893
                 0.750765              -142.643036              -142.571876              -142.643273
                 0.760775              -139.004261              -138.934931              -139.004497
                 0.770785              -135.495025              -135.427460              -135.495259
                 0.780795              -132.109373              -132.043511              -132.109606
                 0.790805              -128.841682              -128.777463              -128.841913
                 0.800816              -125.686638              -125.624005              -125.686867
                 0.810826              -122.639216              -122.578116              -122.639444
                 0.820836              -119.694662              -119.635042              -119.694888
                 0.830846              -116.848476              -116.790287              -116.848700
                 0.840856              -114.096397              -114.039592              -114.096620
                 0.850866              -111.434387              -111.378921              -111.434608
                 0.860877              -108.858619              -108.804448              -108.858838
                 0.870887              -106.365462              -106.312545              -106.365680
                 0.880897              -103.951472              -103.899768              -103.951688
                 0.890907              -101.613378              -101.562850              -101.613593
                 0.900917               -99.348074               -99.298685               -99.348287
                 0.910928               -97.152609               -97.104324               -97.152820
                 0.920938               -95.024176               -94.976961               -95.024386
                 0.930948               -92.960107               -92.913929               -92.960314
                 0.940958               -90.957861               -90.912690               -90.958067
                 0.950968               -89.015022               -88.970828               -89.015227
                 0.960979               -87.129287               -87.086041               -87.129490
                 0.970989               -85.298463               -85.256137               -85.298664
                 0.980999               -83.520459               -83.479026               -83.520658
                 0.991009               -81.793280               -81.752715               -81.793477
                 1.001019               -80.115025               -80.075304               -80.115220
                 1.011030               -78.483879               -78.444978               -78.484072
                 1.021040               -76.898109               -76.860005               -76.898300
                 1.031050               -75.356060               -75.318730               -75.356249
                 1.041060               -73.856150               -73.819574               -73.856338
                 1.051070               -72.396868               -72.361026               -72.397054
                 1.061081               -70.976769               -70.941640               -70.976953
                 1.071091               -69.594471               -69.560036               -69.594653
                 1.081101               -68.248650               -68.214892               -68.248830
                 1.091111               -66.938041               -66.904941               -66.938218
                 1.101121               -65.661430               -65.628972               -65.661606
                 1.111132               -64.417658               -64.385824               -64.417831
                 1.121142               -63.205610               -63.174385               -63.205782
                 1.131152               -62.024221               -61.993589               -62.024390
                 1.141162               -60.872467               -60.842414               -60.872634
                 1.151172               -59.749368               -59.719878               -59.749532
                 1.161182               -58.653981               -58.625042               -58.654144
                 1.171193               -57.585405               -57.557002               -57.585565
                 1.181203               -56.542770               -56.514891               -56.542928
                 1.191213               -55.525245               -55.497877               -55.525401
                 1.201223               -54.532029               -54.505159               -54.532182
                 1.211233               -53.562353               -53.535970               -53.562504
                 1.221244               -52.615478               -52.589570               -52.615626
                 1.231254               -51.690693               -51.665249               -51.690838
                 1.241264               -50.787314               -50.762323               -50.787457
                 1.251274               -49.904683               -49.880135               -49.904824
                 1.261284               -49.042168               -49.018053               -49.042306
                 1.271295               -48.199159               -48.175466               -48.199294
                 1.281305               -47.375069               -47.351790               -47.375202
                 1.291315               -46.569333               -46.546458               -46.569463
                 1.301325               -45.781407               -45.758927               -45.781534
                 1.311335               -45.010766               -44.988672               -45.010890
                 1.321346               -44.256904               -44.235188               -44.257025
                 1.331356               -43.519333               -43.497987               -43.519451
                 1.341366               -42.797583               -42.776599               -42.797699
                 1.351376               -42.091201               -42.070570               -42.091313
                 1.361386               -41.399748               -41.379464               -41.399857
                 1.371397               -40.722802               -40.702857               -40.722908
                 1.381407               -40.059955               -40.040342               -40.060058
                 1.391417               -39.410813               -39.391525               -39.410912
                 1.401427               -38.774995               -38.756025               -38.775092
                 1.411437               -38.152135               -38.133476               -38.152228
                 1.421448               -37.541876               -37.523523               -37.541965
                 1.431458               -36.943875               -36.925822               -36.943961
                 1.441468               -36.357802               -36.340041               -36.357884
                 1.451478               -35.783333               -35.765860               -35.783412
                 1.461488               -35.220160               -35.202968               -35.220235
                 1.471498               -34.667982               -34.651066               -34.668053
                 1.481509               -34.126508               -34.109863               -34.126576
                 1.491519               -33.595457               -33.579077               -33.595521
                 1.501529               -33.074557               -33.058437               -33.074617
                 1.511539               -32.563545               -32.547680               -32.563600
                 1.521549               -32.062164               -32.046549               -32.062215
                 1.531560               -31.570168               -31.554799               -31.570215
                 1.541570               -31.087317               -31.072189               -31.087360
                 1.551580               -30.613380               -30.598487               -30.613418
                 1.561590               -30.148130               -30.133470               -30.148164
                 1.571600               -29.691350               -29.676917               -29.691379
                 1.581611               -29.242828               -29.228619               -29.242853
                 1.591621               -28.802360               -28.788370               -28.802380
                 1.601631               -28.369746               -28.355971               -28.369761
                 1.611641               -27.944793               -27.931230               -27.944804
                 1.621651               -27.527314               -27.513958               -27.527320
                 1.631662               -27.117127               -27.103975               -27.117128
                 1.641672               -26.714056               -26.701104               -26.714051
                 1.651682               -26.317929               -26.305174               -26.317919
                 1.661692               -25.928579               -25.916017               -25.928564
                 1.671702               -25.545846               -25.533474               -25.545825
                 1.681713               -25.169572               -25.157386               -25.169545
                 1.691723               -24.799604               -24.787602               -24.799571
                 1.701733               -24.435794               -24.423972               -24.435756
                 1.711743               -24.077999               -24.066353               -24.077954
                 1.721753               -23.726077               -23.714605               -23.726026
                 1.731764               -23.379892               -23.368592               -23.379835
                 1.741774               -23.039313               -23.028181               -23.039249
                 1.751784               -22.704210               -22.693243               -22.704139
                 1.761794               -22.374457               -22.363653               -22.374380
                 1.771804               -22.049933               -22.039289               -22.049849
                 1.781814               -21.730518               -21.720032               -21.730428
                 1.791825               -21.416098               -21.405766               -21.416000
                 1.801835               -21.106559               -21.096379               -21.106454
                 1.811845               -20.801793               -20.791762               -20.801680
                 1.821855               -20.501691               -20.491807               -20.501570
                 1.831865               -20.206150               -20.196411               -20.206022
                 1.841876               -19.915069               -19.905473               -19.914932
                 1.851886               -19.628348               -19.618893               -19.628204
                 1.861896               -19.345892               -19.336575               -19.345740
                 1.871906               -19.067607               -19.058426               -19.067446
                 1.881916               -18.793401               -18.784353               -18.793231
                 1.891927               -18.523185               -18.514269               -18.523006
                 1.901937               -18.256872               -18.248085               -18.256684
                 1.911947               -17.994377               -17.985717               -17.994179
                 1.921957               -17.735616               -17.727083               -17.735409
                 1.931967               -17.480510               -17.472100               -17.480293
                 1.941978               -17.228979               -17.220691               -17.228752
                 1.951988               -16.980946               -16.972777               -16.980709
                 1.961998               -16.736336               -16.728285               -16.736088
                 1.972008               -16.495074               -16.487140               -16.494816
                 1.982018               -16.257091               -16.249270               -16.256821
                 1.992029               -16.022314               -16.014606               -16.022033
                 2.002039               -15.790675               -15.783079               -15.790383
                 2.012049               -15.562108               -15.554621               -15.561804
                 2.022059               -15.336547               -15.329168               -15.336230
                 2.032069               -15.113928               -15.106654               -15.113598
                 2.042080               -14.894187               -14.887018               -14.893845
                 2.052090               -14.677264               -14.670198               -14.676909
                 2.062100               -14.463098               -14.456133               -14.462729
                 2.072110               -14.251631               -14.244766               -14.251248
                 2.082120               -14.042804               -14.036038               -14.042408
                 2.092130               -13.836562               -13.829893               -13.836151
                 2.102141               -13.632850               -13.626276               -13.632424
                 2.112151               -13.431612               -13.425132               -13.431171
                 2.122161               -13.232797               -13.226409               -13.232340
                 2.132171               -13.036351               -13.030055               -13.035878
                 2.142181               -12.842225               -12.836019               -12.841735
                 2.152192               -12.650367               -12.644250               -12.649860
                 2.162202               -12.460729               -12.454699               -12.460205
                 2.172212               -12.273263               -12.267319               -12.272720
                 2.182222               -12.087921               -12.082061               -12.087360
                 2.192232               -11.904656               -11.898880               -11.904077
                 2.202243               -11.723424               -11.717730               -11.722825
                 2.212253               -11.544179               -11.538566               -11.543560
                 2.222263               -11.366877               -11.361344               -11.366237
                 2.232273               -11.191474               -11.186020               -11.190814
                 2.242283               -11.017929               -11.012552               -11.017247
                 2.252294               -10.846198               -10.840898               -10.845494
                 2.262304               -10.676242               -10.671016               -10.675515
                 2.272314               -10.508018               -10.502866               -10.507268
                 2.282324               -10.341487               -10.336408               -10.340713
                 2.292334               -10.176609               -10.171602               -10.175811
                 2.302345               -10.013346               -10.008410               -10.012523
                 2.312355                -9.851659                -9.846792                -9.850811
                 2.322365                -9.691511                -9.686712                -9.690635
                 2.332375                -9.532863                -9.528132                -9.531961
                 2.342385                -9.375679                -9.371014                -9.374749
                 2.352396                -9.219923                -9.215323                -9.218965
                 2.362406                -9.065558                -9.061022                -9.064571
                 2.372416                -8.912550                -8.908077                -8.911533
                 2.382426                -8.760862                -8.756452                -8.759816
                 2.392436                -8.610462                -8.606112                -8.609384
                 2.402447                -8.461313                -8.457023                -8.460204
                 2.412457                -8.313383                -8.309152                -8.312242
                 2.422467                -8.166638                -8.162464                -8.165465
                 2.432477                -8.021045                -8.016928                -8.019839
                 2.442487                -7.876571                -7.872510                -7.875332
                 2.452497                -7.733185                -7.729177                -7.731912
                 2.462508                -7.590853                -7.586900                -7.589548
                 2.472518                -7.449546                -7.445645                -7.448207
                 2.482528                -7.309232                -7.305382                -7.307860
                 2.492538                -7.169881                -7.166081                -7.168476
                 2.502548                -7.031463                -7.027712                -7.030026
                 2.512559                -6.893948                -6.890245                -6.892480
                 2.522569                -6.757309                -6.753652                -6.755811
                 2.532579                -6.621517                -6.617905                -6.619990
                 2.542589                -6.486544                -6.482977                -6.484991
                 2.552599                -6.352366                -6.348841                -6.350788
                 2.562610                -6.218955                -6.215472                -6.217357
                 2.572620                -6.086289                -6.082846                -6.084674
                 2.582630                -5.954345                -5.950940                -5.952717
                 2.592640                -5.823100                -5.819732                -5.821466
                 2.602650                -5.692535                -5.689203                -5.690901
                 2.612661                -5.562633                -5.559334                -5.561007
                 2.622671                -5.433376                -5.430109                -5.431767
                 2.632681                -5.304752                -5.301516                -5.303171
                 2.642691                -5.176750                -5.173542                -5.175210
                 2.652701                -5.049361                -5.046180                -5.047876
                 2.662712                -4.922581                -4.919424                -4.921167
                 2.672722                -4.796408                -4.793274                -4.795084
                 2.682732                -4.670845                -4.667732                -4.669632
                 2.692742                -4.545898                -4.542804                -4.544820
                 2.702752                -4.421579                -4.418503                -4.420661
                 2.712763                -4.297904                -4.294845                -4.297175
                 2.722773                -4.174895                -4.171852                -4.174384
                 2.732783                -4.052579                -4.049552                -4.052318
                 2.742793                -3.930988                -3.927977                -3.931008
                 2.752803                -3.810161                -3.807167                -3.810494
                 2.762813                -3.690144                -3.687169                -3.690818
                 2.772824                -3.570986                -3.568034                -3.572029
                 2.782834                -3.452746                -3.449821                -3.454179
                 2.792844                -3.335487                -3.332595                -3.337324
                 2.802854                -3.219279                -3.216428                -3.221525
                 2.812864                -3.104197                -3.101397                -3.106849
                 2.822875                -2.990324                -2.987586                -2.993364
                 2.832885                -2.877748                -2.875086                -2.881149
                 2.842895                -2.766563                -2.763993                -2.770285
                 2.852905                -2.656870                -2.654409                -2.660863
                 2.862915                -2.548779                -2.546444                -2.552981
                 2.872926                -2.442404                -2.440214                -2.446749
                 2.882936                -2.337868                -2.335841                -2.342285
                 2.892946                -2.235303                -2.233455                -2.239721
                 2.902956                -2.134848                -2.133193                -2.139196
                 2.912966                -2.036649                -2.035198                -2.040863
                 2.922977                -1.940859                -1.939618                -1.944883
                 2.932987                -1.847634                -1.846607                -1.851422
                 2.942997                -1.757134                -1.756317                -1.760649
                 2.953007                -1.669513                -1.668901                -1.672733
                 2.963017                -1.584920                -1.584501                -1.587832
                 2.973028                -1.503489                -1.503248                -1.506094
                 2.983038                -1.425335                -1.425251                -1.427642
                 2.993048                -1.350545                -1.350594                -1.352572
                 3.003058                -1.279173                -1.279326                -1.280947
                 3.013068                -1.211233                -1.211457                -1.212785
                 3.023079                -1.146695                -1.146954                -1.148063
                 3.033089                -1.085481                -1.085736                -1.086709
                 3.043099                -1.027465                -1.027676                -1.028601
                 3.053109                -0.972475                -0.972604                -0.973576
                 3.063119                -0.920295                -0.920310                -0.921428
                 3.073129                -0.870676                -0.870552                -0.871916
                 3.083140                -0.823342                -0.823066                -0.824776
                 3.093150                -0.778006                -0.777577                -0.779725
                 3.103160                -0.734377                -0.733813                -0.736481
                 3.113170                -0.692180                -0.691514                -0.694766
                 3.123180                -0.651162                -0.650448                -0.654325
                 3.133191                -0.611110                -0.610415                -0.614932
                 3.143201                -0.571855                -0.571261                -0.576401
                 3.153211                -0.533277                -0.532875                -0.538588
                 3.163221                -0.495305                -0.495189                -0.501394
                 3.173231                -0.457913                -0.458175                -0.464763
                 3.183242                -0.421112                -0.421834                -0.428673
                 3.193252                -0.384938                -0.386190                -0.393131
                 3.203262                -0.349444                -0.351276                -0.358161
                 3.213272                -0.314687                -0.317126                -0.323798
                 3.223282                -0.280723                -0.283772                -0.290078
                 3.233293                -0.247599                -0.251238                -0.257038
                 3.243303                -0.215353                -0.219543                -0.224715
                 3.253313                -0.184019                -0.188704                -0.193148
                 3.263323                -0.153628                -0.158743                -0.162382
                 3.273333                -0.124215                -0.129693                -0.132471
                 3.283344                -0.095822                -0.101599                -0.103488
                 3.293354                -0.068504                -0.074526                -0.075517
                 3.303364                -0.042326                -0.048556                -0.048658
                 3.313374                -0.017365                -0.023784                -0.023021
                 3.323384                 0.006291                -0.000312                 0.001276
                 3.333395                 0.028554                 0.021755                 0.024119
                 3.343405                 0.049336                 0.042315                 0.045398
                 3.353415                 0.068549                 0.061277                 0.065011
                 3.363425                 0.086111                 0.078557                 0.082866
                 3.373435                 0.101942                 0.094080                 0.098876
                 3.383445                 0.115956                 0.107771                 0.112956
                 3.393456                 0.128052                 0.119545                 0.125008
                 3.403466                 0.138106                 0.129297                 0.134915
                 3.413476                 0.145958                 0.136885                 0.142529
                 3.423486                 0.151401                 0.142124                 0.147659
                 3.433496                 0.154173                 0.144771                 0.150063
                 3.443507                 0.153960                 0.144528                 0.149451
                 3.453517                 0.150397                 0.141042                 0.145485
                 3.463527                 0.143083                 0.133921                 0.137793
                 3.473537                 0.131603                 0.122753                 0.125984
                 3.483547                 0.115555                 0.107134                 0.109682
                 3.493558                 0.094588                 0.086704                 0.088553
                 3.503568                 0.068436                 0.061186                 0.062342
                 3.513578                 0.036958                 0.030422                 0.030913
                 3.523588                 0.000168                -0.005594                -0.005726
                 3.533598                -0.041740                -0.046690                -0.047392
                 3.543609                -0.088388                -0.092511                -0.093723
                 3.553619                -0.139213                -0.142515                -0.144175
                 3.563629                -0.193494                -0.196002                -0.198047
                 3.573639                -0.250388                -0.252143                -0.254509
                 3.583649                -0.308970                -0.310027                -0.312652
                 3.593660                -0.368295                -0.368715                -0.371533
                 3.603670                -0.427437                -0.427287                -0.430229
                 3.613680                -0.485545                -0.484891                -0.487882
                 3.623690                -0.541869                -0.540776                -0.543733
                 3.633700                -0.595792                -0.594321                -0.597153
                 3.643711                -0.646830                -0.645041                -0.647650
                 3.653721                -0.694643                -0.692592                -0.694874
                 3.663731                -0.739017                -0.736760                -0.738609
                 3.673741                -0.779853                -0.777448                -0.778758
                 3.683751                -0.817142                -0.814650                -0.815323
                 3.693761                -0.850950                -0.848435                -0.848386
                 3.703772                -0.881386                -0.878919                -0.878078
                 3.713782                -0.908586                -0.906242                -0.904563
                 3.723792                -0.932690                -0.930549                -0.928011
                 3.733802                -0.953822                -0.951967                -0.948577
                 3.743812                -0.972078                -0.970592                -0.966390
                 3.753823                -0.987518                -0.986482                -0.981539
                 3.763833                -1.000159                -0.999651                -0.994067
                 3.773843                -1.009984                -1.010073                -1.003976
                 3.783853                -1.016950                -1.017695                -1.011237
                 3.793863                -1.021000                -1.022452                -1.015798
                 3.803874                -1.022089                -1.024284                -1.017610
                 3.813884                -1.020197                -1.023159                -1.016641
                 3.823894                -1.015353                -1.019096                -1.012902
                 3.833904                -1.007653                -1.012176                -1.006460
                 3.843914                -0.997266                -1.002557                -0.997453
                 3.853925                -0.984449                -0.990483                -0.986098
                 3.863935                -0.969535                -0.976279                -0.972692
                 3.873945                -0.952939                -0.960346                -0.957606
                 3.883955                -0.935129                -0.943146                -0.941270
                 3.893965                -0.916621                -0.925181                -0.924159
                 3.903976                -0.897941                -0.906974                -0.906767
                 3.913986                -0.879609                -0.889039                -0.889583
                 3.923996                -0.862104                -0.871851                -0.873062
                 3.934006                -0.845842                -0.855828                -0.857604
                 3.944016                -0.831151                -0.841301                -0.843529
                 3.954027                -0.818259                -0.828503                -0.831063
                 3.964037                -0.807279                -0.817556                -0.820326
                 3.974047                -0.798214                -0.808476                -0.811335
                 3.984057                -0.790966                -0.801176                -0.804011
                 3.994067                -0.785350                -0.795486                -0.798194
                 4.004078                -0.781123                -0.791175                -0.793666
                 4.014088                -0.778007                -0.787980                -0.790180
                 4.024098                -0.775718                -0.785628                -0.787482
                 4.034108                -0.773995                -0.783866                -0.785337
                 4.044118                -0.772615                -0.782481                -0.783550
                 4.054128                -0.771410                -0.781310                -0.781974
                 4.064139                -0.770273                -0.780248                -0.780518
                 4.074149                -0.769154                -0.779246                -0.779143
                 4.084159                -0.768053                -0.778307                -0.777854
                 4.094169                -0.767012                -0.777470                -0.776693
                 4.104179                -0.766100                -0.776800                -0.775720
                 4.114190                -0.765399                -0.776379                -0.775009
                 4.124200                -0.765003                -0.776295                -0.774636
                 4.134210                -0.765003                -0.776634                -0.774679
                 4.144220                -0.765492                -0.777484                -0.775214
                 4.154230                -0.766565                -0.778932                -0.776322
                 4.164241                -0.768326                -0.781076                -0.778092
                 4.174251                -0.770891                -0.784025                -0.780632
                 4.184261                -0.774399                -0.787911                -0.784074
                 4.194271                -0.779017                -0.792893                -0.788577
                 4.204281                -0.784938                -0.799159                -0.794333
                 4.214292                -0.792385                -0.806927                -0.801561
                 4.224302                -0.801601                -0.816432                -0.810501
                 4.234312                -0.812837                -0.827922                -0.821399
                 4.244322                -0.826334                -0.841633                -0.834494
                 4.254332                -0.842305                -0.857771                -0.849993
                 4.264343                -0.860906                -0.876491                -0.868049
                 4.274353                -0.882222                -0.897873                -0.888745
                 4.284363                -0.906244                -0.921905                -0.912072
                 4.294373                -0.932857                -0.948474                -0.937918
                 4.304383                -0.961841                -0.977359                -0.966069
                 4.314394                -0.992872                -1.008239                -0.996210
                 4.324404                -1.025538                -1.040706                -1.027946
                 4.334414                -1.059365                -1.074289                -1.060817
                 4.344424                -1.093842                -1.108482                -1.094333
                 4.354434                -1.128453                -1.142774                -1.128000
                 4.364444                -1.162709                -1.176676                -1.161349
                 4.374455                -1.196174                -1.209752                -1.193964
                 4.384465                -1.228479                -1.241634                -1.225495
                 4.394475                -1.259343                -1.272039                -1.255674
                 4.404485                -1.288567                -1.300765                -1.284313
                 4.414495                -1.316035                -1.327694                -1.311299
                 4.424506                -1.341698                -1.352778                -1.336584
                 4.434516                -1.365564                -1.376023                -1.360169
                 4.444526                -1.387673                -1.397474                -1.382085
                 4.454536                -1.408084                -1.417193                -1.402381
                 4.464546                -1.426857                -1.435248                -1.421104
                 4.474557                -1.444040                -1.451694                -1.438292
                 4.484567                -1.459663                -1.466571                -1.453968
                 4.494577                -1.473731                -1.479896                -1.468132
                 4.504587                -1.486231                -1.491665                -1.480770
                 4.514597                -1.497137                -1.501860                -1.491852
                 4.524608                -1.506417                -1.510458                -1.501346
                 4.534618                -1.514048                -1.517440                -1.509226
                 4.544628                -1.520028                -1.522806                -1.515481
                 4.554638                -1.524383                -1.526585                -1.520129
                 4.564648                -1.527183                -1.528841                -1.523228
                 4.574659                -1.528540                -1.529685                -1.524876
                 4.584669                -1.528615                -1.529272                -1.525224
                 4.594679                -1.527615                -1.527799                -1.524470
                 4.604689                -1.525786                -1.525507                -1.522858
                 4.614699                -1.523408                -1.522666                -1.520670
                 4.624710                -1.520783                -1.519573                -1.518220
                 4.634720                -1.518230                -1.516540                -1.515843
                 4.644730                -1.516073                -1.513886                -1.513881
                 4.654740                -1.514631                -1.511927                -1.512672
                 4.664750                -1.514214                -1.510973                -1.512545
                 4.674760                -1.515114                -1.511320                -1.513802
                 4.684771                -1.517598                -1.513242                -1.516715
                 4.694781                -1.521907                -1.516986                -1.521518
                 4.704791                -1.528241                -1.522768                -1.528396
                 4.714801                -1.536763                -1.530763                -1.537487
                 4.724811                -1.547584                -1.541099                -1.548874
                 4.734822                -1.560766                -1.553849                -1.562580
                 4.744832                -1.576308                -1.569030                -1.578574
                 4.754842                -1.594149                -1.586589                -1.596762
                 4.764852                -1.614163                -1.606409                -1.616992
                 4.774862                -1.636156                -1.628300                -1.639056
                 4.784873                -1.659870                -1.652004                -1.662689
                 4.794883                -1.684982                -1.677195                -1.687573
                 4.804893                -1.711110                -1.703486                -1.713340
                 4.814903                -1.737818                -1.730433                -1.739576
                 4.824913                -1.764627                -1.757546                -1.765830
                 4.834924                -1.791025                -1.784303                -1.791621
                 4.844934                -1.816480                -1.810162                -1.816449
                 4.854944                -1.840461                -1.834580                -1.839813
                 4.864954                -1.862455                -1.857033                -1.861224
                 4.874964                -1.881983                -1.877033                -1.880224
                 4.884975                -1.898624                -1.894146                -1.896405
                 4.894985                -1.912023                -1.908010                -1.909422
                 4.904995                -1.921910                -1.918343                -1.919003
                 4.915005                -1.928099                -1.924951                -1.924960
                 4.925015                -1.930492                -1.927728                -1.927186
                 4.935026                -1.929074                -1.926651                -1.925656
                 4.945036                -1.923902                -1.921773                -1.920419
                 4.955046                -1.915097                -1.913211                -1.911587
                 4.965056                -1.902833                -1.901135                -1.899324
                 4.975066                -1.887319                -1.885754                -1.883838
                 4.985076                -1.868795                -1.867311                -1.865367
                 4.995087                -1.847520                -1.846068                -1.844173
                 5.005097                -1.823767                -1.822304                -1.820531
                 5.015107                -1.797816                -1.796305                -1.794726
                 5.025117                -1.769950                -1.768364                -1.767045
                 5.035127                -1.740453                -1.738771                -1.737775
                 5.045138                -1.709601                -1.707814                -1.707193
                 5.055148                -1.677664                -1.675773                -1.675569
                 5.065158                -1.644901                -1.642912                -1.643156
                 5.075168                -1.611553                -1.609482                -1.610190
                 5.085178                -1.577844                -1.575714                -1.576887
                 5.095189                -1.543979                -1.541815                -1.543440
                 5.105199                -1.510141                -1.507972                -1.510024
                 5.115209                -1.476492                -1.474348                -1.476789
                 5.125219                -1.443177                -1.441086                -1.443871
                 5.135229                -1.410325                -1.408312                -1.411389
                 5.145240                -1.378050                -1.376136                -1.379454
                 5.155250                -1.346462                -1.344661                -1.348169
                 5.165260                -1.315666                -1.313986                -1.317637
                 5.175270                -1.285769                -1.284211                -1.287965
                 5.185280                -1.256884                -1.255442                -1.259266
                 5.195291                -1.229135                -1.227797                -1.231668
                 5.205301                -1.202658                -1.201409                -1.205308
                 5.215311                -1.177603                -1.176423                -1.180341
                 5.225321                -1.154134                -1.153004                -1.156932
                 5.235331                -1.132427                -1.131327                -1.135258
                 5.245342                -1.112662                -1.111576                -1.115502
                 5.255352                -1.095022                -1.093936                -1.097844
                 5.265362                -1.079675                -1.078584                -1.082452
                 5.275372                -1.066774                -1.065674                -1.069474
                 5.285382                -1.056435                -1.055330                -1.059027
                 5.295393                -1.048737                -1.047635                -1.051187
                 5.305403                -1.043703                -1.042617                -1.045979
                 5.315413                -1.041305                -1.040250                -1.043380
                 5.325423                -1.041455                -1.040448                -1.043309
                 5.335433                -1.044013                -1.043072                -1.045638
                 5.345443                -1.048792                -1.047934                -1.050197
                 5.355454                -1.055575                -1.054816                -1.056785
                 5.365464                -1.064124                -1.063476                -1.065181
                 5.375474                -1.074200                -1.073670                -1.075159
                 5.385484                -1.085569                -1.085162                -1.086500
                 5.395494                -1.098021                -1.097735                -1.098999
                 5.405505                -1.111369                -1.111198                -1.112471
                 5.415515                -1.125455                -1.125388                -1.126754
                 5.425525                -1.140146                -1.140165                -1.141704
                 5.435535                -1.155331                -1.155416                -1.157199
                 5.445545                -1.170914                -1.171039                -1.173124
                 5.455556                -1.186811                -1.186946                -1.189375
                 5.465566                -1.202941                -1.203055                -1.205855
                 5.475576                -1.219227                -1.219289                -1.222468
                 5.485586                -1.235591                -1.235570                -1.239121
                 5.495596                -1.251959                -1.251826                -1.255724
                 5.505607                -1.268256                -1.267987                -1.272193
                 5.515617                -1.284406                -1.283983                -1.288446
                 5.525627                -1.300335                -1.299746                -1.304401
