#        Energy grid [eV]               Re(eps)_x                Re(eps)_y                Re(eps)_z
#
                 0.600612                 5.379808                 5.376502                 5.379583
                 0.610622                 5.381875                 5.378568                 5.381650
                 0.620632                 5.383979                 5.380672                 5.383755
                 0.630642                 5.386121                 5.382813                 5.385898
                 0.640652                 5.388300                 5.384992                 5.388079
                 0.650663                 5.390518                 5.387209                 5.390297
                 0.660673                 5.392774                 5.389464                 5.392554
                 0.670683                 5.395069                 5.391758                 5.394849
                 0.680693                 5.397402                 5.394090                 5.397183
                 0.690703                 5.399773                 5.396461                 5.399556
                 0.700714                 5.402184                 5.398871                 5.401967
                 0.710724                 5.404634                 5.401320                 5.404418
                 0.720734                 5.407123                 5.403808                 5.406908
                 0.730744                 5.409652                 5.406336                 5.409438
                 0.740754                 5.412220                 5.408904                 5.412007
                 0.750765                 5.414829                 5.411512                 5.414617
                 0.760775                 5.417478                 5.414160                 5.417267
                 0.770785                 5.420167                 5.416848                 5.419957
                 0.780795                 5.422897                 5.419577                 5.422688
                 0.790805                 5.425668                 5.422347                 5.425460
                 0.800816                 5.428480                 5.425159                 5.428274
                 0.810826                 5.431334                 5.428011                 5.431128
                 0.820836                 5.434229                 5.430906                 5.434025
                 0.830846                 5.437167                 5.433842                 5.436963
                 0.840856                 5.440146                 5.436820                 5.439944
                 0.850866                 5.443168                 5.439841                 5.442967
                 0.860877                 5.446232                 5.442905                 5.446032
                 0.870887                 5.449340                 5.446011                 5.449141
                 0.880897                 5.452491                 5.449161                 5.452293
                 0.890907                 5.455685                 5.452355                 5.455489
                 0.900917                 5.458924                 5.455592                 5.458729
                 0.910928                 5.462206                 5.458874                 5.462013
                 0.920938                 5.465533                 5.462199                 5.465341
                 0.930948                 5.468905                 5.465570                 5.468714
                 0.940958                 5.472322                 5.468986                 5.472132
                 0.950968                 5.475784                 5.472447                 5.475596
                 0.960979                 5.479292                 5.475954                 5.479105
                 0.970989                 5.482846                 5.479506                 5.482660
                 0.980999                 5.486446                 5.483106                 5.486262
                 0.991009                 5.490093                 5.486751                 5.489911
                 1.001019                 5.493787                 5.490444                 5.493606
                 1.011030                 5.497528                 5.494185                 5.497349
                 1.021040                 5.501318                 5.497973                 5.501140
                 1.031050                 5.505155                 5.501809                 5.504979
                 1.041060                 5.509041                 5.505694                 5.508867
                 1.051070                 5.512976                 5.509627                 5.512803
                 1.061081                 5.516960                 5.513610                 5.516789
                 1.071091                 5.520994                 5.517643                 5.520825
                 1.081101                 5.525078                 5.521725                 5.524910
                 1.091111                 5.529212                 5.525859                 5.529047
                 1.101121                 5.533397                 5.530043                 5.533234
                 1.111132                 5.537634                 5.534278                 5.537472
                 1.121142                 5.541922                 5.538565                 5.541762
                 1.131152                 5.546262                 5.542904                 5.546105
                 1.141162                 5.550655                 5.547296                 5.550500
                 1.151172                 5.555102                 5.551741                 5.554948
                 1.161182                 5.559601                 5.556239                 5.559450
                 1.171193                 5.564155                 5.560792                 5.564005
                 1.181203                 5.568763                 5.565399                 5.568616
                 1.191213                 5.573426                 5.570060                 5.573281
                 1.201223                 5.578145                 5.574778                 5.578002
                 1.211233                 5.582920                 5.579551                 5.582779
                 1.221244                 5.587751                 5.584381                 5.587613
                 1.231254                 5.592639                 5.589268                 5.592503
                 1.241264                 5.597585                 5.594212                 5.597451
                 1.251274                 5.602589                 5.599215                 5.602457
                 1.261284                 5.607651                 5.604276                 5.607522
                 1.271295                 5.612773                 5.609396                 5.612647
                 1.281305                 5.617954                 5.614576                 5.617831
                 1.291315                 5.623196                 5.619817                 5.623075
                 1.301325                 5.628499                 5.625118                 5.628380
                 1.311335                 5.633863                 5.630481                 5.633748
                 1.321346                 5.639290                 5.635906                 5.639177
                 1.331356                 5.644779                 5.641394                 5.644669
                 1.341366                 5.650332                 5.646946                 5.650225
                 1.351376                 5.655949                 5.652561                 5.655845
                 1.361386                 5.661631                 5.658242                 5.661529
                 1.371397                 5.667378                 5.663987                 5.667280
                 1.381407                 5.673191                 5.669799                 5.673096
                 1.391417                 5.679071                 5.675678                 5.678980
                 1.401427                 5.685019                 5.681625                 5.684931
                 1.411437                 5.691035                 5.687639                 5.690950
                 1.421448                 5.697120                 5.693723                 5.697038
                 1.431458                 5.703275                 5.699876                 5.703197
                 1.441468                 5.709501                 5.706100                 5.709426
                 1.451478                 5.715798                 5.712396                 5.715726
                 1.461488                 5.722167                 5.718764                 5.722099
                 1.471498                 5.728609                 5.725204                 5.728545
                 1.481509                 5.735125                 5.731719                 5.735064
                 1.491519                 5.741715                 5.738308                 5.741659
                 1.501529                 5.748382                 5.744973                 5.748329
                 1.511539                 5.755124                 5.751714                 5.755075
                 1.521549                 5.761944                 5.758532                 5.761899
                 1.531560                 5.768842                 5.765429                 5.768802
                 1.541570                 5.775820                 5.772405                 5.775783
                 1.551580                 5.782878                 5.779462                 5.782845
                 1.561590                 5.790016                 5.786599                 5.789989
                 1.571600                 5.797238                 5.793819                 5.797214
                 1.581611                 5.804542                 5.801121                 5.804523
                 1.591621                 5.811930                 5.808508                 5.811916
                 1.601631                 5.819404                 5.815981                 5.819395
                 1.611641                 5.826964                 5.823539                 5.826960
                 1.621651                 5.834612                 5.831186                 5.834612
                 1.631662                 5.842348                 5.838921                 5.842353
                 1.641672                 5.850174                 5.846745                 5.850185
                 1.651682                 5.858091                 5.854661                 5.858107
                 1.661692                 5.866100                 5.862669                 5.866122
                 1.671702                 5.874203                 5.870770                 5.874230
                 1.681713                 5.882400                 5.878966                 5.882432
                 1.691723                 5.890693                 5.887258                 5.890731
                 1.701733                 5.899084                 5.895647                 5.899128
                 1.711743                 5.907573                 5.904135                 5.907623
                 1.721753                 5.916162                 5.912722                 5.916218
                 1.731764                 5.924853                 5.921412                 5.924915
                 1.741774                 5.933646                 5.930204                 5.933715
                 1.751784                 5.942544                 5.939100                 5.942619
                 1.761794                 5.951547                 5.948102                 5.951629
                 1.771804                 5.960658                 5.957212                 5.960746
                 1.781814                 5.969877                 5.966430                 5.969973
                 1.791825                 5.979207                 5.975759                 5.979310
                 1.801835                 5.988650                 5.985200                 5.988760
                 1.811845                 5.998206                 5.994755                 5.998323
                 1.821855                 6.007877                 6.004425                 6.008002
                 1.831865                 6.017666                 6.014213                 6.017799
                 1.841876                 6.027574                 6.024120                 6.027715
                 1.851886                 6.037603                 6.034148                 6.037752
                 1.861896                 6.047755                 6.044298                 6.047912
                 1.871906                 6.058031                 6.054574                 6.058197
                 1.881916                 6.068434                 6.064976                 6.068609
                 1.891927                 6.078966                 6.075507                 6.079149
                 1.901937                 6.089629                 6.086169                 6.089821
                 1.911947                 6.100424                 6.096963                 6.100626
                 1.921957                 6.111355                 6.107893                 6.111566
                 1.931967                 6.122423                 6.118960                 6.122644
                 1.941978                 6.133631                 6.130167                 6.133862
                 1.951988                 6.144980                 6.141516                 6.145222
                 1.961998                 6.156474                 6.153009                 6.156726
                 1.972008                 6.168115                 6.164650                 6.168378
                 1.982018                 6.179905                 6.176439                 6.180179
                 1.992029                 6.191847                 6.188380                 6.192132
                 2.002039                 6.203944                 6.200476                 6.204240
                 2.012049                 6.216198                 6.212730                 6.216506
                 2.022059                 6.228612                 6.225143                 6.228932
                 2.032069                 6.241189                 6.237720                 6.241522
                 2.042080                 6.253931                 6.250462                 6.254277
                 2.052090                 6.266843                 6.263374                 6.267202
                 2.062100                 6.279927                 6.276457                 6.280299
                 2.072110                 6.293186                 6.289716                 6.293572
                 2.082120                 6.306623                 6.303153                 6.307023
                 2.092130                 6.320242                 6.316772                 6.320657
                 2.102141                 6.334046                 6.330576                 6.334476
                 2.112151                 6.348039                 6.344569                 6.348484
                 2.122161                 6.362224                 6.358755                 6.362685
                 2.132171                 6.376606                 6.373137                 6.377083
                 2.142181                 6.391187                 6.387718                 6.391681
                 2.152192                 6.405973                 6.402504                 6.406483
                 2.162202                 6.420966                 6.417498                 6.421493
                 2.172212                 6.436171                 6.432704                 6.436716
                 2.182222                 6.451592                 6.448126                 6.452156
                 2.192232                 6.467235                 6.463769                 6.467817
                 2.202243                 6.483102                 6.479638                 6.483704
                 2.212253                 6.499199                 6.495736                 6.499821
                 2.222263                 6.515531                 6.512069                 6.516174
                 2.232273                 6.532103                 6.528642                 6.532766
                 2.242283                 6.548919                 6.545459                 6.549604
                 2.252294                 6.565985                 6.562526                 6.566691
                 2.262304                 6.583305                 6.579849                 6.584035
                 2.272314                 6.600887                 6.597432                 6.601639
                 2.282324                 6.618734                 6.615281                 6.619510
                 2.292334                 6.636853                 6.633403                 6.637654
                 2.302345                 6.655250                 6.651802                 6.656076
                 2.312355                 6.673931                 6.670485                 6.674782
                 2.322365                 6.692902                 6.689458                 6.693780
                 2.332375                 6.712169                 6.708729                 6.713074
                 2.342385                 6.731739                 6.728302                 6.732672
                 2.352396                 6.751619                 6.748185                 6.752580
                 2.362406                 6.771816                 6.768385                 6.772806
                 2.372416                 6.792336                 6.788909                 6.793356
                 2.382426                 6.813187                 6.809764                 6.814237
                 2.392436                 6.834377                 6.830957                 6.835457
                 2.402447                 6.855912                 6.852497                 6.857023
                 2.412457                 6.877800                 6.874390                 6.878943
                 2.422467                 6.900049                 6.896644                 6.901225
                 2.432477                 6.922668                 6.919268                 6.923876
                 2.442487                 6.945663                 6.942269                 6.946904
                 2.452497                 6.969043                 6.965655                 6.970318
                 2.462508                 6.992817                 6.989435                 6.994125
                 2.472518                 7.016992                 7.013616                 7.018333
                 2.482528                 7.041576                 7.038208                 7.042951
                 2.492538                 7.066578                 7.063217                 7.067986
                 2.502548                 7.092006                 7.088653                 7.093446
                 2.512559                 7.117867                 7.114523                 7.119338
                 2.522569                 7.144170                 7.140834                 7.145671
                 2.532579                 7.170921                 7.167594                 7.172450
                 2.542589                 7.198127                 7.194811                 7.199683
                 2.552599                 7.225796                 7.222491                 7.227376
                 2.562610                 7.253932                 7.250639                 7.255533
                 2.572620                 7.282542                 7.279260                 7.284159
                 2.582630                 7.311629                 7.308360                 7.313258
                 2.592640                 7.341196                 7.337942                 7.342832
                 2.602650                 7.371245                 7.368006                 7.372881
                 2.612661                 7.401777                 7.398555                 7.403406
                 2.622671                 7.432791                 7.429586                 7.434402
                 2.632681                 7.464282                 7.461096                 7.465865
                 2.642691                 7.496246                 7.493079                 7.497789
                 2.652701                 7.528674                 7.525528                 7.530161
                 2.662712                 7.561554                 7.558432                 7.562971
                 2.672722                 7.594874                 7.591775                 7.596200
                 2.682732                 7.628613                 7.625540                 7.629828
                 2.692742                 7.662752                 7.659704                 7.663832
                 2.702752                 7.697263                 7.694242                 7.698182
                 2.712763                 7.732115                 7.729122                 7.732846
                 2.722773                 7.767273                 7.764309                 7.767786
                 2.732783                 7.802695                 7.799759                 7.802959
                 2.742793                 7.838336                 7.835427                 7.838318
                 2.752803                 7.874142                 7.871259                 7.873811
                 2.762813                 7.910055                 7.907195                 7.909383
                 2.772824                 7.946012                 7.943171                 7.944971
                 2.782834                 7.981942                 7.979115                 7.980511
                 2.792844                 8.017768                 8.014949                 8.015933
                 2.802854                 8.053409                 8.050590                 8.051165
                 2.812864                 8.088777                 8.085947                 8.086128
                 2.822875                 8.123778                 8.120925                 8.120739
                 2.832885                 8.158311                 8.155421                 8.154911
                 2.842895                 8.192271                 8.189328                 8.188550
                 2.852905                 8.225544                 8.222532                 8.221554
                 2.862915                 8.258013                 8.254911                 8.253812
                 2.872926                 8.289549                 8.286340                 8.285205
                 2.882936                 8.320019                 8.316685                 8.315603
                 2.892946                 8.349281                 8.345805                 8.344866
                 2.902956                 8.377186                 8.373554                 8.372840
                 2.912966                 8.403578                 8.399777                 8.399365
                 2.922977                 8.428292                 8.424317                 8.424270
                 2.932987                 8.451164                 8.447011                 8.447378
                 2.942997                 8.472024                 8.467695                 8.468510
                 2.953007                 8.490707                 8.486208                 8.487489
                 2.963017                 8.507056                 8.502399                 8.504145
                 2.973028                 8.520927                 8.516126                 8.518324
                 2.983038                 8.532197                 8.527272                 8.529892
                 2.993048                 8.540769                 8.535744                 8.538743
                 3.003058                 8.546580                 8.541484                 8.544808
                 3.013068                 8.549607                 8.544474                 8.548057
                 3.023079                 8.549874                 8.544737                 8.548507
                 3.033089                 8.547448                 8.542348                 8.546222
                 3.043099                 8.542447                 8.537422                 8.541313
                 3.053109                 8.535037                 8.530125                 8.533937
                 3.063119                 8.525424                 8.520657                 8.524292
                 3.073129                 8.513849                 8.509252                 8.512610
                 3.083140                 8.500581                 8.496167                 8.499150
                 3.093150                 8.485900                 8.481669                 8.484183
                 3.103160                 8.470089                 8.466023                 8.467987
                 3.113170                 8.453416                 8.449480                 8.450831
                 3.123180                 8.436125                 8.432268                 8.432963
                 3.133191                 8.418423                 8.414576                 8.414602
                 3.143201                 8.400473                 8.396553                 8.395928
                 3.153211                 8.382387                 8.378304                 8.377077
                 3.163221                 8.364229                 8.359889                 8.358142
                 3.173231                 8.346019                 8.341329                 8.339171
                 3.183242                 8.327740                 8.322617                 8.320180
                 3.193252                 8.309348                 8.303722                 8.301156
                 3.203262                 8.290784                 8.284606                 8.282068
                 3.213272                 8.271985                 8.265227                 8.262876
                 3.223282                 8.252889                 8.245548                 8.243536
                 3.233293                 8.233444                 8.225538                 8.224006
                 3.243303                 8.213603                 8.205173                 8.204242
                 3.253313                 8.193328                 8.184429                 8.184200
                 3.263323                 8.172582                 8.163279                 8.163830
                 3.273333                 8.151325                 8.141684                 8.143070
                 3.283344                 8.129508                 8.119594                 8.121844
                 3.293354                 8.107072                 8.096936                 8.100060
                 3.303364                 8.083945                 8.073626                 8.077614
                 3.313374                 8.060044                 8.049562                 8.054389
                 3.323384                 8.035278                 8.024636                 8.030264
                 3.333395                 8.009553                 7.998738                 8.005119
                 3.343405                 7.982774                 7.971763                 7.978837
                 3.353415                 7.954850                 7.943611                 7.951314
                 3.363425                 7.925695                 7.914197                 7.922450
                 3.373435                 7.895221                 7.883438                 7.892156
                 3.383445                 7.863338                 7.851256                 7.860339
                 3.393456                 7.829942                 7.817561                 7.826899
                 3.403466                 7.794903                 7.782242                 7.791713
                 3.413476                 7.758056                 7.745154                 7.754628
                 3.423486                 7.719189                 7.706106                 7.715449
                 3.433496                 7.678038                 7.664851                 7.673929
                 3.443507                 7.634282                 7.621087                 7.629775
                 3.453517                 7.587553                 7.574457                 7.582643
                 3.463527                 7.537445                 7.524564                 7.532156
                 3.473537                 7.483539                 7.470991                 7.477921
                 3.483547                 7.425428                 7.413330                 7.419557
                 3.493558                 7.362758                 7.351218                 7.356725
                 3.503568                 7.295259                 7.284374                 7.289167
                 3.513578                 7.222785                 7.212635                 7.216742
                 3.523588                 7.145347                 7.135991                 7.139455
                 3.533598                 7.063134                 7.054610                 7.057483
                 3.543609                 6.976522                 6.968845                 6.971188
                 3.553619                 6.886067                 6.879231                 6.881106
                 3.563629                 6.792489                 6.786467                 6.787938
                 3.573639                 6.696627                 6.691377                 6.692507
                 3.583649                 6.599401                 6.594869                 6.595720
                 3.593660                 6.501754                 6.497878                 6.498517
                 3.603670                 6.404607                 6.401320                 6.401816
                 3.613680                 6.308809                 6.306045                 6.306473
                 3.623690                 6.215104                 6.212799                 6.213242
                 3.633700                 6.124110                 6.122200                 6.122749
                 3.643711                 6.036303                 6.034730                 6.035484
                 3.653721                 5.952022                 5.950730                 5.951792
                 3.663731                 5.871478                 5.870409                 5.871887
                 3.673741                 5.794766                 5.793864                 5.795862
                 3.683751                 5.721891                 5.721094                 5.723711
                 3.693761                 5.652786                 5.652030                 5.655351
                 3.703772                 5.587337                 5.586551                 5.590646
                 3.713782                 5.525406                 5.524514                 5.529430
                 3.723792                 5.466851                 5.465772                 5.471531
                 3.733802                 5.411542                 5.410196                 5.416788
                 3.743812                 5.359382                 5.357684                 5.365072
                 3.753823                 5.310309                 5.308177                 5.316289
                 3.763833                 5.264301                 5.261658                 5.270395
                 3.773843                 5.221374                 5.218150                 5.227383
                 3.783853                 5.181567                 5.177704                 5.187281
                 3.793863                 5.144934                 5.140381                 5.150138
                 3.803874                 5.111520                 5.106240                 5.116000
                 3.813884                 5.081339                 5.075307                 5.084895
                 3.823894                 5.054360                 5.047564                 5.056812
                 3.833904                 5.030487                 5.022927                 5.031681
                 3.843914                 5.009545                 5.001232                 5.009359
                 3.853925                 4.991277                 4.982236                 4.989628
                 3.863935                 4.975345                 4.965610                 4.972189
                 3.873945                 4.961335                 4.950952                 4.956668
                 3.883955                 4.948772                 4.937796                 4.942633
                 3.893965                 4.937143                 4.925638                 4.929605
                 3.903976                 4.925915                 4.913952                 4.917090
                 3.913986                 4.914568                 4.902223                 4.904595
                 3.923996                 4.902620                 4.889973                 4.891663
                 3.934006                 4.889653                 4.876781                 4.877892
                 3.944016                 4.875336                 4.862315                 4.862959
                 3.954027                 4.859440                 4.846340                 4.846637
                 3.964037                 4.841849                 4.828730                 4.828802
                 3.974047                 4.822557                 4.809468                 4.809437
                 3.984057                 4.801662                 4.788639                 4.788618
                 3.994067                 4.779345                 4.766410                 4.766502
                 4.004078                 4.755848                 4.743010                 4.743306
                 4.014088                 4.731446                 4.718702                 4.719274
                 4.024098                 4.706422                 4.693754                 4.694659
                 4.034108                 4.681035                 4.668419                 4.669693
                 4.044118                 4.655505                 4.642907                 4.644570
                 4.054128                 4.629997                 4.617380                 4.619434
                 4.064139                 4.604619                 4.591941                 4.594375
                 4.074149                 4.579418                 4.566635                 4.569430
                 4.084159                 4.554391                 4.541459                 4.544590
                 4.094169                 4.529494                 4.516373                 4.519815
                 4.104179                 4.504659                 4.491307                 4.495040
                 4.114190                 4.479798                 4.466180                 4.470190
                 4.124200                 4.454819                 4.440902                 4.445187
                 4.134210                 4.429628                 4.415383                 4.419952
                 4.144220                 4.404128                 4.389536                 4.394407
                 4.154230                 4.378225                 4.363270                 4.368469
                 4.164241                 4.351812                 4.336486                 4.342047
                 4.174251                 4.324772                 4.309074                 4.315031
                 4.184261                 4.296963                 4.280900                 4.287290
                 4.194271                 4.268219                 4.251804                 4.258659
                 4.204281                 4.238343                 4.221594                 4.228948
                 4.214292                 4.207111                 4.190054                 4.197935
                 4.224302                 4.174278                 4.156943                 4.165379
                 4.234312                 4.139592                 4.122015                 4.131030
                 4.244322                 4.102809                 4.085031                 4.094650
                 4.254332                 4.063718                 4.045783                 4.056031
                 4.264343                 4.022158                 4.004116                 4.015016
                 4.274353                 3.978044                 3.959948                 3.971521
                 4.284363                 3.931383                 3.913288                 3.925556
                 4.294373                 3.882288                 3.864249                 3.877229
                 4.304383                 3.830979                 3.813051                 3.826753
                 4.314394                 3.777779                 3.760012                 3.774441
                 4.324404                 3.723095                 3.705539                 3.720689
                 4.334414                 3.667404                 3.650102                 3.665952
                 4.344424                 3.611213                 3.594205                 3.610722
                 4.354434                 3.555036                 3.538360                 3.555490
                 4.364444                 3.499363                 3.483051                 3.500724
                 4.374455                 3.444628                 3.428715                 3.446838
                 4.384465                 3.391196                 3.375717                 3.394181
                 4.394475                 3.339351                 3.324342                 3.343021
                 4.404485                 3.289287                 3.274787                 3.293542
                 4.414495                 3.241121                 3.227170                 3.245858
                 4.424506                 3.194900                 3.181538                 3.200015
                 4.434516                 3.150615                 3.137884                 3.156011
                 4.444526                 3.108224                 3.096162                 3.113813
                 4.454536                 3.067667                 3.056307                 3.073371
                 4.464546                 3.028884                 3.018252                 3.034638
                 4.474557                 2.991823                 2.981938                 2.997572
                 4.484567                 2.956457                 2.947327                 2.962153
                 4.494577                 2.922776                 2.914399                 2.928376
                 4.504587                 2.890793                 2.883157                 2.896255
                 4.514597                 2.860534                 2.853619                 2.865820
                 4.524608                 2.832028                 2.825806                 2.837100
                 4.534618                 2.805299                 2.799735                 2.810122
                 4.544628                 2.780347                 2.775405                 2.784895
                 4.554638                 2.757143                 2.752788                 2.761398
                 4.564648                 2.735619                 2.731816                 2.739575
                 4.574659                 2.715660                 2.712379                 2.719325
                 4.584669                 2.697104                 2.694322                 2.700496
                 4.594679                 2.679744                 2.677444                 2.682890
                 4.604689                 2.663332                 2.661504                 2.666261
                 4.614699                 2.647588                 2.646232                 2.650327
                 4.624710                 2.632207                 2.631328                 2.634771
                 4.634720                 2.616871                 2.616481                 2.619259
                 4.644730                 2.601255                 2.601371                 2.603448
                 4.654740                 2.585037                 2.585679                 2.586997
                 4.664750                 2.567908                 2.569095                 2.569578
                 4.674760                 2.549575                 2.551324                 2.550887
                 4.684771                 2.529767                 2.532088                 2.530651
                 4.694781                 2.508247                 2.511140                 2.508637
                 4.704791                 2.484810                 2.488264                 2.484656
                 4.714801                 2.459294                 2.463284                 2.458571
                 4.724811                 2.431587                 2.436071                 2.430298
                 4.734822                 2.401626                 2.406549                 2.399812
                 4.744832                 2.369410                 2.374703                 2.367145
                 4.754842                 2.335000                 2.340584                 2.332388
                 4.764852                 2.298522                 2.304307                 2.295693
                 4.774862                 2.260167                 2.266063                 2.257268
                 4.784873                 2.220194                 2.226108                 2.217376
                 4.794883                 2.178925                 2.184767                 2.176334
                 4.804893                 2.136740                 2.142428                 2.134511
                 4.814903                 2.094075                 2.099532                 2.092317
                 4.824913                 2.051407                 2.056569                 2.050205
                 4.834924                 2.009250                 2.014060                 2.008654
                 4.844934                 1.968132                 1.972547                 1.968163
                 4.854944                 1.928585                 1.932570                 1.929234
                 4.864954                 1.891121                 1.894655                 1.892353
                 4.874964                 1.856218                 1.859288                 1.857977
                 4.884975                 1.824296                 1.826902                 1.826515
                 4.894985                 1.795709                 1.797858                 1.798311
                 4.904995                 1.770728                 1.772438                 1.773636
                 4.915005                 1.749536                 1.750834                 1.752676
                 4.925015                 1.732231                 1.733153                 1.735538
                 4.935026                 1.718829                 1.719416                 1.722247
                 4.945036                 1.709269                 1.709570                 1.712752
                 4.955046                 1.703431                 1.703497                 1.706942
                 4.965056                 1.701142                 1.701027                 1.704651
                 4.975066                 1.702189                 1.701948                 1.705670
                 4.985076                 1.706334                 1.706019                 1.709762
                 4.995087                 1.713315                 1.712975                 1.716663
                 5.005097                 1.722860                 1.722539                 1.726097
                 5.015107                 1.734688                 1.734422                 1.737779
                 5.025117                 1.748515                 1.748332                 1.751421
                 5.035127                 1.764057                 1.763976                 1.766736
                 5.045138                 1.781036                 1.781067                 1.783444
                 5.055148                 1.799182                 1.799325                 1.801278
                 5.065158                 1.818236                 1.818483                 1.819982
                 5.075168                 1.837956                 1.838292                 1.839320
                 5.085178                 1.858117                 1.858519                 1.859075
                 5.095189                 1.878514                 1.878957                 1.879053
                 5.105199                 1.898963                 1.899417                 1.899081
                 5.115209                 1.919301                 1.919737                 1.919005
                 5.125219                 1.939383                 1.939772                 1.938690
                 5.135229                 1.959080                 1.959398                 1.958016
                 5.145240                 1.978275                 1.978501                 1.976871
                 5.155250                 1.996859                 1.996979                 1.995153
                 5.165260                 2.014728                 2.014732                 2.012757
                 5.175270                 2.031772                 2.031661                 2.029576
                 5.185280                 2.047878                 2.047657                 2.045496
                 5.195291                 2.062922                 2.062603                 2.060389
                 5.205301                 2.076767                 2.076366                 2.074117
                 5.215311                 2.089262                 2.088798                 2.086524
                 5.225321                 2.100243                 2.099736                 2.097446
                 5.235331                 2.109534                 2.109003                 2.106703
                 5.245342                 2.116953                 2.116415                 2.114113
                 5.255352                 2.122319                 2.121786                 2.119497
                 5.265362                 2.125460                 2.124939                 2.122684
                 5.275372                 2.126226                 2.125720                 2.123526
                 5.285382                 2.124497                 2.124002                 2.121905
                 5.295393                 2.120197                 2.119704                 2.117747
                 5.305403                 2.113299                 2.112797                 2.111023
                 5.315413                 2.103833                 2.103306                 2.101759
                 5.325423                 2.091886                 2.091317                 2.090033
                 5.335433                 2.077597                 2.076968                 2.075972
                 5.345443                 2.061153                 2.060446                 2.059748
                 5.355454                 2.042770                 2.041971                 2.041560
                 5.365464                 2.022685                 2.021781                 2.021630
                 5.375474                 2.001139                 2.000122                 2.000180
                 5.385484                 1.978362                 1.977228                 1.977432
                 5.395494                 1.954566                 1.953317                 1.953589
                 5.405505                 1.929937                 1.928578                 1.928836
                 5.415515                 1.904633                 1.903176                 1.903335
                 5.425525                 1.878785                 1.877247                 1.877227
                 5.435535                 1.852505                 1.850907                 1.850638
                 5.445545                 1.825888                 1.824256                 1.823679
                 5.455556                 1.799017                 1.797380                 1.796453
                 5.465566                 1.771974                 1.770363                 1.769060
                 5.475576                 1.744835                 1.743282                 1.741594
                 5.485586                 1.717675                 1.716211                 1.714147
                 5.495596                 1.690572                 1.689224                 1.686807
                 5.505607                 1.663598                 1.662392                 1.659661
                 5.515617                 1.636829                 1.635782                 1.632789
                 5.525627                 1.610338                 1.609463                 1.606272
                 5.535637                 1.584204                 1.583507                 1.580190
                 5.545647                 1.558511                 1.557994                 1.554629
                 5.555658                 1.533358                 1.533017                 1.529685
