#        Energy grid [eV]               Im(eps)_x                Im(eps)_y                Im(eps)_z
#
                 0.580591                 0.038495                 0.038482                 0.038509
                 0.590601                 0.039219                 0.039206                 0.039234
                 0.600612                 0.039947                 0.039933                 0.039961
                 0.610622                 0.040678                 0.040664                 0.040692
                 0.620632                 0.041412                 0.041398                 0.041427
                 0.630642                 0.042149                 0.042135                 0.042165
                 0.640652                 0.042890                 0.042876                 0.042906
                 0.650663                 0.043635                 0.043620                 0.043651
                 0.660673                 0.044384                 0.044369                 0.044400
                 0.670683                 0.045136                 0.045121                 0.045153
                 0.680693                 0.045892                 0.045877                 0.045909
                 0.690703                 0.046652                 0.046637                 0.046670
                 0.700714                 0.047416                 0.047400                 0.047434
                 0.710724                 0.048185                 0.048168                 0.048203
                 0.720734                 0.048957                 0.048941                 0.048976
                 0.730744                 0.049734                 0.049717                 0.049753
                 0.740754                 0.050515                 0.050498                 0.050534
                 0.750765                 0.051300                 0.051283                 0.051320
                 0.760775                 0.052090                 0.052073                 0.052110
                 0.770785                 0.052884                 0.052867                 0.052905
                 0.780795                 0.053684                 0.053666                 0.053705
                 0.790805                 0.054488                 0.054470                 0.054509
                 0.800816                 0.055296                 0.055279                 0.055318
                 0.810826                 0.056110                 0.056092                 0.056132
                 0.820836                 0.056929                 0.056911                 0.056952
                 0.830846                 0.057753                 0.057735                 0.057776
                 0.840856                 0.058583                 0.058564                 0.058606
                 0.850866                 0.059417                 0.059398                 0.059441
                 0.860877                 0.060257                 0.060238                 0.060282
                 0.870887                 0.061103                 0.061084                 0.061128
                 0.880897                 0.061954                 0.061935                 0.061980
                 0.890907                 0.062811                 0.062792                 0.062837
                 0.900917                 0.063674                 0.063654                 0.063701
                 0.910928                 0.064543                 0.064523                 0.064570
                 0.920938                 0.065418                 0.065398                 0.065446
                 0.930948                 0.066300                 0.066279                 0.066327
                 0.940958                 0.067187                 0.067166                 0.067215
                 0.950968                 0.068081                 0.068060                 0.068110
                 0.960979                 0.068982                 0.068961                 0.069011
                 0.970989                 0.069889                 0.069868                 0.069919
                 0.980999                 0.070803                 0.070781                 0.070833
                 0.991009                 0.071724                 0.071702                 0.071755
                 1.001019                 0.072652                 0.072630                 0.072683
                 1.011030                 0.073587                 0.073565                 0.073619
                 1.021040                 0.074529                 0.074507                 0.074562
                 1.031050                 0.075479                 0.075457                 0.075512
                 1.041060                 0.076437                 0.076414                 0.076471
                 1.051070                 0.077402                 0.077379                 0.077436
                 1.061081                 0.078375                 0.078352                 0.078410
                 1.071091                 0.079356                 0.079333                 0.079392
                 1.081101                 0.080345                 0.080322                 0.080382
                 1.091111                 0.081343                 0.081319                 0.081380
                 1.101121                 0.082348                 0.082325                 0.082386
                 1.111132                 0.083363                 0.083339                 0.083402
                 1.121142                 0.084386                 0.084363                 0.084426
                 1.131152                 0.085419                 0.085395                 0.085459
                 1.141162                 0.086460                 0.086436                 0.086501
                 1.151172                 0.087510                 0.087486                 0.087552
                 1.161182                 0.088570                 0.088546                 0.088613
                 1.171193                 0.089640                 0.089616                 0.089683
                 1.181203                 0.090720                 0.090695                 0.090763
                 1.191213                 0.091809                 0.091784                 0.091854
                 1.201223                 0.092908                 0.092884                 0.092954
                 1.211233                 0.094018                 0.093993                 0.094065
                 1.221244                 0.095139                 0.095114                 0.095186
                 1.231254                 0.096270                 0.096245                 0.096318
                 1.241264                 0.097412                 0.097387                 0.097461
                 1.251274                 0.098565                 0.098540                 0.098615
                 1.261284                 0.099730                 0.099704                 0.099781
                 1.271295                 0.100906                 0.100881                 0.100958
                 1.281305                 0.102094                 0.102068                 0.102147
                 1.291315                 0.103294                 0.103268                 0.103348
                 1.301325                 0.104507                 0.104481                 0.104561
                 1.311335                 0.105731                 0.105705                 0.105787
                 1.321346                 0.106969                 0.106943                 0.107026
                 1.331356                 0.108219                 0.108193                 0.108277
                 1.341366                 0.109483                 0.109457                 0.109542
                 1.351376                 0.110760                 0.110734                 0.110821
                 1.361386                 0.112051                 0.112025                 0.112113
                 1.371397                 0.113356                 0.113330                 0.113419
                 1.381407                 0.114676                 0.114649                 0.114740
                 1.391417                 0.116009                 0.115983                 0.116075
                 1.401427                 0.117358                 0.117332                 0.117425
                 1.411437                 0.118722                 0.118696                 0.118790
                 1.421448                 0.120102                 0.120075                 0.120171
                 1.431458                 0.121497                 0.121470                 0.121567
                 1.441468                 0.122908                 0.122881                 0.122980
                 1.451478                 0.124336                 0.124309                 0.124409
                 1.461488                 0.125780                 0.125754                 0.125855
                 1.471498                 0.127242                 0.127215                 0.127318
                 1.481509                 0.128721                 0.128694                 0.128799
                 1.491519                 0.130218                 0.130191                 0.130298
                 1.501529                 0.131733                 0.131707                 0.131814
                 1.511539                 0.133267                 0.133240                 0.133350
                 1.521549                 0.134820                 0.134793                 0.134904
                 1.531560                 0.136392                 0.136365                 0.136478
                 1.541570                 0.137983                 0.137957                 0.138071
                 1.551580                 0.139595                 0.139569                 0.139685
                 1.561590                 0.141228                 0.141202                 0.141320
                 1.571600                 0.142882                 0.142856                 0.142975
                 1.581611                 0.144557                 0.144531                 0.144653
                 1.591621                 0.146254                 0.146228                 0.146352
                 1.601631                 0.147974                 0.147948                 0.148074
                 1.611641                 0.149717                 0.149691                 0.149819
                 1.621651                 0.151483                 0.151458                 0.151587
                 1.631662                 0.153273                 0.153248                 0.153380
                 1.641672                 0.155088                 0.155063                 0.155197
                 1.651682                 0.156928                 0.156903                 0.157039
                 1.661692                 0.158793                 0.158769                 0.158907
                 1.671702                 0.160685                 0.160661                 0.160801
                 1.681713                 0.162603                 0.162579                 0.162722
                 1.691723                 0.164549                 0.164526                 0.164671
                 1.701733                 0.166524                 0.166500                 0.166648
                 1.711743                 0.168527                 0.168503                 0.168654
                 1.721753                 0.170559                 0.170536                 0.170689
                 1.731764                 0.172622                 0.172599                 0.172755
                 1.741774                 0.174715                 0.174693                 0.174851
                 1.751784                 0.176840                 0.176818                 0.176979
                 1.761794                 0.178997                 0.178976                 0.179140
                 1.771804                 0.181188                 0.181167                 0.181334
                 1.781814                 0.183412                 0.183392                 0.183561
                 1.791825                 0.185671                 0.185651                 0.185824
                 1.801835                 0.187966                 0.187947                 0.188123
                 1.811845                 0.190298                 0.190279                 0.190458
                 1.821855                 0.192666                 0.192648                 0.192831
                 1.831865                 0.195074                 0.195056                 0.195242
                 1.841876                 0.197521                 0.197503                 0.197693
                 1.851886                 0.200008                 0.199991                 0.200185
                 1.861896                 0.202536                 0.202520                 0.202718
                 1.871906                 0.205107                 0.205092                 0.205293
                 1.881916                 0.207722                 0.207707                 0.207913
                 1.891927                 0.210382                 0.210368                 0.210577
                 1.901937                 0.213087                 0.213074                 0.213288
                 1.911947                 0.215840                 0.215828                 0.216046
                 1.921957                 0.218642                 0.218630                 0.218853
                 1.931967                 0.221493                 0.221483                 0.221710
                 1.941978                 0.224396                 0.224386                 0.224619
                 1.951988                 0.227351                 0.227342                 0.227580
                 1.961998                 0.230361                 0.230353                 0.230596
                 1.972008                 0.233426                 0.233419                 0.233667
                 1.982018                 0.236549                 0.236543                 0.236797
                 1.992029                 0.239730                 0.239725                 0.239985
                 2.002039                 0.242972                 0.242969                 0.243234
                 2.012049                 0.246277                 0.246275                 0.246547
                 2.022059                 0.249646                 0.249645                 0.249923
                 2.032069                 0.253081                 0.253081                 0.253366
                 2.042080                 0.256584                 0.256586                 0.256878
                 2.052090                 0.260158                 0.260161                 0.260461
                 2.062100                 0.263804                 0.263809                 0.264116
                 2.072110                 0.267525                 0.267532                 0.267846
                 2.082120                 0.271324                 0.271332                 0.271654
                 2.092130                 0.275201                 0.275211                 0.275542
                 2.102141                 0.279161                 0.279172                 0.279512
                 2.112151                 0.283205                 0.283218                 0.283567
                 2.122161                 0.287337                 0.287352                 0.287710
                 2.132171                 0.291559                 0.291577                 0.291945
                 2.142181                 0.295875                 0.295894                 0.296273
                 2.152192                 0.300287                 0.300309                 0.300698
                 2.162202                 0.304799                 0.304823                 0.305223
                 2.172212                 0.309414                 0.309440                 0.309852
                 2.182222                 0.314136                 0.314165                 0.314589
                 2.192232                 0.318969                 0.319000                 0.319437
                 2.202243                 0.323916                 0.323950                 0.324400
                 2.212253                 0.328982                 0.329018                 0.329483
                 2.222263                 0.334170                 0.334210                 0.334689
                 2.232273                 0.339486                 0.339529                 0.340024
                 2.242283                 0.344935                 0.344981                 0.345492
                 2.252294                 0.350520                 0.350570                 0.351098
                 2.262304                 0.356248                 0.356301                 0.356847
                 2.272314                 0.362124                 0.362181                 0.362745
                 2.282324                 0.368154                 0.368214                 0.368798
                 2.292334                 0.374343                 0.374407                 0.375012
                 2.302345                 0.380698                 0.380766                 0.381394
                 2.312355                 0.387227                 0.387299                 0.387949
                 2.322365                 0.393935                 0.394011                 0.394686
                 2.332375                 0.400830                 0.400912                 0.401612
                 2.342385                 0.407921                 0.408007                 0.408735
                 2.352396                 0.415215                 0.415306                 0.416063
                 2.362406                 0.422722                 0.422818                 0.423605
                 2.372416                 0.430450                 0.430552                 0.431371
                 2.382426                 0.438409                 0.438517                 0.439371
                 2.392436                 0.446611                 0.446724                 0.447614
                 2.402447                 0.455065                 0.455185                 0.456112
                 2.412457                 0.463783                 0.463909                 0.464878
                 2.422467                 0.472778                 0.472911                 0.473923
                 2.432477                 0.482062                 0.482203                 0.483261
                 2.442487                 0.491650                 0.491798                 0.492905
                 2.452497                 0.501557                 0.501712                 0.502871
                 2.462508                 0.511797                 0.511961                 0.513175
                 2.472518                 0.522387                 0.522560                 0.523833
                 2.482528                 0.533346                 0.533527                 0.534863
                 2.492538                 0.544691                 0.544882                 0.546285
                 2.502548                 0.556443                 0.556644                 0.558118
                 2.512559                 0.568622                 0.568834                 0.570384
                 2.522569                 0.581252                 0.581475                 0.583106
                 2.532579                 0.594356                 0.594590                 0.596308
                 2.542589                 0.607960                 0.608206                 0.610017
                 2.552599                 0.622091                 0.622349                 0.624258
                 2.562610                 0.636777                 0.637049                 0.639062
                 2.572620                 0.652049                 0.652336                 0.654460
                 2.582630                 0.667939                 0.668241                 0.670484
                 2.592640                 0.684482                 0.684801                 0.687169
                 2.602650                 0.701714                 0.702051                 0.704552
                 2.612661                 0.719674                 0.720029                 0.722670
                 2.622671                 0.738401                 0.738777                 0.741565
                 2.632681                 0.757940                 0.758338                 0.761280
                 2.642691                 0.778333                 0.778755                 0.781858
                 2.652701                 0.799628                 0.800077                 0.803347
                 2.662712                 0.821874                 0.822352                 0.825794
                 2.672722                 0.845122                 0.845631                 0.849248
                 2.682732                 0.869424                 0.869968                 0.873762
                 2.692742                 0.894833                 0.895416                 0.899386
                 2.702752                 0.921406                 0.922033                 0.926174
                 2.712763                 0.949199                 0.949874                 0.954178
                 2.722773                 0.978269                 0.978997                 0.983452
                 2.732783                 1.008672                 1.009460                 1.014048
                 2.742793                 1.040468                 1.041321                 1.046018
                 2.752803                 1.073710                 1.074637                 1.079412
                 2.762813                 1.108456                 1.109464                 1.114278
                 2.772824                 1.144759                 1.145855                 1.150663
                 2.782834                 1.182670                 1.183863                 1.188612
                 2.792844                 1.222237                 1.223536                 1.228168
                 2.802854                 1.263506                 1.264918                 1.269370
                 2.812864                 1.306518                 1.308052                 1.312257
                 2.822875                 1.351312                 1.352973                 1.356865
                 2.832885                 1.397919                 1.399713                 1.403230
                 2.842895                 1.446368                 1.448298                 1.451384
                 2.852905                 1.496682                 1.498749                 1.501357
                 2.862915                 1.548876                 1.551077                 1.553175
                 2.872926                 1.602959                 1.605288                 1.606859
                 2.882936                 1.658932                 1.661379                 1.662423
                 2.892946                 1.716785                 1.719336                 1.719871
                 2.902956                 1.776494                 1.779132                 1.779195
                 2.912966                 1.838023                 1.840728                 1.840370
                 2.922977                 1.901317                 1.904066                 1.903353
                 2.932987                 1.966300                 1.969069                 1.968077
                 2.942997                 2.032872                 2.035637                 2.034449
                 2.953007                 2.100909                 2.103644                 2.102350
                 2.963017                 2.170257                 2.172940                 2.171626
                 2.973028                 2.240733                 2.243343                 2.242095
                 2.983038                 2.312128                 2.314645                 2.313545
                 2.993048                 2.384206                 2.386613                 2.385736
                 3.003058                 2.456709                 2.458994                 2.458405
                 3.013068                 2.529363                 2.531519                 2.531276
                 3.023079                 2.601887                 2.603915                 2.604063
                 3.033089                 2.674002                 2.675909                 2.676483
                 3.043099                 2.745438                 2.747242                 2.748264
                 3.053109                 2.815950                 2.817679                 2.819155
                 3.063119                 2.885324                 2.887017                 2.888939
                 3.073129                 2.953389                 2.955096                 2.957434
                 3.083140                 3.020024                 3.021803                 3.024510
                 3.093150                 3.085161                 3.087078                 3.090083
                 3.103160                 3.148793                 3.150915                 3.154126
                 3.113170                 3.210965                 3.213358                 3.216664
                 3.123180                 3.271777                 3.274500                 3.277771
                 3.133191                 3.331366                 3.334468                 3.337564
                 3.143201                 3.389905                 3.393417                 3.396193
                 3.153211                 3.447581                 3.451516                 3.453828
                 3.163221                 3.504583                 3.508932                 3.510650
                 3.173231                 3.561096                 3.565826                 3.566836
                 3.183242                 3.617280                 3.622337                 3.622551
                 3.193252                 3.673272                 3.678584                 3.677943
                 3.203262                 3.729181                 3.734660                 3.733138
                 3.213272                 3.785090                 3.790639                 3.788242
                 3.223282                 3.841060                 3.846583                 3.843349
                 3.233293                 3.897141                 3.902544                 3.898538
                 3.243303                 3.953374                 3.958577                 3.953887
                 3.253313                 4.009802                 4.014738                 4.009472
                 3.263323                 4.066470                 4.071095                 4.065373
                 3.273333                 4.123430                 4.127721                 4.121670
                 3.283344                 4.180738                 4.184691                 4.178441
                 3.293354                 4.238450                 4.242077                 4.235756
                 3.303364                 4.296619                 4.299945                 4.293675
                 3.313374                 4.355290                 4.358345                 4.352240
                 3.323384                 4.414498                 4.417310                 4.411477
                 3.333395                 4.474264                 4.476855                 4.471393
                 3.343405                 4.534603                 4.536980                 4.531980
                 3.353415                 4.595521                 4.597678                 4.593224
                 3.363425                 4.657025                 4.658937                 4.655107
                 3.373435                 4.719127                 4.720751                 4.717617
                 3.383445                 4.781849                 4.783129                 4.780751
                 3.393456                 4.845226                 4.846095                 4.844521
                 3.403466                 4.909304                 4.909688                 4.908952
                 3.413476                 4.974135                 4.973959                 4.974072
                 3.423486                 5.039765                 5.038958                 5.039910
                 3.433496                 5.106215                 5.104718                 5.106472
                 3.443507                 5.173467                 5.171233                 5.173727
                 3.453517                 5.241436                 5.238437                 5.241585
                 3.463527                 5.309949                 5.306179                 5.309876
                 3.473537                 5.378728                 5.374204                 5.378331
                 3.483547                 5.447375                 5.442137                 5.446567
                 3.493558                 5.515367                 5.509478                 5.514084
                 3.503568                 5.582063                 5.575606                 5.580266
                 3.513578                 5.646723                 5.639798                 5.644400
                 3.523588                 5.708539                 5.701258                 5.705702
                 3.533598                 5.766675                 5.759158                 5.763360
                 3.543609                 5.820315                 5.812686                 5.816574
                 3.553619                 5.868716                 5.861095                 5.864611
                 3.563629                 5.911256                 5.903754                 5.906849
                 3.573639                 5.947469                 5.940188                 5.942821
                 3.583649                 5.977078                 5.970106                 5.972240
                 3.593660                 5.999999                 5.993409                 5.995011
                 3.603670                 6.016340                 6.010193                 6.011232
                 3.613680                 6.026380                 6.020724                 6.021174
                 3.623690                 6.030538                 6.025411                 6.025252
                 3.633700                 6.029338                 6.024769                 6.023992
                 3.643711                 6.023366                 6.019383                 6.017988
                 3.653721                 6.013237                 6.009862                 6.007868
                 3.663731                 5.999561                 5.996816                 5.994260
                 3.673741                 5.982914                 5.980820                 5.977760
                 3.683751                 5.963823                 5.962400                 5.958915
                 3.693761                 5.942749                 5.942014                 5.938205
                 3.703772                 5.920083                 5.920048                 5.916037
                 3.713782                 5.896144                 5.896815                 5.892736
                 3.723792                 5.871181                 5.872556                 5.868559
                 3.733802                 5.845392                 5.847456                 5.843696
                 3.743812                 5.818926                 5.821656                 5.818286
                 3.753823                 5.791913                 5.795270                 5.792439
                 3.763833                 5.764473                 5.768407                 5.766250
                 3.773843                 5.736743                 5.741193                 5.739821
                 3.783853                 5.708889                 5.713783                 5.713284
                 3.793863                 5.681120                 5.686380                 5.686808
                 3.803874                 5.653694                 5.659235                 5.660611
                 3.813884                 5.626920                 5.632652                 5.634960
                 3.823894                 5.601146                 5.606981                 5.610170
                 3.833904                 5.576751                 5.582598                 5.586586
                 3.843914                 5.554122                 5.559895                 5.564571
                 3.853925                 5.533636                 5.539249                 5.544483
                 3.863935                 5.515633                 5.521007                 5.526651
                 3.873945                 5.500394                 5.505456                 5.511354
                 3.883955                 5.488123                 5.492808                 5.498800
                 3.893965                 5.478926                 5.483180                 5.489110
                 3.903976                 5.472807                 5.476585                 5.482305
                 3.913986                 5.469658                 5.472929                 5.478305
                 3.923996                 5.469265                 5.472014                 5.476928
                 3.934006                 5.471323                 5.473547                 5.477903
                 3.944016                 5.475450                 5.477162                 5.480885
                 3.954027                 5.481217                 5.482443                 5.485482
                 3.964037                 5.488173                 5.488950                 5.491279
                 3.974047                 5.495878                 5.496254                 5.497866
                 3.984057                 5.503929                 5.503958                 5.504871
                 3.994067                 5.511989                 5.511728                 5.511977
                 4.004078                 5.519802                 5.519309                 5.518945
                 4.014088                 5.527204                 5.526534                 5.525620
                 4.024098                 5.534121                 5.533325                 5.531931
                 4.034108                 5.540564                 5.539685                 5.537885
                 4.044118                 5.546611                 5.545683                 5.543550
                 4.054128                 5.552389                 5.551438                 5.549038
                 4.064139                 5.558053                 5.557096                 5.554484
                 4.074149                 5.563765                 5.562809                 5.560030
                 4.084159                 5.569680                 5.568722                 5.565805
                 4.094169                 5.575932                 5.574962                 5.571924
                 4.104179                 5.582629                 5.581631                 5.578474
                 4.114190                 5.589856                 5.588805                 5.585522
                 4.124200                 5.597674                 5.596538                 5.593118
                 4.134210                 5.606129                 5.604871                 5.601300
                 4.144220                 5.615257                 5.613835                 5.610102
                 4.154230                 5.625090                 5.623459                 5.619556
                 4.164241                 5.635660                 5.633771                 5.629699
                 4.174251                 5.646998                 5.644803                 5.640569
                 4.184261                 5.659132                 5.656579                 5.652200
                 4.194271                 5.672074                 5.669115                 5.664614
                 4.204281                 5.685816                 5.682404                 5.677806
                 4.214292                 5.700311                 5.696400                 5.691737
                 4.224302                 5.715462                 5.711010                 5.706317
                 4.234312                 5.731113                 5.726080                 5.721392
                 4.244322                 5.747034                 5.741384                 5.736741
                 4.254332                 5.762926                 5.756629                 5.752072
                 4.264343                 5.778421                 5.771449                 5.767026
                 4.274353                 5.793094                 5.785429                 5.781192
                 4.284363                 5.806485                 5.798115                 5.794122
                 4.294373                 5.818125                 5.809043                 5.805361
                 4.304383                 5.827560                 5.817768                 5.814471
                 4.314394                 5.834387                 5.823893                 5.821064
                 4.324404                 5.838277                 5.827094                 5.824822
                 4.334414                 5.838998                 5.827142                 5.825523
                 4.344424                 5.836428                 5.823917                 5.823051
                 4.354434                 5.830560                 5.817412                 5.817401
                 4.364444                 5.821493                 5.807726                 5.808668
                 4.374455                 5.809421                 5.795053                 5.797038
                 4.384465                 5.794610                 5.779657                 5.782763
                 4.394475                 5.777372                 5.761853                 5.766139
                 4.404485                 5.758041                 5.741977                 5.747481
                 4.414495                 5.736949                 5.720363                 5.727101
                 4.424506                 5.714404                 5.697328                 5.705286
                 4.434516                 5.690679                 5.673150                 5.682292
                 4.444526                 5.666003                 5.648063                 5.658332
                 4.454536                 5.640558                 5.622260                 5.633578
                 4.464546                 5.614486                 5.595887                 5.608168
                 4.474557                 5.587900                 5.569060                 5.582211
                 4.484567                 5.560889                 5.541873                 5.555798
                 4.494577                 5.533540                 5.514412                 5.529015
                 4.504587                 5.505945                 5.486766                 5.501955
                 4.514597                 5.478214                 5.459041                 5.474727
                 4.524608                 5.450483                 5.431363                 5.447460
                 4.534618                 5.422913                 5.403888                 5.420313
                 4.544628                 5.395697                 5.376798                 5.393470
                 4.554638                 5.369047                 5.350296                 5.367141
                 4.564648                 5.343189                 5.324600                 5.341551
                 4.574659                 5.318353                 5.299931                 5.316931
                 4.584669                 5.294757                 5.276504                 5.293511
                 4.594679                 5.272600                 5.254511                 5.271499
                 4.604689                 5.252046                 5.234117                 5.251077
                 4.614699                 5.233220                 5.215447                 5.232386
                 4.624710                 5.216200                 5.198582                 5.215515
                 4.634720                 5.201013                 5.183554                 5.200502
                 4.644730                 5.187635                 5.170347                 5.187324
                 4.654740                 5.175990                 5.158894                 5.175899
                 4.664750                 5.165952                 5.149079                 5.166089
                 4.674760                 5.157349                 5.140741                 5.157698
                 4.684771                 5.149963                 5.133671                 5.150484
                 4.694781                 5.143534                 5.127617                 5.144159
                 4.704791                 5.137763                 5.122287                 5.138400
                 4.714801                 5.132317                 5.117351                 5.132852
                 4.724811                 5.126832                 5.112442                 5.127139
                 4.734822                 5.120920                 5.107170                 5.120874
                 4.744832                 5.114179                 5.101121                 5.113660
                 4.754842                 5.106197                 5.093874                 5.105107
                 4.764852                 5.096568                 5.085005                 5.094833
                 4.774862                 5.084895                 5.074104                 5.082477
                 4.784873                 5.070806                 5.060782                 5.067703
                 4.794883                 5.053964                 5.044687                 5.050211
                 4.804893                 5.034078                 5.025515                 5.029744
                 4.814903                 5.010917                 5.003021                 5.006098
                 4.824913                 4.984315                 4.977032                 4.979127
                 4.834924                 4.954189                 4.947455                 4.948759
                 4.844934                 4.920538                 4.914288                 4.914998
                 4.854944                 4.883457                 4.877618                 4.877932
                 4.864954                 4.843129                 4.837629                 4.837732
                 4.874964                 4.799828                 4.794594                 4.794655
                 4.884975                 4.753904                 4.748864                 4.749031
                 4.894985                 4.705773                 4.700858                 4.701254
                 4.904995                 4.655899                 4.651043                 4.651769
                 4.915005                 4.604774                 4.599915                 4.601050
                 4.925015                 4.552898                 4.547983                 4.549582
                 4.935026                 4.500763                 4.495744                 4.497849
                 4.945036                 4.448837                 4.443677                 4.446313
                 4.955046                 4.397553                 4.392223                 4.395406
                 4.965056                 4.347303                 4.341784                 4.345521
                 4.975066                 4.298431                 4.292717                 4.297006
                 4.985076                 4.251239                 4.245331                 4.250166
                 4.995087                 4.205981                 4.199892                 4.205258
                 5.005097                 4.162870                 4.156621                 4.162497
                 5.015107                 4.122080                 4.115698                 4.122052
                 5.025117                 4.083745                 4.077264                 4.084056
                 5.035127                 4.047964                 4.041420                 4.048600
                 5.045138                 4.014803                 4.008235                 4.015743
                 5.055148                 3.984295                 3.977740                 3.985508
                 5.065158                 3.956445                 3.949938                 3.957892
                 5.075168                 3.931232                 3.924803                 3.932867
                 5.085178                 3.908615                 3.902289                 3.910385
                 5.095189                 3.888535                 3.882329                 3.890383
                 5.105199                 3.870922                 3.864845                 3.872789
                 5.115209                 3.855699                 3.849754                 3.857529
                 5.125219                 3.842788                 3.836967                 3.844527
                 5.135229                 3.832111                 3.826403                 3.833712
                 5.145240                 3.823597                 3.817985                 3.825020
                 5.155250                 3.817183                 3.811643                 3.818393
                 5.165260                 3.812813                 3.807319                 3.813785
                 5.175270                 3.810437                 3.804964                 3.811153
                 5.185280                 3.810010                 3.804535                 3.810460
                 5.195291                 3.811490                 3.805990                 3.811667
                 5.205301                 3.814828                 3.809289                 3.814732
                 5.215311                 3.819969                 3.814380                 3.819600
                 5.225321                 3.826839                 3.821196                 3.826201
                 5.235331                 3.835343                 3.829648                 3.834439
                 5.245342                 3.845356                 3.839616                 3.844190
                 5.255352                 3.856718                 3.850945                 3.855294
                 5.265362                 3.869234                 3.863442                 3.867558
                 5.275372                 3.882668                 3.876873                 3.880749
                 5.285382                 3.896751                 3.890967                 3.894602
                 5.295393                 3.911184                 3.905424                 3.908827
                 5.305403                 3.925651                 3.919925                 3.923118
                 5.315413                 3.939832                 3.934145                 3.937161
                 5.325423                 3.953414                 3.947768                 3.950655
                 5.335433                 3.966109                 3.960499                 3.963319
                 5.345443                 3.977668                 3.972084                 3.974907
                 5.355454                 3.987884                 3.982312                 3.985212
                 5.365464                 3.996605                 3.991027                 3.994075
                 5.375474                 4.003729                 3.998124                 4.001384
                 5.385484                 4.009200                 4.003544                 4.007067
                 5.395494                 4.013002                 4.007268                 4.011087
                 5.405505                 4.015143                 4.009307                 4.013436
                 5.415515                 4.015652                 4.009688                 4.014117
                 5.425525                 4.014561                 4.008446                 4.013149
                 5.435535                 4.011904                 4.005617                 4.010547
                 5.445545                 4.007709                 4.001235                 4.006331
                 5.455556                 4.001998                 3.995325                 4.000517
                 5.465566                 3.994787                 3.987910                 3.993119
                 5.475576                 3.986089                 3.979007                 3.984152
                 5.485586                 3.975911                 3.968633                 3.973632
                 5.495596                 3.964262                 3.956800                 3.961577
                 5.505607                 3.951148                 3.943521                 3.948004
                 5.515617                 3.936574                 3.928803                 3.932930
                 5.525627                 3.920538                 3.912647                 3.916367
                 5.535637                 3.903039                 3.895051                 3.898325
                 5.545647                 3.884066                 3.876001                 3.878808
                 5.555658                 3.863608                 3.855485                 3.857816
