#       Energy(Ry)            Total                 X                  Y                   Z
      0.17600000E-01      0.39743793E-04      0.13228403E-04      0.13260101E-04      0.13255290E-04
      0.17800000E-01      0.40220249E-04      0.13386988E-04      0.13419065E-04      0.13414197E-04
      0.18000000E-01      0.40697287E-04      0.13545766E-04      0.13578224E-04      0.13573298E-04
      0.18200000E-01      0.41174907E-04      0.13704738E-04      0.13737576E-04      0.13732593E-04
      0.18400000E-01      0.41653110E-04      0.13863904E-04      0.13897124E-04      0.13892082E-04
      0.18600000E-01      0.42131896E-04      0.14023264E-04      0.14056865E-04      0.14051767E-04
      0.18800000E-01      0.42611267E-04      0.14182819E-04      0.14216802E-04      0.14211646E-04
      0.19000000E-01      0.43091223E-04      0.14342568E-04      0.14376934E-04      0.14371720E-04
      0.19200000E-01      0.43571765E-04      0.14502513E-04      0.14537262E-04      0.14531990E-04
      0.19400000E-01      0.44052894E-04      0.14662653E-04      0.14697786E-04      0.14692455E-04
      0.19600000E-01      0.44534610E-04      0.14822989E-04      0.14858505E-04      0.14853117E-04
      0.19800000E-01      0.45016915E-04      0.14983520E-04      0.15019421E-04      0.15013974E-04
      0.20000000E-01      0.45499810E-04      0.15144248E-04      0.15180533E-04      0.15175029E-04
      0.20200000E-01      0.45983295E-04      0.15305172E-04      0.15341843E-04      0.15336280E-04
      0.20400000E-01      0.46467370E-04      0.15466293E-04      0.15503349E-04      0.15497728E-04
      0.20600000E-01      0.46952037E-04      0.15627610E-04      0.15665053E-04      0.15659374E-04
      0.20800000E-01      0.47437297E-04      0.15789125E-04      0.15826955E-04      0.15821217E-04
      0.21000000E-01      0.47923151E-04      0.15950838E-04      0.15989055E-04      0.15983258E-04
      0.21200000E-01      0.48409599E-04      0.16112748E-04      0.16151353E-04      0.16145498E-04
      0.21400000E-01      0.48896641E-04      0.16274856E-04      0.16313849E-04      0.16307936E-04
      0.21600000E-01      0.49384280E-04      0.16437163E-04      0.16476545E-04      0.16470572E-04
      0.21800000E-01      0.49872516E-04      0.16599669E-04      0.16639439E-04      0.16633408E-04
      0.22000000E-01      0.50361349E-04      0.16762373E-04      0.16802533E-04      0.16796443E-04
      0.22200000E-01      0.50850781E-04      0.16925276E-04      0.16965827E-04      0.16959678E-04
      0.22400000E-01      0.51340812E-04      0.17088379E-04      0.17129320E-04      0.17123112E-04
      0.22600000E-01      0.51831443E-04      0.17251682E-04      0.17293014E-04      0.17286747E-04
      0.22800000E-01      0.52322675E-04      0.17415185E-04      0.17456908E-04      0.17450582E-04
      0.23000000E-01      0.52814509E-04      0.17578888E-04      0.17621003E-04      0.17614618E-04
      0.23200000E-01      0.53306945E-04      0.17742792E-04      0.17785299E-04      0.17778855E-04
      0.23400000E-01      0.53799985E-04      0.17906896E-04      0.17949796E-04      0.17943293E-04
      0.23600000E-01      0.54293629E-04      0.18071202E-04      0.18114495E-04      0.18107932E-04
      0.23800000E-01      0.54787879E-04      0.18235709E-04      0.18279396E-04      0.18272774E-04
      0.24000000E-01      0.55282734E-04      0.18400418E-04      0.18444499E-04      0.18437817E-04
      0.24200000E-01      0.55778197E-04      0.18565328E-04      0.18609805E-04      0.18603063E-04
      0.24400000E-01      0.56274267E-04      0.18730442E-04      0.18775313E-04      0.18768512E-04
      0.24600000E-01      0.56770946E-04      0.18895757E-04      0.18941025E-04      0.18934164E-04
      0.24800000E-01      0.57268234E-04      0.19061276E-04      0.19106939E-04      0.19100019E-04
      0.25000000E-01      0.57766132E-04      0.19226997E-04      0.19273058E-04      0.19266077E-04
      0.25200000E-01      0.58264642E-04      0.19392922E-04      0.19439380E-04      0.19432340E-04
      0.25400000E-01      0.58763764E-04      0.19559051E-04      0.19605906E-04      0.19598806E-04
      0.25600000E-01      0.59263498E-04      0.19725384E-04      0.19772637E-04      0.19765477E-04
      0.25800000E-01      0.59763847E-04      0.19891921E-04      0.19939573E-04      0.19932353E-04
      0.26000000E-01      0.60264810E-04      0.20058663E-04      0.20106714E-04      0.20099433E-04
      0.26200000E-01      0.60766388E-04      0.20225609E-04      0.20274060E-04      0.20266719E-04
      0.26400000E-01      0.61268583E-04      0.20392761E-04      0.20441612E-04      0.20434210E-04
      0.26600000E-01      0.61771395E-04      0.20560118E-04      0.20609369E-04      0.20601908E-04
      0.26800000E-01      0.62274825E-04      0.20727681E-04      0.20777333E-04      0.20769811E-04
      0.27000000E-01      0.62778873E-04      0.20895449E-04      0.20945503E-04      0.20937921E-04
      0.27200000E-01      0.63283542E-04      0.21063424E-04      0.21113880E-04      0.21106237E-04
      0.27400000E-01      0.63788832E-04      0.21231606E-04      0.21282465E-04      0.21274761E-04
      0.27600000E-01      0.64294742E-04      0.21399995E-04      0.21451256E-04      0.21443492E-04
      0.27800000E-01      0.64801276E-04      0.21568590E-04      0.21620255E-04      0.21612430E-04
      0.28000000E-01      0.65308433E-04      0.21737394E-04      0.21789463E-04      0.21781576E-04
      0.28200000E-01      0.65816213E-04      0.21906405E-04      0.21958878E-04      0.21950931E-04
      0.28400000E-01      0.66324619E-04      0.22075624E-04      0.22128502E-04      0.22120494E-04
      0.28600000E-01      0.66833651E-04      0.22245051E-04      0.22298335E-04      0.22290266E-04
      0.28800000E-01      0.67343310E-04      0.22414687E-04      0.22468377E-04      0.22460246E-04
      0.29000000E-01      0.67853597E-04      0.22584532E-04      0.22638628E-04      0.22630437E-04
      0.29200000E-01      0.68364512E-04      0.22754586E-04      0.22809089E-04      0.22800836E-04
      0.29400000E-01      0.68876056E-04      0.22924850E-04      0.22979760E-04      0.22971446E-04
      0.29600000E-01      0.69388231E-04      0.23095323E-04      0.23150642E-04      0.23142266E-04
      0.29800000E-01      0.69901037E-04      0.23266007E-04      0.23321734E-04      0.23313297E-04
      0.30000000E-01      0.70414476E-04      0.23436901E-04      0.23493037E-04      0.23484538E-04
      0.30200000E-01      0.70928547E-04      0.23608006E-04      0.23664551E-04      0.23655991E-04
      0.30400000E-01      0.71443253E-04      0.23779321E-04      0.23836277E-04      0.23827655E-04
      0.30600000E-01      0.71958593E-04      0.23950848E-04      0.24008214E-04      0.23999530E-04
      0.30800000E-01      0.72474569E-04      0.24122587E-04      0.24180364E-04      0.24171618E-04
      0.31000000E-01      0.72991182E-04      0.24294538E-04      0.24352726E-04      0.24343918E-04
      0.31200000E-01      0.73508432E-04      0.24466700E-04      0.24525301E-04      0.24516431E-04
      0.31400000E-01      0.74026321E-04      0.24639076E-04      0.24698088E-04      0.24689157E-04
      0.31600000E-01      0.74544849E-04      0.24811664E-04      0.24871089E-04      0.24862096E-04
      0.31800000E-01      0.75064017E-04      0.24984465E-04      0.25044304E-04      0.25035248E-04
      0.32000000E-01      0.75583827E-04      0.25157480E-04      0.25217733E-04      0.25208614E-04
      0.32200000E-01      0.76104278E-04      0.25330708E-04      0.25391375E-04      0.25382195E-04
      0.32400000E-01      0.76625373E-04      0.25504150E-04      0.25565233E-04      0.25555990E-04
      0.32600000E-01      0.77147111E-04      0.25677807E-04      0.25739305E-04      0.25729999E-04
      0.32800000E-01      0.77669495E-04      0.25851678E-04      0.25913592E-04      0.25904224E-04
      0.33000000E-01      0.78192524E-04      0.26025765E-04      0.26088095E-04      0.26078664E-04
      0.33200000E-01      0.78716199E-04      0.26200066E-04      0.26262813E-04      0.26253320E-04
      0.33400000E-01      0.79240523E-04      0.26374583E-04      0.26437748E-04      0.26428192E-04
      0.33600000E-01      0.79765494E-04      0.26549316E-04      0.26612899E-04      0.26603280E-04
      0.33800000E-01      0.80291116E-04      0.26724265E-04      0.26788266E-04      0.26778584E-04
      0.34000000E-01      0.80817387E-04      0.26899430E-04      0.26963851E-04      0.26954106E-04
      0.34200000E-01      0.81344310E-04      0.27074813E-04      0.27139653E-04      0.27129845E-04
      0.34400000E-01      0.81871885E-04      0.27250412E-04      0.27315672E-04      0.27305801E-04
      0.34600000E-01      0.82400113E-04      0.27426229E-04      0.27491909E-04      0.27481975E-04
      0.34800000E-01      0.82928995E-04      0.27602263E-04      0.27668365E-04      0.27658367E-04
      0.35000000E-01      0.83458532E-04      0.27778515E-04      0.27845039E-04      0.27834978E-04
      0.35200000E-01      0.83988725E-04      0.27954986E-04      0.28021932E-04      0.28011807E-04
      0.35400000E-01      0.84519575E-04      0.28131676E-04      0.28199044E-04      0.28188856E-04
      0.35600000E-01      0.85051083E-04      0.28308584E-04      0.28376375E-04      0.28366124E-04
      0.35800000E-01      0.85583249E-04      0.28485711E-04      0.28553927E-04      0.28543611E-04
      0.36000000E-01      0.86116075E-04      0.28663058E-04      0.28731698E-04      0.28721319E-04
      0.36200000E-01      0.86649562E-04      0.28840625E-04      0.28909690E-04      0.28899247E-04
      0.36400000E-01      0.87183710E-04      0.29018413E-04      0.29087902E-04      0.29077396E-04
      0.36600000E-01      0.87718521E-04      0.29196420E-04      0.29266336E-04      0.29255765E-04
      0.36800000E-01      0.88253995E-04      0.29374649E-04      0.29444990E-04      0.29434356E-04
      0.37000000E-01      0.88790134E-04      0.29553098E-04      0.29623867E-04      0.29613168E-04
      0.37200000E-01      0.89326937E-04      0.29731770E-04      0.29802965E-04      0.29792203E-04
      0.37400000E-01      0.89864407E-04      0.29910662E-04      0.29982286E-04      0.29971459E-04
      0.37600000E-01      0.90402545E-04      0.30089777E-04      0.30161829E-04      0.30150938E-04
      0.37800000E-01      0.90941350E-04      0.30269115E-04      0.30341596E-04      0.30330640E-04
      0.38000000E-01      0.91480825E-04      0.30448675E-04      0.30521585E-04      0.30510565E-04
      0.38200000E-01      0.92020970E-04      0.30628458E-04      0.30701798E-04      0.30690714E-04
      0.38400000E-01      0.92561785E-04      0.30808464E-04      0.30882235E-04      0.30871086E-04
      0.38600000E-01      0.93103273E-04      0.30988694E-04      0.31062896E-04      0.31051682E-04
      0.38800000E-01      0.93645434E-04      0.31169149E-04      0.31243782E-04      0.31232503E-04
      0.39000000E-01      0.94188269E-04      0.31349827E-04      0.31424893E-04      0.31413549E-04
      0.39200000E-01      0.94731778E-04      0.31530730E-04      0.31606228E-04      0.31594820E-04
      0.39400000E-01      0.95275964E-04      0.31711858E-04      0.31787789E-04      0.31776316E-04
      0.39600000E-01      0.95820826E-04      0.31893211E-04      0.31969576E-04      0.31958038E-04
      0.39800000E-01      0.96366366E-04      0.32074790E-04      0.32151590E-04      0.32139986E-04
      0.40000000E-01      0.96912585E-04      0.32256595E-04      0.32333829E-04      0.32322161E-04
      0.40200000E-01      0.97459484E-04      0.32438626E-04      0.32516296E-04      0.32504562E-04
      0.40400000E-01      0.98007063E-04      0.32620884E-04      0.32698989E-04      0.32687190E-04
      0.40600000E-01      0.98555324E-04      0.32803369E-04      0.32881910E-04      0.32870045E-04
      0.40800000E-01      0.99104268E-04      0.32986080E-04      0.33065059E-04      0.33053129E-04
      0.41000000E-01      0.99653895E-04      0.33169020E-04      0.33248436E-04      0.33236440E-04
      0.41200000E-01      0.10020421E-03      0.33352187E-04      0.33432041E-04      0.33419980E-04
      0.41400000E-01      0.10075521E-03      0.33535582E-04      0.33615875E-04      0.33603748E-04
      0.41600000E-01      0.10130689E-03      0.33719206E-04      0.33799938E-04      0.33787745E-04
      0.41800000E-01      0.10185926E-03      0.33903059E-04      0.33984230E-04      0.33971972E-04
      0.42000000E-01      0.10241232E-03      0.34087141E-04      0.34168753E-04      0.34156428E-04
      0.42200000E-01      0.10296607E-03      0.34271453E-04      0.34353505E-04      0.34341114E-04
      0.42400000E-01      0.10352051E-03      0.34455994E-04      0.34538488E-04      0.34526031E-04
      0.42600000E-01      0.10407564E-03      0.34640766E-04      0.34723701E-04      0.34711178E-04
      0.42800000E-01      0.10463147E-03      0.34825768E-04      0.34909145E-04      0.34896556E-04
      0.43000000E-01      0.10518799E-03      0.35011001E-04      0.35094821E-04      0.35082166E-04
      0.43200000E-01      0.10574520E-03      0.35196465E-04      0.35280729E-04      0.35268007E-04
      0.43400000E-01      0.10630311E-03      0.35382161E-04      0.35466868E-04      0.35454080E-04
      0.43600000E-01      0.10686171E-03      0.35568088E-04      0.35653240E-04      0.35640385E-04
      0.43800000E-01      0.10742102E-03      0.35754248E-04      0.35839845E-04      0.35826924E-04
      0.44000000E-01      0.10798102E-03      0.35940640E-04      0.36026683E-04      0.36013695E-04
      0.44200000E-01      0.10854172E-03      0.36127265E-04      0.36213754E-04      0.36200699E-04
      0.44400000E-01      0.10910312E-03      0.36314124E-04      0.36401059E-04      0.36387937E-04
      0.44600000E-01      0.10966522E-03      0.36501215E-04      0.36588598E-04      0.36575409E-04
      0.44800000E-01      0.11022803E-03      0.36688541E-04      0.36776372E-04      0.36763116E-04
      0.45000000E-01      0.11079154E-03      0.36876101E-04      0.36964380E-04      0.36951057E-04
      0.45200000E-01      0.11135575E-03      0.37063895E-04      0.37152623E-04      0.37139233E-04
      0.45400000E-01      0.11192067E-03      0.37251925E-04      0.37341102E-04      0.37327644E-04
      0.45600000E-01      0.11248630E-03      0.37440189E-04      0.37529816E-04      0.37516292E-04
      0.45800000E-01      0.11305263E-03      0.37628689E-04      0.37718767E-04      0.37705175E-04
      0.46000000E-01      0.11361967E-03      0.37817425E-04      0.37907954E-04      0.37894294E-04
      0.46200000E-01      0.11418743E-03      0.38006397E-04      0.38097378E-04      0.38083651E-04
      0.46400000E-01      0.11475589E-03      0.38195606E-04      0.38287039E-04      0.38273244E-04
      0.46600000E-01      0.11532506E-03      0.38385051E-04      0.38476937E-04      0.38463075E-04
      0.46800000E-01      0.11589495E-03      0.38574734E-04      0.38667074E-04      0.38653143E-04
      0.47000000E-01      0.11646555E-03      0.38764655E-04      0.38857448E-04      0.38843450E-04
      0.47200000E-01      0.11703687E-03      0.38954813E-04      0.39048061E-04      0.39033995E-04
      0.47400000E-01      0.11760890E-03      0.39145210E-04      0.39238913E-04      0.39224779E-04
      0.47600000E-01      0.11818165E-03      0.39335845E-04      0.39430004E-04      0.39415802E-04
      0.47800000E-01      0.11875512E-03      0.39526720E-04      0.39621335E-04      0.39607064E-04
      0.48000000E-01      0.11932930E-03      0.39717834E-04      0.39812905E-04      0.39798566E-04
      0.48200000E-01      0.11990421E-03      0.39909187E-04      0.40004716E-04      0.39990309E-04
      0.48400000E-01      0.12047984E-03      0.40100780E-04      0.40196767E-04      0.40182291E-04
      0.48600000E-01      0.12105619E-03      0.40292614E-04      0.40389059E-04      0.40374515E-04
      0.48800000E-01      0.12163326E-03      0.40484689E-04      0.40581593E-04      0.40566980E-04
      0.49000000E-01      0.12221106E-03      0.40677004E-04      0.40774368E-04      0.40759687E-04
      0.49200000E-01      0.12278958E-03      0.40869561E-04      0.40967385E-04      0.40952635E-04
      0.49400000E-01      0.12336883E-03      0.41062360E-04      0.41160645E-04      0.41145826E-04
      0.49600000E-01      0.12394881E-03      0.41255401E-04      0.41354147E-04      0.41339259E-04
      0.49800000E-01      0.12452951E-03      0.41448684E-04      0.41547893E-04      0.41532936E-04
      0.50000000E-01      0.12511095E-03      0.41642211E-04      0.41741881E-04      0.41726855E-04
      0.50200000E-01      0.12569311E-03      0.41835980E-04      0.41936114E-04      0.41921019E-04
      0.50400000E-01      0.12627601E-03      0.42029993E-04      0.42130590E-04      0.42115426E-04
      0.50600000E-01      0.12685964E-03      0.42224250E-04      0.42325311E-04      0.42310078E-04
      0.50800000E-01      0.12744400E-03      0.42418751E-04      0.42520277E-04      0.42504974E-04
      0.51000000E-01      0.12802910E-03      0.42613497E-04      0.42715488E-04      0.42700116E-04
      0.51200000E-01      0.12861494E-03      0.42808487E-04      0.42910945E-04      0.42895503E-04
      0.51400000E-01      0.12920151E-03      0.43003723E-04      0.43106647E-04      0.43091136E-04
      0.51600000E-01      0.12978882E-03      0.43199205E-04      0.43302596E-04      0.43287015E-04
      0.51800000E-01      0.13037686E-03      0.43394933E-04      0.43498792E-04      0.43483140E-04
      0.52000000E-01      0.13096565E-03      0.43590907E-04      0.43695234E-04      0.43679513E-04
      0.52200000E-01      0.13155518E-03      0.43787128E-04      0.43891924E-04      0.43876133E-04
      0.52400000E-01      0.13214546E-03      0.43983596E-04      0.44088861E-04      0.44073000E-04
      0.52600000E-01      0.13273647E-03      0.44180311E-04      0.44286046E-04      0.44270115E-04
      0.52800000E-01      0.13332823E-03      0.44377274E-04      0.44483480E-04      0.44467479E-04
      0.53000000E-01      0.13392074E-03      0.44574486E-04      0.44681163E-04      0.44665091E-04
      0.53200000E-01      0.13451399E-03      0.44771946E-04      0.44879095E-04      0.44862953E-04
      0.53400000E-01      0.13510799E-03      0.44969655E-04      0.45077276E-04      0.45061064E-04
      0.53600000E-01      0.13570274E-03      0.45167613E-04      0.45275707E-04      0.45259424E-04
      0.53800000E-01      0.13629824E-03      0.45365821E-04      0.45474389E-04      0.45458035E-04
      0.54000000E-01      0.13689450E-03      0.45564279E-04      0.45673321E-04      0.45656896E-04
      0.54200000E-01      0.13749150E-03      0.45762987E-04      0.45872504E-04      0.45856009E-04
      0.54400000E-01      0.13808926E-03      0.45961946E-04      0.46071938E-04      0.46055372E-04
      0.54600000E-01      0.13868777E-03      0.46161156E-04      0.46271624E-04      0.46254987E-04
      0.54800000E-01      0.13928703E-03      0.46360618E-04      0.46471562E-04      0.46454854E-04
      0.55000000E-01      0.13988706E-03      0.46560331E-04      0.46671753E-04      0.46654974E-04
      0.55200000E-01      0.14048784E-03      0.46760297E-04      0.46872196E-04      0.46855346E-04
      0.55400000E-01      0.14108938E-03      0.46960515E-04      0.47072893E-04      0.47055971E-04
      0.55600000E-01      0.14169168E-03      0.47160986E-04      0.47273843E-04      0.47256850E-04
      0.55800000E-01      0.14229474E-03      0.47361711E-04      0.47475047E-04      0.47457983E-04
      0.56000000E-01      0.14289856E-03      0.47562689E-04      0.47676505E-04      0.47659369E-04
      0.56200000E-01      0.14350315E-03      0.47763921E-04      0.47878218E-04      0.47861011E-04
      0.56400000E-01      0.14410850E-03      0.47965408E-04      0.48080186E-04      0.48062907E-04
      0.56600000E-01      0.14471462E-03      0.48167150E-04      0.48282410E-04      0.48265059E-04
      0.56800000E-01      0.14532150E-03      0.48369147E-04      0.48484889E-04      0.48467466E-04
      0.57000000E-01      0.14592915E-03      0.48571399E-04      0.48687624E-04      0.48670130E-04
      0.57200000E-01      0.14653757E-03      0.48773907E-04      0.48890616E-04      0.48873050E-04
      0.57400000E-01      0.14714676E-03      0.48976672E-04      0.49093865E-04      0.49076227E-04
      0.57600000E-01      0.14775673E-03      0.49179693E-04      0.49297372E-04      0.49279661E-04
      0.57800000E-01      0.14836746E-03      0.49382972E-04      0.49501135E-04      0.49483352E-04
      0.58000000E-01      0.14897897E-03      0.49586508E-04      0.49705157E-04      0.49687302E-04
      0.58200000E-01      0.14959125E-03      0.49790301E-04      0.49909438E-04      0.49891510E-04
      0.58400000E-01      0.15020431E-03      0.49994353E-04      0.50113977E-04      0.50095977E-04
      0.58600000E-01      0.15081814E-03      0.50198664E-04      0.50318776E-04      0.50300703E-04
      0.58800000E-01      0.15143275E-03      0.50403233E-04      0.50523834E-04      0.50505688E-04
      0.59000000E-01      0.15204815E-03      0.50608062E-04      0.50729152E-04      0.50710933E-04
      0.59200000E-01      0.15266432E-03      0.50813151E-04      0.50934730E-04      0.50916439E-04
      0.59400000E-01      0.15328127E-03      0.51018499E-04      0.51140569E-04      0.51122205E-04
      0.59600000E-01      0.15389901E-03      0.51224108E-04      0.51346669E-04      0.51328232E-04
      0.59800000E-01      0.15451753E-03      0.51429979E-04      0.51553031E-04      0.51534521E-04
      0.60000000E-01      0.15513684E-03      0.51636110E-04      0.51759655E-04      0.51741071E-04
      0.60200000E-01      0.15575693E-03      0.51842503E-04      0.51966541E-04      0.51947884E-04
      0.60400000E-01      0.15637781E-03      0.52049158E-04      0.52173689E-04      0.52154959E-04
