# final state angular momentum:   2
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma_tot   sigma_up    sigma_down 
   -5.18394649    0.00000041    0.00000022    0.00000019
   -5.08361204    0.00000042    0.00000023    0.00000019
   -4.98327759    0.00000043    0.00000024    0.00000019
   -4.88294314    0.00000044    0.00000025    0.00000020
   -4.78260870    0.00000046    0.00000025    0.00000020
   -4.68227425    0.00000047    0.00000026    0.00000021
   -4.58193980    0.00000049    0.00000027    0.00000021
   -4.48160535    0.00000050    0.00000028    0.00000022
   -4.38127090    0.00000052    0.00000029    0.00000022
   -4.28093645    0.00000053    0.00000031    0.00000023
   -4.18060201    0.00000055    0.00000032    0.00000023
   -4.08026756    0.00000057    0.00000033    0.00000024
   -3.97993311    0.00000059    0.00000034    0.00000025
   -3.87959866    0.00000061    0.00000036    0.00000025
   -3.77926421    0.00000063    0.00000037    0.00000026
   -3.67892977    0.00000066    0.00000039    0.00000027
   -3.57859532    0.00000068    0.00000041    0.00000027
   -3.47826087    0.00000071    0.00000043    0.00000028
   -3.37792642    0.00000074    0.00000045    0.00000029
   -3.27759197    0.00000077    0.00000047    0.00000030
   -3.17725753    0.00000080    0.00000049    0.00000031
   -3.07692308    0.00000084    0.00000052    0.00000032
   -2.97658863    0.00000087    0.00000055    0.00000033
   -2.87625418    0.00000091    0.00000058    0.00000034
   -2.77591973    0.00000096    0.00000061    0.00000035
   -2.67558528    0.00000101    0.00000064    0.00000036
   -2.57525084    0.00000106    0.00000068    0.00000037
   -2.47491639    0.00000111    0.00000072    0.00000039
   -2.37458194    0.00000117    0.00000077    0.00000040
   -2.27424749    0.00000124    0.00000082    0.00000042
   -2.17391304    0.00000131    0.00000087    0.00000043
   -2.07357860    0.00000139    0.00000094    0.00000045
   -1.97324415    0.00000147    0.00000100    0.00000047
   -1.87290970    0.00000157    0.00000108    0.00000049
   -1.77257525    0.00000167    0.00000116    0.00000051
   -1.67224080    0.00000179    0.00000125    0.00000054
   -1.57190635    0.00000192    0.00000136    0.00000056
   -1.47157191    0.00000207    0.00000148    0.00000059
   -1.37123746    0.00000223    0.00000161    0.00000062
   -1.27090301    0.00000242    0.00000176    0.00000066
   -1.17056856    0.00000263    0.00000193    0.00000070
   -1.07023411    0.00000287    0.00000213    0.00000074
   -0.96989967    0.00000314    0.00000235    0.00000079
   -0.86956522    0.00000345    0.00000261    0.00000084
   -0.76923077    0.00000381    0.00000291    0.00000090
   -0.66889632    0.00000423    0.00000325    0.00000097
   -0.56856187    0.00000470    0.00000365    0.00000105
   -0.46822742    0.00000524    0.00000410    0.00000114
   -0.36789298    0.00000586    0.00000462    0.00000124
   -0.26755853    0.00000656    0.00000521    0.00000135
   -0.16722408    0.00000734    0.00000586    0.00000148
   -0.06688963    0.00000818    0.00000655    0.00000163
    0.03344482    0.00000907    0.00000729    0.00000179
    0.13377926    0.00000996    0.00000800    0.00000196
    0.23411371    0.00001080    0.00000867    0.00000213
    0.33444816    0.00001154    0.00000925    0.00000229
    0.43478261    0.00001212    0.00000969    0.00000243
    0.53511706    0.00001250    0.00000996    0.00000253
    0.63545151    0.00001263    0.00001005    0.00000259
    0.73578595    0.00001253    0.00000994    0.00000258
    0.83612040    0.00001218    0.00000965    0.00000254
    0.93645485    0.00001165    0.00000920    0.00000245
    1.03678930    0.00001098    0.00000862    0.00000235
    1.13712375    0.00001022    0.00000797    0.00000225
    1.23745819    0.00000943    0.00000728    0.00000215
    1.33779264    0.00000865    0.00000658    0.00000207
    1.43812709    0.00000791    0.00000590    0.00000201
    1.53846154    0.00000723    0.00000527    0.00000196
    1.63879599    0.00000663    0.00000469    0.00000194
    1.73913043    0.00000611    0.00000418    0.00000193
    1.83946488    0.00000566    0.00000372    0.00000194
    1.93979933    0.00000529    0.00000333    0.00000196
    2.04013378    0.00000499    0.00000298    0.00000201
    2.14046823    0.00000475    0.00000269    0.00000206
    2.24080268    0.00000457    0.00000243    0.00000214
    2.34113712    0.00000443    0.00000220    0.00000223
    2.44147157    0.00000435    0.00000201    0.00000234
    2.54180602    0.00000431    0.00000184    0.00000246
    2.64214047    0.00000431    0.00000169    0.00000261
    2.74247492    0.00000435    0.00000157    0.00000278
    2.84280936    0.00000443    0.00000145    0.00000298
    2.94314381    0.00000456    0.00000136    0.00000321
    3.04347826    0.00000473    0.00000127    0.00000347
    3.14381271    0.00000496    0.00000119    0.00000376
    3.24414716    0.00000523    0.00000113    0.00000410
    3.34448161    0.00000557    0.00000107    0.00000450
    3.44481605    0.00000598    0.00000102    0.00000495
    3.54515050    0.00000646    0.00000098    0.00000548
    3.64548495    0.00000703    0.00000095    0.00000608
    3.74581940    0.00000770    0.00000092    0.00000678
    3.84615385    0.00000848    0.00000090    0.00000758
    3.94648829    0.00000938    0.00000088    0.00000850
    4.04682274    0.00001041    0.00000087    0.00000954
    4.14715719    0.00001155    0.00000086    0.00001068
    4.24749164    0.00001279    0.00000086    0.00001192
    4.34782609    0.00001408    0.00000087    0.00001321
    4.44816054    0.00001536    0.00000088    0.00001448
    4.54849498    0.00001656    0.00000089    0.00001566
    4.64882943    0.00001758    0.00000092    0.00001667
    4.74916388    0.00001839    0.00000095    0.00001745
    4.84949833    0.00001896    0.00000099    0.00001797
    4.94983278    0.00001931    0.00000104    0.00001827
    5.05016722    0.00001949    0.00000110    0.00001839
    5.15050167    0.00001957    0.00000116    0.00001840
    5.25083612    0.00001957    0.00000123    0.00001834
    5.35117057    0.00001950    0.00000129    0.00001821
    5.45150502    0.00001932    0.00000133    0.00001799
    5.55183946    0.00001895    0.00000136    0.00001760
    5.65217391    0.00001834    0.00000135    0.00001699
    5.75250836    0.00001746    0.00000132    0.00001614
    5.85284281    0.00001634    0.00000126    0.00001508
    5.95317726    0.00001505    0.00000118    0.00001386
    6.05351171    0.00001368    0.00000110    0.00001259
    6.15384615    0.00001233    0.00000101    0.00001132
    6.25418060    0.00001105    0.00000092    0.00001013
    6.35451505    0.00000988    0.00000084    0.00000904
    6.45484950    0.00000883    0.00000077    0.00000807
    6.55518395    0.00000791    0.00000070    0.00000721
    6.65551839    0.00000712    0.00000065    0.00000647
    6.75585284    0.00000642    0.00000060    0.00000582
    6.85618729    0.00000582    0.00000055    0.00000527
    6.95652174    0.00000530    0.00000051    0.00000478
    7.05685619    0.00000484    0.00000048    0.00000436
    7.15719064    0.00000444    0.00000045    0.00000399
    7.25752508    0.00000408    0.00000042    0.00000366
    7.35785953    0.00000376    0.00000039    0.00000337
    7.45819398    0.00000347    0.00000037    0.00000310
    7.55852843    0.00000321    0.00000035    0.00000286
    7.65886288    0.00000297    0.00000033    0.00000264
    7.75919732    0.00000276    0.00000031    0.00000245
    7.85953177    0.00000257    0.00000030    0.00000227
    7.95986622    0.00000240    0.00000029    0.00000212
    8.06020067    0.00000225    0.00000027    0.00000198
    8.16053512    0.00000211    0.00000026    0.00000185
    8.26086957    0.00000199    0.00000025    0.00000174
    8.36120401    0.00000188    0.00000024    0.00000163
    8.46153846    0.00000178    0.00000024    0.00000154
    8.56187291    0.00000169    0.00000023    0.00000146
    8.66220736    0.00000160    0.00000022    0.00000138
    8.76254181    0.00000153    0.00000022    0.00000131
    8.86287625    0.00000146    0.00000022    0.00000125
    8.96321070    0.00000140    0.00000021    0.00000119
    9.06354515    0.00000135    0.00000021    0.00000114
    9.16387960    0.00000130    0.00000021    0.00000110
    9.26421405    0.00000126    0.00000021    0.00000106
    9.36454849    0.00000123    0.00000021    0.00000102
    9.46488294    0.00000120    0.00000021    0.00000099
    9.56521739    0.00000118    0.00000021    0.00000097
    9.66555184    0.00000116    0.00000021    0.00000095
    9.76588629    0.00000115    0.00000022    0.00000093
    9.86622074    0.00000114    0.00000022    0.00000092
    9.96655518    0.00000114    0.00000023    0.00000091
   10.06688963    0.00000114    0.00000024    0.00000090
   10.16722408    0.00000114    0.00000024    0.00000090
   10.26755853    0.00000114    0.00000025    0.00000089
   10.36789298    0.00000113    0.00000025    0.00000088
   10.46822742    0.00000111    0.00000024    0.00000087
   10.56856187    0.00000108    0.00000024    0.00000084
   10.66889632    0.00000104    0.00000023    0.00000081
   10.76923077    0.00000099    0.00000022    0.00000078
   10.86956522    0.00000094    0.00000021    0.00000074
   10.96989967    0.00000090    0.00000019    0.00000070
   11.07023411    0.00000085    0.00000018    0.00000066
   11.17056856    0.00000080    0.00000017    0.00000063
   11.27090301    0.00000076    0.00000016    0.00000060
   11.37123746    0.00000072    0.00000016    0.00000057
   11.47157191    0.00000069    0.00000015    0.00000054
   11.57190635    0.00000066    0.00000014    0.00000052
   11.67224080    0.00000063    0.00000014    0.00000049
   11.77257525    0.00000061    0.00000013    0.00000047
   11.87290970    0.00000059    0.00000013    0.00000046
   11.97324415    0.00000057    0.00000013    0.00000044
   12.07357860    0.00000055    0.00000012    0.00000042
   12.17391304    0.00000053    0.00000012    0.00000041
   12.27424749    0.00000051    0.00000012    0.00000040
   12.37458194    0.00000050    0.00000011    0.00000039
   12.47491639    0.00000049    0.00000011    0.00000037
   12.57525084    0.00000048    0.00000011    0.00000036
   12.67558528    0.00000046    0.00000011    0.00000036
   12.77591973    0.00000045    0.00000011    0.00000035
   12.87625418    0.00000044    0.00000011    0.00000034
   12.97658863    0.00000044    0.00000011    0.00000033
   13.07692308    0.00000043    0.00000010    0.00000032
   13.17725753    0.00000042    0.00000010    0.00000032
   13.27759197    0.00000041    0.00000010    0.00000031
   13.37792642    0.00000041    0.00000010    0.00000031
   13.47826087    0.00000040    0.00000010    0.00000030
   13.57859532    0.00000040    0.00000010    0.00000030
   13.67892977    0.00000039    0.00000010    0.00000029
   13.77926421    0.00000039    0.00000010    0.00000029
   13.87959866    0.00000038    0.00000010    0.00000028
   13.97993311    0.00000038    0.00000010    0.00000028
   14.08026756    0.00000038    0.00000010    0.00000028
   14.18060201    0.00000038    0.00000010    0.00000028
   14.28093645    0.00000038    0.00000010    0.00000028
   14.38127090    0.00000038    0.00000010    0.00000028
   14.48160535    0.00000038    0.00000011    0.00000028
   14.58193980    0.00000039    0.00000011    0.00000028
   14.68227425    0.00000039    0.00000011    0.00000028
   14.78260870    0.00000040    0.00000011    0.00000028
   14.88294314    0.00000040    0.00000012    0.00000029
   14.98327759    0.00000041    0.00000012    0.00000029
   15.08361204    0.00000042    0.00000013    0.00000030
   15.18394649    0.00000044    0.00000013    0.00000031
   15.28428094    0.00000045    0.00000014    0.00000032
   15.38461538    0.00000047    0.00000014    0.00000032
   15.48494983    0.00000048    0.00000015    0.00000033
   15.58528428    0.00000050    0.00000016    0.00000034
   15.68561873    0.00000051    0.00000017    0.00000034
   15.78595318    0.00000052    0.00000017    0.00000035
   15.88628763    0.00000053    0.00000018    0.00000035
   15.98662207    0.00000054    0.00000018    0.00000036
   16.08695652    0.00000055    0.00000019    0.00000036
   16.18729097    0.00000056    0.00000020    0.00000037
   16.28762542    0.00000057    0.00000020    0.00000037
   16.38795987    0.00000059    0.00000021    0.00000038
   16.48829431    0.00000060    0.00000022    0.00000039
   16.58862876    0.00000061    0.00000022    0.00000039
   16.68896321    0.00000062    0.00000023    0.00000039
   16.78929766    0.00000062    0.00000023    0.00000038
   16.88963211    0.00000061    0.00000024    0.00000037
   16.98996656    0.00000059    0.00000023    0.00000036
   17.09030100    0.00000057    0.00000023    0.00000034
   17.19063545    0.00000054    0.00000022    0.00000032
   17.29096990    0.00000051    0.00000021    0.00000030
   17.39130435    0.00000048    0.00000019    0.00000029
   17.49163880    0.00000045    0.00000018    0.00000027
   17.59197324    0.00000043    0.00000017    0.00000026
   17.69230769    0.00000040    0.00000016    0.00000024
   17.79264214    0.00000038    0.00000015    0.00000023
   17.89297659    0.00000037    0.00000014    0.00000022
   17.99331104    0.00000035    0.00000014    0.00000022
   18.09364548    0.00000034    0.00000013    0.00000021
   18.19397993    0.00000033    0.00000013    0.00000020
   18.29431438    0.00000032    0.00000012    0.00000020
   18.39464883    0.00000031    0.00000012    0.00000019
   18.49498328    0.00000031    0.00000012    0.00000019
   18.59531773    0.00000030    0.00000011    0.00000019
   18.69565217    0.00000030    0.00000011    0.00000018
   18.79598662    0.00000029    0.00000011    0.00000018
   18.89632107    0.00000029    0.00000011    0.00000018
   18.99665552    0.00000029    0.00000011    0.00000018
   19.09698997    0.00000029    0.00000011    0.00000018
   19.19732441    0.00000029    0.00000011    0.00000018
   19.29765886    0.00000029    0.00000011    0.00000018
   19.39799331    0.00000030    0.00000012    0.00000018
   19.49832776    0.00000030    0.00000012    0.00000018
   19.59866221    0.00000031    0.00000012    0.00000018
   19.69899666    0.00000031    0.00000013    0.00000019
   19.79933110    0.00000032    0.00000013    0.00000019
   19.89966555    0.00000033    0.00000014    0.00000020
   20.00000000    0.00000034    0.00000014    0.00000020
