#units:
# Ry = 2.1799e-18J = 13.606eV
# a0 = 5.2918e-11m,
# tau = 4.8378e-17s
# TIME: same as input trajectory
# J: Ry*a0/tau
# J_el: number * a0/tau
# J_cm: number * a0/tau
# STEP TIME J[1] J[2] J[3] J_el[1] J_el[2] J_el[3] J_cm1[1] J_cm1[2] J_cm1[3] J_cm2[1] J_cm2[2] J_cm2[3] 
    147  0.106673E-01 -0.627231237458E-03  0.333069609049E-02 -0.844664099508E-04  0.685371807776E-03  0.577851664275E-02 -0.343361683190E-02  0.796104242193E-03  0.103748315288E-01 -0.536949739001E-02 -0.497565151370E-04 -0.648426970552E-03  0.335593586876E-03
    150  0.108850E-01 -0.599177485519E-03  0.321333769696E-02 -0.135879271446E-03  0.632120703813E-03  0.546942278743E-02 -0.310943019576E-02  0.759812610682E-03  0.993391574020E-02 -0.493144940422E-02 -0.474882881677E-04 -0.620869733763E-03  0.308215587764E-03
    153  0.111027E-01 -0.576879806619E-03  0.313017140960E-02 -0.217814403170E-03  0.569180294406E-03  0.511631183326E-02 -0.276800058782E-02  0.699605202946E-03  0.941796211031E-02 -0.446240577297E-02 -0.437253251841E-04 -0.588622631895E-03  0.278900360811E-03
    156  0.113204E-01 -0.558065084620E-03  0.309124503239E-02 -0.338558574569E-03  0.499439542182E-03  0.471341982484E-02 -0.239755189978E-02  0.618392377265E-03  0.883174437191E-02 -0.396712194775E-02 -0.386495235791E-04 -0.551984023244E-03  0.247945121734E-03
    159  0.115381E-01 -0.535759800899E-03  0.312664184265E-02 -0.498022275195E-03  0.421704986366E-03  0.426200637594E-02 -0.199396628886E-02  0.523262184044E-03  0.820302797009E-02 -0.344227668028E-02 -0.327038865028E-04 -0.512689248131E-03  0.215142292518E-03
    162  0.117558E-01 -0.518286196926E-03  0.317266446514E-02 -0.660919522841E-03  0.342898914823E-03  0.379732251167E-02 -0.159290677402E-02  0.415042918171E-03  0.752682225321E-02 -0.290310354351E-02 -0.259401823857E-04 -0.470426390825E-03  0.181443971469E-03
    165  0.119735E-01 -0.497715008618E-03  0.325832772408E-02 -0.846860610415E-03  0.254986691289E-03  0.328796356916E-02 -0.118151633069E-02  0.289205178673E-03  0.679276499855E-02 -0.236108969849E-02 -0.180753236670E-04 -0.424547812409E-03  0.147568106155E-03
    168  0.121912E-01 -0.478463357736E-03  0.335235083519E-02 -0.102376355735E-02  0.167167439940E-03  0.276919058524E-02 -0.776471162681E-03  0.155457532823E-03  0.602544181745E-02 -0.181271239898E-02 -0.971609580146E-05 -0.376590113591E-03  0.113294524936E-03
    171  0.124089E-01 -0.454944761867E-03  0.346783210506E-02 -0.120089400084E-02  0.814083832665E-04  0.223785964772E-02 -0.368675478967E-03  0.245576981247E-04  0.524175382399E-02 -0.125740818594E-02 -0.153485613279E-05 -0.327609614000E-03  0.785880116211E-04
    174  0.126266E-01 -0.427759508183E-03  0.359728684673E-02 -0.136677937230E-02 -0.725831478121E-05  0.169572944287E-02  0.329682734446E-04 -0.109914635297E-03  0.443734749758E-02 -0.698397157501E-03  0.686966470604E-05 -0.277334218599E-03  0.436498223438E-04
    177  0.128443E-01 -0.412103018547E-03  0.372229810053E-02 -0.151751273468E-02 -0.919832891668E-04  0.115307094529E-02  0.427206861787E-03 -0.250938239210E-03  0.361862887899E-02 -0.138227051023E-03  0.156836399506E-04 -0.226164304937E-03  0.863919068892E-05
    180  0.130620E-01 -0.395654105754E-03  0.386688585969E-02 -0.166191228104E-02 -0.179196096724E-03  0.598395999987E-03  0.819618406240E-03 -0.393494019332E-03  0.279722697259E-02  0.417175461964E-03  0.245933762083E-04 -0.174826685787E-03 -0.260734663728E-04
    183  0.132797E-01 -0.388062770454E-03  0.398550543416E-02 -0.177500209026E-02 -0.262624758761E-03  0.587622926105E-04  0.119223713409E-02 -0.537229649605E-03  0.197611800937E-02  0.962785892559E-03  0.335768531003E-04 -0.123507375586E-03 -0.601741182849E-04
    186  0.134974E-01 -0.382121778487E-03  0.408714061766E-02 -0.185301708732E-02 -0.344514090102E-03 -0.471077364637E-03  0.154461956117E-02 -0.678922678246E-03  0.116134579642E-02  0.149587373645E-02  0.424326673904E-04 -0.725841122761E-04 -0.934921085281E-04
    189  0.137151E-01 -0.381846796463E-03  0.415200416321E-02 -0.189008118424E-02 -0.419099844294E-03 -0.975652830675E-03  0.187262485269E-02 -0.814110942386E-03  0.363071288555E-03  0.201216801672E-02  0.508819338991E-04 -0.226919555347E-04 -0.125760501045E-03
    192  0.139328E-01 -0.390390476451E-03  0.417438800800E-02 -0.188047865548E-02 -0.488684512675E-03 -0.145141140092E-02  0.217129057273E-02 -0.945266569970E-03 -0.411355750423E-03  0.250773110581E-02  0.590791606231E-04  0.257097344014E-04 -0.156733194113E-03
    195  0.141505E-01 -0.402363566804E-03  0.418818739132E-02 -0.184438749636E-02 -0.556512677576E-03 -0.191830727272E-02  0.245492183603E-02 -0.107201851236E-02 -0.115217126403E-02  0.297642784192E-02  0.670011570226E-04  0.720107040018E-04 -0.186026740120E-03
    198  0.143682E-01 -0.422340035387E-03  0.413949669529E-02 -0.174884595797E-02 -0.615275988821E-03 -0.233661336824E-02  0.269832089543E-02 -0.118880394609E-02 -0.184665789006E-02  0.340905702753E-02  0.743002466306E-04  0.115416118129E-03 -0.213066064220E-03
    201  0.145859E-01 -0.447048123678E-03  0.404168963679E-02 -0.160312400729E-02 -0.665981089696E-03 -0.271167117171E-02  0.290565518662E-02 -0.129438045535E-02 -0.248462009499E-02  0.379837006595E-02  0.808987784592E-04  0.155288755937E-03 -0.237398129122E-03
    204  0.148036E-01 -0.488120125393E-03  0.385872675666E-02 -0.139448290789E-02 -0.703629048076E-03 -0.301547558047E-02  0.306404591538E-02 -0.139059692768E-02 -0.305528302835E-02  0.413676141853E-02  0.869123079800E-04  0.190955189272E-03 -0.258547588658E-03
    207  0.150213E-01 -0.520072059434E-03  0.368078669547E-02 -0.115778668649E-02 -0.743415381294E-03 -0.329662370495E-02  0.318857142702E-02 -0.147612557330E-02 -0.354347372190E-02  0.441340025442E-02  0.922578483315E-04  0.221467107618E-03 -0.275837515901E-03
    210  0.152390E-01 -0.568063694855E-03  0.341042150695E-02 -0.859990150038E-03 -0.767617544625E-03 -0.348128587939E-02  0.324676628225E-02 -0.154792604848E-02 -0.393203404568E-02  0.461691257792E-02  0.967453780300E-04  0.245752127855E-03 -0.288557036120E-03
    213  0.154567E-01 -0.620048262126E-03  0.311308360032E-02 -0.538119954051E-03 -0.781213282607E-03 -0.359740224667E-02  0.325066968799E-02 -0.160518265102E-02 -0.420489280427E-02  0.473607793141E-02  0.100323915689E-03  0.262805800267E-03 -0.296004870713E-03
    216  0.156744E-01 -0.678574914930E-03  0.277455297669E-02 -0.194517592096E-03 -0.786094460636E-03 -0.362028041855E-02  0.318904663436E-02 -0.164808598040E-02 -0.434768855538E-02  0.476032436413E-02  0.103005373775E-03  0.271730534711E-03 -0.297520272758E-03
    219  0.158921E-01 -0.744962081877E-03  0.241628419400E-02  0.147566543186E-03 -0.778023910243E-03 -0.354677462019E-02  0.305994669907E-02 -0.167565285315E-02 -0.434700119506E-02  0.468041722689E-02  0.104728303322E-03  0.271687574691E-03 -0.292526076681E-03
    222  0.161098E-01 -0.813044809394E-03  0.207636905040E-02  0.455568569303E-03 -0.763411459047E-03 -0.338248838671E-02  0.286819250323E-02 -0.168763024007E-02 -0.419091000604E-02  0.448811292315E-02  0.105476890005E-03  0.261931875378E-03 -0.280507057697E-03
    225  0.163275E-01 -0.887091978571E-03  0.176860320967E-02  0.710154534490E-03 -0.739311159123E-03 -0.311868870631E-02  0.261107040569E-02 -0.168508545103E-02 -0.387146982873E-02  0.417923017493E-02  0.105317840689E-03  0.241966864295E-03 -0.261201885933E-03
    228  0.165452E-01 -0.968089941136E-03  0.150356815431E-02  0.898845054450E-03 -0.706090126187E-03 -0.275050755590E-02  0.228729587980E-02 -0.166840434753E-02 -0.338754117211E-02  0.375637991230E-02  0.104275271720E-03  0.211721323257E-03 -0.234773744518E-03
    231  0.167629E-01 -0.106130132261E-02  0.126106003592E-02  0.102426482665E-02 -0.660761725157E-03 -0.226103258319E-02  0.189500499982E-02 -0.163792779066E-02 -0.274652939373E-02  0.322771454349E-02  0.102370486916E-03  0.171658087108E-03 -0.201732158968E-03
    234  0.169806E-01 -0.114504364318E-02  0.114701622284E-02  0.103871052064E-02 -0.616794219241E-03 -0.171968445648E-02  0.147008907516E-02 -0.159509730193E-02 -0.196429601680E-02  0.260759310705E-02  0.996935813709E-04  0.122768501050E-03 -0.162974569191E-03
    237  0.171983E-01 -0.122930320865E-02  0.110240744651E-02  0.980528502105E-03 -0.567300769035E-03 -0.110870599747E-02  0.100871140603E-02 -0.154153608989E-02 -0.106537395195E-02  0.191854447148E-02  0.963460056181E-04  0.665858719968E-04 -0.119909029467E-03
    240  0.174160E-01 -0.130611684634E-02  0.112402589900E-02  0.867394497291E-03 -0.516738335136E-03 -0.455148780020E-03  0.532091013156E-03 -0.147864131389E-02 -0.833282386832E-04  0.118909106890E-02  0.924150821180E-04  0.520801491770E-05 -0.743181918060E-04
    243  0.176337E-01 -0.137707723393E-02  0.115141279208E-02  0.746311594716E-03 -0.462158059236E-03  0.238776934566E-03  0.477400972159E-04 -0.140784404264E-02  0.941527919894E-03  0.450569147131E-03  0.879902526650E-04 -0.588454949934E-04 -0.281605716957E-04
    246  0.178514E-01 -0.143140962534E-02  0.118608914001E-02  0.635382241239E-03 -0.409346015658E-03  0.927698158193E-03 -0.417144998210E-03 -0.133079366187E-02  0.196566124604E-02 -0.264452718329E-03  0.831746038666E-04 -0.122853827878E-03  0.165282948956E-04
    249  0.180691E-01 -0.146761332579E-02  0.118900440822E-02  0.569215677244E-03 -0.357639830327E-03  0.159180932678E-02 -0.848256691825E-03 -0.124974318414E-02  0.294559637478E-02 -0.925188739246E-03  0.781089490086E-04 -0.184099773424E-03  0.578242962029E-04
    252  0.182868E-01 -0.148348336923E-02  0.114261202610E-02  0.565135083595E-03 -0.309515686240E-03  0.220259162597E-02 -0.122951343656E-02 -0.116732634702E-02  0.384159244077E-02 -0.150607001944E-02  0.729578966886E-04 -0.240099527548E-03  0.941293762152E-04
    255  0.185045E-01 -0.148070598852E-02  0.101736797609E-02  0.640314250130E-03 -0.265461916570E-03  0.274913292378E-02 -0.155532639474E-02 -0.108602728579E-02  0.462048675129E-02 -0.198817952453E-02  0.678767053622E-04 -0.288780421956E-03  0.124261220283E-03
    258  0.187222E-01 -0.146618052166E-02  0.788937203592E-03  0.799237616290E-03 -0.223778624786E-03  0.322669022717E-02 -0.182362319902E-02 -0.100829585310E-02  0.525731365900E-02 -0.235988186126E-02  0.630184908185E-04 -0.328582103687E-03  0.147492616329E-03
    261  0.189399E-01 -0.144089188077E-02  0.483442007757E-03  0.101789194677E-02 -0.187114928849E-03  0.361493625678E-02 -0.202465336770E-02 -0.936688387501E-03  0.573634789088E-02 -0.261678640804E-02  0.585430242188E-04 -0.358521743180E-03  0.163549150503E-03
    264  0.191576E-01 -0.140463284367E-02  0.154338316849E-03  0.125895931842E-02 -0.158511742484E-03  0.388425961137E-02 -0.214748131111E-02 -0.873525516369E-03  0.605067669253E-02 -0.276056910863E-02  0.545953447731E-04 -0.378167293283E-03  0.172535569289E-03
    267  0.193753E-01 -0.136676471461E-02 -0.219180928025E-03  0.152183625108E-02 -0.136160058901E-03  0.405811890960E-02 -0.220711133443E-02 -0.820560182163E-03  0.620080922038E-02 -0.279754084706E-02  0.512850113852E-04 -0.387550576274E-03  0.174846302941E-03
    270  0.195930E-01 -0.132949617679E-02 -0.605525360446E-03  0.178214996060E-02 -0.120116288599E-03  0.413368875161E-02 -0.220534275286E-02 -0.778961109345E-03  0.619343760760E-02 -0.273722125218E-02  0.486850693341E-04 -0.387089850475E-03  0.171076328261E-03
    273  0.198107E-01 -0.129488989628E-02 -0.978081148252E-03  0.201991157642E-02 -0.110746819701E-03  0.411096168682E-02 -0.214539701119E-02 -0.749378017887E-03  0.603969400913E-02 -0.259096412179E-02  0.468361261179E-04 -0.377480875571E-03  0.161935257612E-03
    276  0.200284E-01 -0.126606068330E-02 -0.132766433832E-02  0.222661004245E-02 -0.105976272607E-03  0.400247704238E-02 -0.203565391712E-02 -0.731905353408E-03  0.575330783715E-02 -0.237080575846E-02  0.457440845880E-04 -0.359581739822E-03  0.148175359904E-03
    279  0.202461E-01 -0.124056319440E-02 -0.164856860406E-02  0.240023234312E-02 -0.110330831376E-03  0.382120185532E-02 -0.188619736582E-02 -0.726157540271E-03  0.534954660007E-02 -0.208853619109E-02  0.453848462669E-04 -0.334346662504E-03  0.130533511943E-03
    282  0.204638E-01 -0.121807573591E-02 -0.189557930395E-02  0.251656533653E-02 -0.120494318253E-03  0.355150527321E-02 -0.168914184906E-02 -0.731440224583E-03  0.484422455617E-02 -0.175522543228E-02  0.457150140364E-04 -0.302764034761E-03  0.109701589518E-03
    285  0.206815E-01 -0.120345064511E-02 -0.212028290831E-02  0.260596588440E-02 -0.133630193886E-03  0.323854759336E-02 -0.147217686754E-02 -0.746764608322E-03  0.425270134039E-02 -0.138098737081E-02  0.466727880201E-04 -0.265793833774E-03  0.863117106758E-04
    288  0.208992E-01 -0.118722315710E-02 -0.226287279180E-02  0.264246703258E-02 -0.154290435603E-03  0.285374582745E-02 -0.122075644322E-02 -0.770887442138E-03  0.358949030915E-02 -0.974718563357E-03  0.481804651336E-04 -0.224343144322E-03  0.609199102098E-04
    291  0.211169E-01 -0.117616698331E-02 -0.236153405181E-02  0.264383411228E-02 -0.177497684490E-03  0.242771580815E-02 -0.949525681790E-03 -0.802492310123E-03  0.286810674132E-02 -0.544124206177E-03  0.501557693827E-04 -0.179256671333E-03  0.340077628861E-04
    294  0.213346E-01 -0.116767536556E-02 -0.242858256290E-02  0.262308011905E-02 -0.203950898140E-03  0.197479967028E-02 -0.668659457006E-03 -0.840244847647E-03  0.210086911325E-02 -0.958928807634E-04  0.525153029779E-04 -0.131304319578E-03  0.599330504771E-05
    297  0.215523E-01 -0.116186941220E-02 -0.245314743890E-02  0.257545077328E-02 -0.231890051509E-03  0.149143917952E-02 -0.376061740099E-03 -0.882767356566E-03  0.129890360670E-02  0.364276206470E-03  0.551729597854E-04 -0.811814754188E-04 -0.227672629044E-04
    300  0.217700E-01 -0.115527926335E-02 -0.242443512080E-02  0.249914522775E-02 -0.263649242697E-03  0.972754263785E-03 -0.702483885107E-04 -0.928728313478E-03  0.472277795067E-03  0.831532017097E-03  0.580455195924E-04 -0.295173621917E-04 -0.519707510686E-04
